year_week,count
2019_27,1
2019_29,4
2019_30,2
2019_31,4
2019_32,2
2019_33,4
2019_34,3
2019_35,6
2019_36,8
2019_37,3
2019_38,3
2019_39,5
2019_40,9
2019_41,13
2019_42,6
2019_43,8
2019_44,11
2019_45,13
2019_46,16
2019_47,14
2019_48,13
2019_49,18
2019_50,22
2019_51,18
2019_52,3
2020_00,18
2020_01,18
2020_02,23
2020_03,15
2020_04,11
2020_05,19
2020_06,18
2020_07,34
2020_08,18
2020_09,12
2020_10,28
2020_11,22
2020_12,26
2020_13,18
2020_14,23
2020_15,21
2020_16,20
2020_17,26
2020_18,28
2020_19,26
2020_20,30
2020_21,35
2020_22,39
2020_23,32
2020_24,28
2020_25,32
2020_26,34
2020_27,33
2020_28,32
2020_29,28
2020_30,30
2020_31,37
2020_32,38
2020_33,41
2020_34,25
2020_35,41
2020_36,23
2020_37,29
2020_38,35
2020_39,23
2020_40,33
2020_41,36
2020_42,27
2020_43,26
2020_44,33
2020_45,47
2020_46,58
2020_47,46
2020_48,38
2020_49,34
2020_50,42
2020_51,38
2020_52,19
2021_00,32
2021_01,36
2021_02,44
2021_03,51
2021_04,40
2021_05,52
2021_06,34
2021_07,33
2021_08,45
2021_09,58
2021_10,44
2021_11,59
2021_12,53
2021_13,47
2021_14,61
2021_15,36
2021_16,46
2021_17,45
2021_18,58
2021_19,45
2021_20,43
2021_21,53
2021_22,48
2021_23,50
2021_24,47
2021_25,68
2021_26,62
2021_27,53
2021_28,57
2021_29,59
2021_30,70
2021_31,72
2021_32,66
2021_33,59
2021_34,55
2021_35,66
2021_36,72
2021_37,60
2021_38,64
2021_39,66
2021_40,53
2021_41,64
2021_42,60
2021_43,69
2021_44,72
2021_45,86
2021_46,77
2021_47,56
2021_48,81
2021_49,74
2021_50,73
2021_51,61
2021_52,14
2022_00,48
2022_01,69
2022_02,93
2022_03,88
2022_04,88
2022_05,76
2022_06,75
2022_07,66
2022_08,77
2022_09,79
2022_10,81
2022_11,72
2022_12,102
2022_13,95
2022_14,83
2022_15,86
2022_16,105
2022_17,84
2022_18,96
2022_19,83
2022_20,96
2022_21,98
2022_22,97
2022_23,84
2022_24,106
2022_25,91
2022_26,91
2022_27,104
2022_28,106
2022_29,110
2022_30,91
2022_31,106
2022_32,114
2022_33,99
2022_34,119
2022_35,112
2022_36,97
2022_37,86
2022_38,99
2022_39,99
2022_40,104
2022_41,112
2022_42,94
2022_43,93
2022_44,112
2022_45,98
2022_46,124
2022_47,120
2022_48,107
2022_49,120
2022_50,106
2022_51,102
2022_52,36
2023_00,84
2023_01,121
2023_02,118
2023_03,115
2023_04,128
2023_05,106
2023_06,116
2023_07,135
2023_08,124
2023_09,149
2023_10,116
2023_11,123
2023_12,124
2023_13,126
2023_14,110
2023_15,128
2023_16,130
2023_17,121
2023_18,121
2023_19,132
2023_20,115
2023_21,128
2023_22,119
2023_23,117
2023_24,128
2023_25,142
2023_26,143
2023_27,123
2023_28,111
2023_29,121
2023_30,120
2023_31,160
2023_32,126
2023_33,135
2023_34,135
2023_35,134
2023_36,128
2023_37,135
2023_38,115
2023_39,143
2023_40,127
2023_41,134
2023_42,144
2023_43,143
2023_44,145
2023_45,144
2023_46,123
2023_47,142
2023_48,141
2023_49,64
