year_week,count
2019_33,1
2019_37,1
2019_38,1
2019_41,2
2019_48,2
2019_49,1
2019_50,1
2020_02,2
2020_03,1
2020_04,2
2020_07,1
2020_11,1
2020_12,1
2020_14,1
2020_17,1
2020_19,2
2020_21,1
2020_22,2
2020_23,1
2020_27,3
2020_28,1
2020_30,1
2020_31,1
2020_32,1
2020_36,1
2020_37,1
2020_38,1
2020_39,1
2020_40,1
2020_42,1
2020_43,2
2020_45,2
2020_46,2
2020_47,1
2020_48,3
2020_49,2
2020_52,1
2021_00,1
2021_01,3
2021_02,2
2021_03,1
2021_05,1
2021_06,1
2021_07,2
2021_09,2
2021_10,3
2021_11,2
2021_13,4
2021_14,2
2021_15,4
2021_16,4
2021_17,2
2021_18,1
2021_19,1
2021_20,2
2021_21,1
2021_22,5
2021_23,1
2021_25,4
2021_26,3
2021_27,3
2021_29,2
2021_30,3
2021_31,1
2021_32,3
2021_33,2
2021_34,1
2021_35,2
2021_36,1
2021_38,1
2021_39,2
2021_40,2
2021_41,1
2021_42,3
2021_43,1
2021_44,1
2021_45,1
2021_46,1
2021_47,1
2021_48,1
2021_50,1
2021_51,2
2022_00,1
2022_01,1
2022_02,4
2022_03,2
2022_05,2
2022_08,4
2022_09,3
2022_10,4
2022_11,3
2022_12,1
2022_13,2
2022_14,2
2022_15,3
2022_16,3
2022_18,4
2022_20,3
2022_21,4
2022_22,2
2022_23,2
2022_24,2
2022_25,2
2022_27,4
2022_28,3
2022_30,3
2022_31,3
2022_32,2
2022_34,2
2022_35,3
2022_36,4
2022_37,4
2022_38,5
2022_39,3
2022_40,8
2022_41,3
2022_42,2
2022_43,4
2022_44,2
2022_45,4
2022_46,6
2022_48,5
2022_49,3
2022_50,6
2022_51,2
2023_00,2
2023_01,1
2023_03,1
2023_04,3
2023_05,7
2023_06,5
2023_07,3
2023_08,6
2023_09,2
2023_10,3
2023_11,3
2023_12,6
2023_15,1
2023_16,1
2023_17,2
2023_18,3
2023_19,3
2023_20,6
2023_21,3
2023_22,4
2023_24,2
2023_25,7
2023_26,5
2023_27,6
2023_28,2
2023_29,4
2023_30,6
2023_31,4
2023_32,5
2023_33,8
2023_34,3
2023_35,3
2023_36,3
2023_37,5
2023_38,2
2023_39,2
2023_40,2
2023_41,4
2023_42,5
2023_43,6
2023_44,5
2023_45,5
2023_46,4
2023_47,3
2023_48,4
2023_49,4
