year_week,count
2019_31,2
2019_32,1
2019_33,2
2019_34,1
2019_35,1
2019_36,3
2019_37,3
2019_39,5
2019_40,2
2019_41,1
2019_42,1
2019_43,6
2019_44,5
2019_45,9
2019_46,3
2019_47,3
2019_48,6
2019_49,7
2019_50,4
2019_51,3
2019_52,1
2020_00,3
2020_01,6
2020_02,4
2020_03,13
2020_04,7
2020_05,2
2020_06,9
2020_07,10
2020_08,5
2020_09,8
2020_10,3
2020_11,12
2020_12,15
2020_13,21
2020_14,9
2020_15,8
2020_16,11
2020_17,6
2020_18,16
2020_19,13
2020_20,12
2020_21,12
2020_22,13
2020_23,13
2020_24,12
2020_25,12
2020_26,14
2020_27,11
2020_28,8
2020_29,10
2020_30,13
2020_31,8
2020_32,19
2020_33,18
2020_34,11
2020_35,10
2020_36,16
2020_37,14
2020_38,14
2020_39,15
2020_40,22
2020_41,15
2020_42,14
2020_43,20
2020_44,20
2020_45,14
2020_46,9
2020_47,18
2020_48,24
2020_49,17
2020_50,11
2020_51,18
2020_52,10
2021_00,16
2021_01,15
2021_02,26
2021_03,29
2021_04,18
2021_05,26
2021_06,19
2021_07,18
2021_08,23
2021_09,32
2021_10,31
2021_11,36
2021_12,25
2021_13,20
2021_14,35
2021_15,18
2021_16,20
2021_17,24
2021_18,31
2021_19,29
2021_20,26
2021_21,23
2021_22,30
2021_23,23
2021_24,29
2021_25,29
2021_26,28
2021_27,23
2021_28,19
2021_29,24
2021_30,25
2021_31,32
2021_32,26
2021_33,49
2021_34,30
2021_35,30
2021_36,24
2021_37,22
2021_38,42
2021_39,26
2021_40,27
2021_41,39
2021_42,31
2021_43,32
2021_44,23
2021_45,35
2021_46,32
2021_47,36
2021_48,32
2021_49,30
2021_50,41
2021_51,32
2021_52,4
2022_00,35
2022_01,30
2022_02,46
2022_03,27
2022_04,39
2022_05,34
2022_06,33
2022_07,37
2022_08,45
2022_09,39
2022_10,38
2022_11,41
2022_12,39
2022_13,27
2022_14,39
2022_15,36
2022_16,26
2022_17,48
2022_18,33
2022_19,33
2022_20,43
2022_21,37
2022_22,46
2022_23,41
2022_24,36
2022_25,37
2022_26,38
2022_27,42
2022_28,37
2022_29,41
2022_30,36
2022_31,38
2022_32,38
2022_33,45
2022_34,38
2022_35,43
2022_36,45
2022_37,38
2022_38,38
2022_39,49
2022_40,40
2022_41,52
2022_42,43
2022_43,51
2022_44,56
2022_45,47
2022_46,48
2022_47,43
2022_48,38
2022_49,56
2022_50,46
2022_51,37
2022_52,12
2023_00,43
2023_01,42
2023_02,56
2023_03,35
2023_04,49
2023_05,60
2023_06,52
2023_07,59
2023_08,45
2023_09,58
2023_10,56
2023_11,57
2023_12,44
2023_13,43
2023_14,48
2023_15,55
2023_16,44
2023_17,55
2023_18,54
2023_19,67
2023_20,61
2023_21,45
2023_22,51
2023_23,56
2023_24,47
2023_25,67
2023_26,52
2023_27,51
2023_28,55
2023_29,59
2023_30,50
2023_31,41
2023_32,51
2023_33,54
2023_34,63
2023_35,47
2023_36,65
2023_37,49
2023_38,56
2023_39,55
2023_40,58
2023_41,53
2023_42,38
2023_43,58
2023_44,65
2023_45,62
2023_46,72
2023_47,70
2023_48,66
2023_49,30
