year_week,count
2019_32,1
2019_36,2
2019_39,1
2019_43,2
2019_46,1
2019_47,1
2019_48,1
2019_50,2
2019_52,2
2020_00,1
2020_02,1
2020_09,1
2020_13,1
2020_15,1
2020_17,1
2020_18,1
2020_20,1
2020_21,1
2020_22,1
2020_23,1
2020_24,2
2020_27,2
2020_33,2
2020_35,2
2020_36,2
2020_37,3
2020_39,3
2020_40,1
2020_41,1
2020_42,3
2020_43,1
2020_46,2
2020_47,2
2020_48,2
2020_49,2
2020_50,1
2020_51,2
2021_00,1
2021_01,1
2021_04,1
2021_05,4
2021_06,1
2021_07,1
2021_09,1
2021_10,1
2021_11,1
2021_12,1
2021_14,2
2021_17,2
2021_18,1
2021_20,1
2021_22,2
2021_23,2
2021_24,2
2021_25,2
2021_26,1
2021_27,2
2021_29,3
2021_30,1
2021_31,3
2021_32,3
2021_33,3
2021_34,1
2021_35,1
2021_36,2
2021_37,3
2021_38,1
2021_39,2
2021_40,3
2021_41,3
2021_42,1
2021_44,3
2021_45,4
2021_46,2
2021_47,2
2021_48,1
2021_49,1
2021_50,3
2021_51,3
2022_00,3
2022_01,4
2022_03,5
2022_04,1
2022_05,2
2022_06,2
2022_07,1
2022_08,7
2022_09,3
2022_10,2
2022_11,3
2022_12,1
2022_13,6
2022_14,2
2022_15,2
2022_16,3
2022_18,2
2022_19,2
2022_20,3
2022_21,5
2022_22,2
2022_23,5
2022_24,3
2022_25,4
2022_26,4
2022_27,2
2022_28,4
2022_31,4
2022_32,2
2022_33,5
2022_34,6
2022_35,5
2022_37,3
2022_38,1
2022_39,2
2022_40,4
2022_41,4
2022_42,2
2022_43,2
2022_44,3
2022_45,1
2022_46,5
2022_47,5
2022_48,4
2022_49,4
2022_50,6
2022_51,3
2022_52,1
2023_00,3
2023_01,4
2023_02,1
2023_03,5
2023_04,3
2023_05,2
2023_06,3
2023_07,4
2023_08,7
2023_09,3
2023_10,6
2023_11,7
2023_12,2
2023_13,8
2023_14,4
2023_15,6
2023_16,6
2023_17,4
2023_18,4
2023_19,5
2023_20,3
2023_21,5
2023_22,3
2023_23,4
2023_24,4
2023_25,3
2023_26,1
2023_27,3
2023_28,1
2023_29,5
2023_30,4
2023_31,4
2023_32,4
2023_33,1
2023_34,4
2023_35,4
2023_36,4
2023_37,4
2023_38,3
2023_39,3
2023_40,2
2023_41,7
2023_42,3
2023_43,3
2023_44,4
2023_45,2
2023_47,2
2023_48,5
2023_49,1
