year_week,count
2019_28,3
2019_30,7
2019_31,2
2019_32,5
2019_33,5
2019_34,3
2019_35,4
2019_36,4
2019_37,7
2019_38,15
2019_39,13
2019_40,9
2019_41,23
2019_42,23
2019_43,18
2019_44,17
2019_45,23
2019_46,16
2019_47,30
2019_48,30
2019_49,32
2019_50,31
2019_51,30
2019_52,9
2020_00,27
2020_01,36
2020_02,31
2020_03,46
2020_04,46
2020_05,34
2020_06,33
2020_07,44
2020_08,34
2020_09,50
2020_10,62
2020_11,64
2020_12,52
2020_13,49
2020_14,47
2020_15,55
2020_16,61
2020_17,48
2020_18,55
2020_19,59
2020_20,66
2020_21,53
2020_22,70
2020_23,75
2020_24,56
2020_25,64
2020_26,64
2020_27,76
2020_28,69
2020_29,73
2020_30,81
2020_31,60
2020_32,91
2020_33,86
2020_34,74
2020_35,90
2020_36,80
2020_37,81
2020_38,91
2020_39,87
2020_40,93
2020_41,105
2020_42,75
2020_43,104
2020_44,91
2020_45,87
2020_46,81
2020_47,83
2020_48,90
2020_49,109
2020_50,105
2020_51,117
2020_52,29
2021_00,88
2021_01,104
2021_02,108
2021_03,95
2021_04,131
2021_05,105
2021_06,92
2021_07,120
2021_08,101
2021_09,110
2021_10,90
2021_11,138
2021_12,115
2021_13,116
2021_14,128
2021_15,121
2021_16,123
2021_17,129
2021_18,130
2021_19,122
2021_20,129
2021_21,138
2021_22,135
2021_23,132
2021_24,116
2021_25,136
2021_26,134
2021_27,134
2021_28,137
2021_29,133
2021_30,161
2021_31,134
2021_32,150
2021_33,178
2021_34,150
2021_35,131
2021_36,151
2021_37,149
2021_38,169
2021_39,139
2021_40,142
2021_41,144
2021_42,169
2021_43,191
2021_44,190
2021_45,173
2021_46,160
2021_47,172
2021_48,158
2021_49,166
2021_50,131
2021_51,166
2021_52,42
2022_00,155
2022_01,176
2022_02,185
2022_03,155
2022_04,153
2022_05,168
2022_06,160
2022_07,163
2022_08,178
2022_09,166
2022_10,174
2022_11,197
2022_12,170
2022_13,180
2022_14,196
2022_15,178
2022_16,164
2022_17,193
2022_18,186
2022_19,215
2022_20,194
2022_21,183
2022_22,166
2022_23,207
2022_24,187
2022_25,207
2022_26,208
2022_27,197
2022_28,215
2022_29,202
2022_30,219
2022_31,188
2022_32,204
2022_33,200
2022_34,222
2022_35,204
2022_36,212
2022_37,213
2022_38,212
2022_39,216
2022_40,211
2022_41,234
2022_42,215
2022_43,220
2022_44,213
2022_45,222
2022_46,219
2022_47,256
2022_48,232
2022_49,237
2022_50,213
2022_51,220
2022_52,101
2023_00,180
2023_01,254
2023_02,238
2023_03,240
2023_04,223
2023_05,286
2023_06,256
2023_07,268
2023_08,276
2023_09,272
2023_10,250
2023_11,262
2023_12,274
2023_13,262
2023_14,266
2023_15,241
2023_16,260
2023_17,279
2023_18,276
2023_19,281
2023_20,278
2023_21,299
2023_22,283
2023_23,280
2023_24,293
2023_25,282
2023_26,277
2023_27,309
2023_28,265
2023_29,288
2023_30,291
2023_31,250
2023_32,293
2023_33,298
2023_34,278
2023_35,319
2023_36,310
2023_37,304
2023_38,306
2023_39,314
2023_40,284
2023_41,297
2023_42,293
2023_43,321
2023_44,318
2023_45,334
2023_46,312
2023_47,312
2023_48,291
2023_49,150
