year_week,count
2019_30,2
2019_41,2
2019_42,1
2019_43,1
2019_46,1
2019_47,1
2019_49,1
2019_50,1
2019_51,1
2020_00,1
2020_01,2
2020_04,1
2020_05,1
2020_06,1
2020_07,1
2020_08,1
2020_11,1
2020_12,3
2020_13,1
2020_14,1
2020_15,1
2020_16,2
2020_17,2
2020_18,1
2020_19,3
2020_20,1
2020_21,3
2020_22,1
2020_23,2
2020_24,2
2020_25,1
2020_26,2
2020_27,5
2020_28,1
2020_29,1
2020_30,3
2020_31,2
2020_32,4
2020_34,3
2020_35,2
2020_36,1
2020_37,3
2020_38,3
2020_40,1
2020_41,3
2020_42,1
2020_44,3
2020_45,1
2020_46,3
2020_47,2
2020_48,6
2020_49,1
2020_50,2
2020_51,4
2021_00,4
2021_01,4
2021_02,7
2021_03,3
2021_04,4
2021_05,3
2021_06,5
2021_08,5
2021_09,5
2021_10,2
2021_11,5
2021_12,2
2021_13,3
2021_14,5
2021_15,2
2021_16,6
2021_17,1
2021_18,4
2021_19,5
2021_20,4
2021_21,3
2021_22,2
2021_23,5
2021_24,3
2021_25,3
2021_26,4
2021_27,4
2021_29,3
2021_30,2
2021_31,5
2021_32,8
2021_33,4
2021_34,3
2021_35,1
2021_36,9
2021_37,2
2021_38,3
2021_39,2
2021_40,8
2021_41,2
2021_42,1
2021_43,3
2021_44,3
2021_45,5
2021_46,4
2021_47,3
2021_48,4
2021_49,3
2021_50,9
2021_51,4
2021_52,2
2022_00,9
2022_01,4
2022_02,9
2022_03,5
2022_04,10
2022_05,4
2022_06,5
2022_07,4
2022_08,6
2022_09,10
2022_10,6
2022_11,5
2022_12,9
2022_13,3
2022_14,3
2022_15,8
2022_16,9
2022_17,6
2022_18,5
2022_19,8
2022_20,7
2022_21,7
2022_22,6
2022_23,8
2022_24,4
2022_25,7
2022_26,6
2022_27,5
2022_28,8
2022_29,8
2022_30,3
2022_31,5
2022_32,6
2022_33,7
2022_34,9
2022_35,6
2022_36,7
2022_37,8
2022_38,8
2022_39,6
2022_40,4
2022_41,10
2022_42,3
2022_43,8
2022_44,6
2022_45,8
2022_46,8
2022_47,8
2022_48,3
2022_49,5
2022_50,5
2022_51,7
2022_52,2
2023_00,4
2023_01,10
2023_02,7
2023_03,7
2023_04,9
2023_05,4
2023_06,6
2023_07,7
2023_08,4
2023_09,5
2023_10,7
2023_11,6
2023_12,7
2023_13,7
2023_14,5
2023_15,9
2023_16,4
2023_17,12
2023_18,10
2023_19,7
2023_20,4
2023_21,5
2023_22,11
2023_23,7
2023_24,11
2023_25,7
2023_26,8
2023_27,5
2023_28,9
2023_29,14
2023_30,10
2023_31,8
2023_32,7
2023_33,9
2023_34,8
2023_35,4
2023_36,7
2023_37,9
2023_38,10
2023_39,7
2023_40,10
2023_41,7
2023_42,14
2023_43,8
2023_44,10
2023_45,5
2023_46,6
2023_47,5
2023_48,10
2023_49,3
