year_week,count
2019_33,2
2019_34,1
2019_36,1
2019_37,4
2019_39,4
2019_40,1
2019_41,2
2019_42,2
2019_43,3
2019_44,4
2019_45,6
2019_46,2
2019_47,4
2019_48,1
2019_49,2
2019_50,4
2019_51,5
2019_52,1
2020_00,3
2020_01,7
2020_02,2
2020_03,7
2020_04,4
2020_05,3
2020_06,5
2020_07,9
2020_08,8
2020_09,4
2020_10,7
2020_11,4
2020_12,6
2020_13,10
2020_14,5
2020_15,6
2020_16,6
2020_17,8
2020_18,10
2020_19,8
2020_20,6
2020_21,7
2020_22,8
2020_23,7
2020_24,11
2020_25,9
2020_26,10
2020_27,11
2020_28,9
2020_29,10
2020_30,8
2020_31,6
2020_32,7
2020_33,12
2020_34,8
2020_35,17
2020_36,5
2020_37,10
2020_38,10
2020_39,3
2020_40,7
2020_41,5
2020_42,10
2020_43,10
2020_44,17
2020_45,11
2020_46,8
2020_47,21
2020_48,14
2020_49,15
2020_50,7
2020_51,12
2020_52,1
2021_00,6
2021_01,11
2021_02,13
2021_03,10
2021_04,15
2021_05,10
2021_06,13
2021_07,7
2021_08,14
2021_09,18
2021_10,14
2021_11,18
2021_12,16
2021_13,16
2021_14,20
2021_15,23
2021_16,11
2021_17,13
2021_18,11
2021_19,13
2021_20,20
2021_21,12
2021_22,20
2021_23,13
2021_24,16
2021_25,20
2021_26,12
2021_27,17
2021_28,24
2021_29,16
2021_30,18
2021_31,26
2021_32,22
2021_33,16
2021_34,20
2021_35,28
2021_36,22
2021_37,13
2021_38,25
2021_39,17
2021_40,17
2021_41,18
2021_42,23
2021_43,17
2021_44,16
2021_45,23
2021_46,21
2021_47,32
2021_48,29
2021_49,28
2021_50,24
2021_51,23
2021_52,6
2022_00,23
2022_01,22
2022_02,17
2022_03,26
2022_04,22
2022_05,20
2022_06,33
2022_07,27
2022_08,27
2022_09,26
2022_10,24
2022_11,31
2022_12,26
2022_13,34
2022_14,33
2022_15,29
2022_16,19
2022_17,28
2022_18,24
2022_19,26
2022_20,29
2022_21,26
2022_22,34
2022_23,32
2022_24,28
2022_25,34
2022_26,22
2022_27,34
2022_28,34
2022_29,23
2022_30,29
2022_31,34
2022_32,17
2022_33,37
2022_34,26
2022_35,28
2022_36,33
2022_37,28
2022_38,28
2022_39,31
2022_40,30
2022_41,37
2022_42,28
2022_43,29
2022_44,36
2022_45,24
2022_46,31
2022_47,28
2022_48,20
2022_49,33
2022_50,29
2022_51,38
2022_52,15
2023_00,33
2023_01,45
2023_02,35
2023_03,38
2023_04,40
2023_05,34
2023_06,32
2023_07,43
2023_08,38
2023_09,37
2023_10,42
2023_11,33
2023_12,41
2023_13,33
2023_14,25
2023_15,21
2023_16,28
2023_17,32
2023_18,35
2023_19,41
2023_20,43
2023_21,52
2023_22,43
2023_23,38
2023_24,37
2023_25,39
2023_26,47
2023_27,37
2023_28,37
2023_29,47
2023_30,41
2023_31,34
2023_32,40
2023_33,42
2023_34,33
2023_35,33
2023_36,40
2023_37,32
2023_38,47
2023_39,27
2023_40,41
2023_41,36
2023_42,32
2023_43,38
2023_44,39
2023_45,44
2023_46,41
2023_47,52
2023_48,42
2023_49,16
