year_week,count
2019_29,1
2019_30,3
2019_31,5
2019_33,2
2019_34,2
2019_35,6
2019_36,5
2019_37,6
2019_38,5
2019_39,11
2019_40,13
2019_41,10
2019_42,4
2019_43,12
2019_44,10
2019_45,12
2019_46,11
2019_47,18
2019_48,15
2019_49,18
2019_50,11
2019_51,21
2019_52,7
2020_00,15
2020_01,27
2020_02,17
2020_03,23
2020_04,22
2020_05,23
2020_06,16
2020_07,19
2020_08,20
2020_09,18
2020_10,29
2020_11,27
2020_12,23
2020_13,27
2020_14,31
2020_15,29
2020_16,32
2020_17,29
2020_18,34
2020_19,20
2020_20,24
2020_21,34
2020_22,27
2020_23,31
2020_24,28
2020_25,28
2020_26,24
2020_27,30
2020_28,27
2020_29,40
2020_30,37
2020_31,42
2020_32,37
2020_33,45
2020_34,23
2020_35,34
2020_36,35
2020_37,43
2020_38,38
2020_39,36
2020_40,44
2020_41,44
2020_42,47
2020_43,47
2020_44,46
2020_45,56
2020_46,56
2020_47,59
2020_48,60
2020_49,47
2020_50,44
2020_51,51
2020_52,23
2021_00,49
2021_01,59
2021_02,43
2021_03,79
2021_04,54
2021_05,63
2021_06,48
2021_07,43
2021_08,48
2021_09,63
2021_10,53
2021_11,62
2021_12,55
2021_13,57
2021_14,74
2021_15,69
2021_16,78
2021_17,55
2021_18,62
2021_19,62
2021_20,70
2021_21,68
2021_22,54
2021_23,58
2021_24,75
2021_25,58
2021_26,76
2021_27,81
2021_28,51
2021_29,65
2021_30,62
2021_31,86
2021_32,73
2021_33,68
2021_34,76
2021_35,72
2021_36,81
2021_37,78
2021_38,75
2021_39,93
2021_40,82
2021_41,76
2021_42,70
2021_43,81
2021_44,84
2021_45,80
2021_46,87
2021_47,108
2021_48,70
2021_49,88
2021_50,90
2021_51,108
2021_52,38
2022_00,88
2022_01,90
2022_02,103
2022_03,73
2022_04,80
2022_05,76
2022_06,91
2022_07,103
2022_08,89
2022_09,93
2022_10,95
2022_11,87
2022_12,105
2022_13,97
2022_14,119
2022_15,102
2022_16,115
2022_17,108
2022_18,96
2022_19,90
2022_20,111
2022_21,107
2022_22,113
2022_23,114
2022_24,119
2022_25,117
2022_26,98
2022_27,93
2022_28,131
2022_29,100
2022_30,104
2022_31,112
2022_32,104
2022_33,131
2022_34,134
2022_35,116
2022_36,117
2022_37,123
2022_38,113
2022_39,103
2022_40,110
2022_41,130
2022_42,113
2022_43,132
2022_44,136
2022_45,130
2022_46,95
2022_47,131
2022_48,104
2022_49,126
2022_50,143
2022_51,118
2022_52,41
2023_00,93
2023_01,129
2023_02,138
2023_03,130
2023_04,145
2023_05,128
2023_06,130
2023_07,143
2023_08,147
2023_09,149
2023_10,157
2023_11,156
2023_12,144
2023_13,132
2023_14,149
2023_15,144
2023_16,136
2023_17,118
2023_18,163
2023_19,151
2023_20,145
2023_21,149
2023_22,155
2023_23,151
2023_24,142
2023_25,154
2023_26,143
2023_27,150
2023_28,160
2023_29,139
2023_30,147
2023_31,155
2023_32,167
2023_33,160
2023_34,187
2023_35,127
2023_36,142
2023_37,152
2023_38,156
2023_39,148
2023_40,153
2023_41,149
2023_42,154
2023_43,171
2023_44,153
2023_45,173
2023_46,155
2023_47,154
2023_48,177
2023_49,63
