year_week,count
2019_37,1
2019_39,1
2019_41,1
2019_43,2
2019_44,1
2019_45,1
2019_46,1
2019_47,3
2019_48,1
2019_49,1
2019_51,1
2020_00,1
2020_03,1
2020_05,2
2020_07,1
2020_09,1
2020_10,1
2020_11,1
2020_12,1
2020_13,4
2020_14,1
2020_16,1
2020_17,1
2020_18,4
2020_19,1
2020_20,3
2020_21,2
2020_22,2
2020_23,2
2020_24,4
2020_25,3
2020_26,1
2020_27,2
2020_28,1
2020_29,4
2020_30,3
2020_31,2
2020_32,1
2020_33,3
2020_34,3
2020_36,1
2020_37,2
2020_38,3
2020_39,2
2020_40,2
2020_41,3
2020_42,1
2020_43,4
2020_44,6
2020_45,2
2020_46,5
2020_47,3
2020_48,1
2020_49,1
2020_50,3
2020_51,3
2020_52,1
2021_00,3
2021_01,3
2021_02,4
2021_03,2
2021_04,4
2021_05,3
2021_06,1
2021_07,3
2021_08,2
2021_09,5
2021_10,1
2021_11,6
2021_12,2
2021_13,6
2021_14,1
2021_15,2
2021_16,3
2021_17,3
2021_18,3
2021_19,3
2021_20,6
2021_21,3
2021_22,4
2021_23,4
2021_24,3
2021_25,4
2021_26,1
2021_27,8
2021_28,5
2021_29,5
2021_30,2
2021_31,5
2021_32,1
2021_33,5
2021_34,2
2021_35,6
2021_36,4
2021_37,2
2021_38,8
2021_39,6
2021_40,4
2021_41,5
2021_42,3
2021_43,4
2021_44,5
2021_45,4
2021_46,8
2021_47,3
2021_48,6
2021_49,3
2021_50,4
2021_51,7
2021_52,1
2022_00,4
2022_02,2
2022_03,5
2022_04,9
2022_05,4
2022_06,6
2022_07,3
2022_08,5
2022_09,8
2022_10,8
2022_11,5
2022_12,6
2022_13,2
2022_14,5
2022_15,7
2022_16,5
2022_17,7
2022_18,6
2022_19,3
2022_20,3
2022_21,7
2022_22,7
2022_23,11
2022_24,5
2022_25,7
2022_26,6
2022_27,2
2022_28,4
2022_29,2
2022_30,6
2022_31,8
2022_32,2
2022_33,9
2022_34,5
2022_35,5
2022_36,4
2022_37,5
2022_38,1
2022_39,3
2022_40,5
2022_41,3
2022_42,7
2022_43,2
2022_44,6
2022_45,11
2022_46,6
2022_47,6
2022_48,3
2022_49,7
2022_50,10
2022_51,6
2022_52,1
2023_00,3
2023_01,5
2023_02,5
2023_03,6
2023_04,11
2023_05,10
2023_06,7
2023_07,8
2023_08,8
2023_09,6
2023_10,4
2023_11,6
2023_12,9
2023_13,11
2023_14,5
2023_15,7
2023_16,7
2023_17,3
2023_18,1
2023_19,10
2023_20,7
2023_21,11
2023_22,12
2023_23,9
2023_24,9
2023_25,3
2023_26,5
2023_27,5
2023_28,6
2023_29,7
2023_30,7
2023_31,12
2023_32,9
2023_33,14
2023_34,10
2023_35,6
2023_36,8
2023_37,6
2023_38,11
2023_39,4
2023_40,7
2023_41,5
2023_42,4
2023_43,7
2023_44,6
2023_45,6
2023_46,9
2023_47,7
2023_48,9
2023_49,2
