year_week,count
2019_28,2
2019_29,1
2019_30,4
2019_31,2
2019_32,4
2019_33,6
2019_34,6
2019_35,9
2019_36,14
2019_37,11
2019_38,17
2019_39,15
2019_40,12
2019_41,14
2019_42,15
2019_43,19
2019_44,16
2019_45,22
2019_46,18
2019_47,18
2019_48,21
2019_49,28
2019_50,24
2019_51,25
2019_52,6
2020_00,30
2020_01,23
2020_02,31
2020_03,33
2020_04,32
2020_05,40
2020_06,31
2020_07,42
2020_08,34
2020_09,41
2020_10,42
2020_11,37
2020_12,40
2020_13,31
2020_14,55
2020_15,36
2020_16,41
2020_17,47
2020_18,46
2020_19,50
2020_20,49
2020_21,49
2020_22,45
2020_23,58
2020_24,59
2020_25,44
2020_26,52
2020_27,50
2020_28,67
2020_29,60
2020_30,67
2020_31,54
2020_32,48
2020_33,72
2020_34,53
2020_35,70
2020_36,72
2020_37,71
2020_38,61
2020_39,78
2020_40,58
2020_41,64
2020_42,61
2020_43,75
2020_44,64
2020_45,69
2020_46,60
2020_47,76
2020_48,64
2020_49,89
2020_50,78
2020_51,89
2020_52,22
2021_00,57
2021_01,83
2021_02,70
2021_03,70
2021_04,89
2021_05,83
2021_06,84
2021_07,80
2021_08,105
2021_09,91
2021_10,95
2021_11,81
2021_12,102
2021_13,89
2021_14,92
2021_15,95
2021_16,100
2021_17,90
2021_18,92
2021_19,87
2021_20,84
2021_21,91
2021_22,109
2021_23,110
2021_24,99
2021_25,121
2021_26,97
2021_27,93
2021_28,94
2021_29,122
2021_30,104
2021_31,121
2021_32,106
2021_33,129
2021_34,120
2021_35,102
2021_36,122
2021_37,120
2021_38,135
2021_39,113
2021_40,95
2021_41,117
2021_42,116
2021_43,146
2021_44,137
2021_45,132
2021_46,131
2021_47,107
2021_48,148
2021_49,124
2021_50,135
2021_51,120
2021_52,28
2022_00,115
2022_01,129
2022_02,147
2022_03,140
2022_04,139
2022_05,124
2022_06,155
2022_07,160
2022_08,144
2022_09,149
2022_10,141
2022_11,172
2022_12,159
2022_13,139
2022_14,183
2022_15,136
2022_16,166
2022_17,145
2022_18,157
2022_19,180
2022_20,149
2022_21,124
2022_22,147
2022_23,139
2022_24,177
2022_25,148
2022_26,151
2022_27,181
2022_28,158
2022_29,164
2022_30,210
2022_31,177
2022_32,176
2022_33,164
2022_34,173
2022_35,182
2022_36,170
2022_37,167
2022_38,193
2022_39,185
2022_40,191
2022_41,186
2022_42,181
2022_43,164
2022_44,220
2022_45,172
2022_46,146
2022_47,162
2022_48,202
2022_49,197
2022_50,195
2022_51,198
2022_52,59
2023_00,144
2023_01,227
2023_02,196
2023_03,207
2023_04,192
2023_05,190
2023_06,206
2023_07,210
2023_08,251
2023_09,221
2023_10,201
2023_11,192
2023_12,259
2023_13,205
2023_14,231
2023_15,240
2023_16,229
2023_17,232
2023_18,219
2023_19,230
2023_20,214
2023_21,250
2023_22,214
2023_23,225
2023_24,227
2023_25,221
2023_26,217
2023_27,247
2023_28,217
2023_29,236
2023_30,261
2023_31,212
2023_32,210
2023_33,239
2023_34,242
2023_35,237
2023_36,240
2023_37,262
2023_38,235
2023_39,232
2023_40,245
2023_41,266
2023_42,237
2023_43,204
2023_44,263
2023_45,261
2023_46,247
2023_47,245
2023_48,260
2023_49,93
