year_week,count
2019_31,2
2019_33,1
2019_34,1
2019_36,2
2019_37,1
2019_39,1
2019_40,4
2019_41,4
2019_42,2
2019_43,4
2019_45,3
2019_46,2
2019_47,2
2019_48,2
2019_49,3
2019_50,3
2019_51,4
2019_52,1
2020_00,3
2020_01,4
2020_02,6
2020_03,6
2020_04,9
2020_05,9
2020_06,4
2020_07,4
2020_08,8
2020_09,2
2020_10,4
2020_11,7
2020_12,8
2020_13,2
2020_14,6
2020_15,6
2020_16,3
2020_17,4
2020_18,4
2020_19,7
2020_20,8
2020_21,8
2020_22,10
2020_23,5
2020_24,6
2020_25,7
2020_26,9
2020_27,5
2020_28,6
2020_29,8
2020_30,11
2020_31,6
2020_32,9
2020_33,11
2020_34,5
2020_35,4
2020_36,8
2020_37,6
2020_38,6
2020_39,5
2020_40,5
2020_41,11
2020_42,7
2020_43,7
2020_44,11
2020_45,3
2020_46,10
2020_47,9
2020_48,11
2020_49,13
2020_50,9
2020_51,15
2020_52,9
2021_00,9
2021_01,15
2021_02,7
2021_03,8
2021_04,6
2021_05,9
2021_06,9
2021_07,12
2021_08,11
2021_09,16
2021_10,14
2021_11,13
2021_12,10
2021_13,11
2021_14,10
2021_15,11
2021_16,10
2021_17,9
2021_18,17
2021_19,19
2021_20,11
2021_21,15
2021_22,13
2021_23,11
2021_24,16
2021_25,18
2021_26,16
2021_27,21
2021_28,9
2021_29,12
2021_30,16
2021_31,13
2021_32,6
2021_33,13
2021_34,8
2021_35,14
2021_36,22
2021_37,20
2021_38,29
2021_39,20
2021_40,14
2021_41,13
2021_42,12
2021_43,30
2021_44,12
2021_45,25
2021_46,18
2021_47,24
2021_48,11
2021_49,23
2021_50,12
2021_51,17
2021_52,3
2022_00,30
2022_01,25
2022_02,15
2022_03,11
2022_04,21
2022_05,15
2022_06,14
2022_07,20
2022_08,23
2022_09,21
2022_10,29
2022_11,26
2022_12,23
2022_13,22
2022_14,20
2022_15,20
2022_16,23
2022_17,17
2022_18,30
2022_19,19
2022_20,20
2022_21,18
2022_22,28
2022_23,27
2022_24,23
2022_25,17
2022_26,25
2022_27,24
2022_28,18
2022_29,32
2022_30,22
2022_31,26
2022_32,21
2022_33,24
2022_34,16
2022_35,21
2022_36,19
2022_37,20
2022_38,29
2022_39,18
2022_40,20
2022_41,30
2022_42,28
2022_43,27
2022_44,23
2022_45,30
2022_46,22
2022_47,28
2022_48,14
2022_49,26
2022_50,20
2022_51,27
2022_52,14
2023_00,25
2023_01,30
2023_02,25
2023_03,18
2023_04,24
2023_05,31
2023_06,27
2023_07,27
2023_08,27
2023_09,36
2023_10,32
2023_11,29
2023_12,28
2023_13,34
2023_14,28
2023_15,28
2023_16,28
2023_17,29
2023_18,26
2023_19,31
2023_20,23
2023_21,35
2023_22,31
2023_23,29
2023_24,40
2023_25,23
2023_26,29
2023_27,31
2023_28,32
2023_29,44
2023_30,38
2023_31,27
2023_32,32
2023_33,33
2023_34,29
2023_35,26
2023_36,34
2023_37,24
2023_38,36
2023_39,29
2023_40,35
2023_41,26
2023_42,33
2023_43,32
2023_44,24
2023_45,36
2023_46,37
2023_47,54
2023_48,35
2023_49,9
