year_week,count
2019_28,1
2019_30,1
2019_31,1
2019_32,1
2019_35,1
2019_36,1
2019_37,1
2019_38,5
2019_39,1
2019_41,5
2019_42,1
2019_43,2
2019_44,1
2019_45,2
2019_46,3
2019_47,1
2019_48,2
2019_49,1
2019_50,4
2019_51,7
2020_01,5
2020_02,3
2020_03,3
2020_04,5
2020_05,3
2020_06,3
2020_07,10
2020_08,10
2020_09,4
2020_10,6
2020_11,3
2020_12,4
2020_13,8
2020_14,6
2020_15,3
2020_16,4
2020_17,8
2020_18,6
2020_19,3
2020_20,9
2020_21,12
2020_22,9
2020_23,7
2020_24,6
2020_25,6
2020_26,6
2020_27,6
2020_28,10
2020_29,5
2020_30,6
2020_31,5
2020_32,13
2020_33,7
2020_34,5
2020_35,7
2020_36,5
2020_37,11
2020_38,8
2020_39,9
2020_40,2
2020_41,5
2020_42,14
2020_43,8
2020_44,11
2020_45,9
2020_46,10
2020_47,16
2020_48,10
2020_49,9
2020_50,14
2020_51,17
2020_52,2
2021_00,10
2021_01,14
2021_02,10
2021_03,14
2021_04,10
2021_05,9
2021_06,14
2021_07,9
2021_08,11
2021_09,14
2021_10,19
2021_11,8
2021_12,10
2021_13,13
2021_14,14
2021_15,11
2021_16,16
2021_17,11
2021_18,22
2021_19,11
2021_20,14
2021_21,18
2021_22,10
2021_23,11
2021_24,11
2021_25,15
2021_26,9
2021_27,16
2021_28,11
2021_29,14
2021_30,17
2021_31,11
2021_32,13
2021_33,12
2021_34,8
2021_35,15
2021_36,22
2021_37,16
2021_38,18
2021_39,9
2021_40,12
2021_41,23
2021_42,12
2021_43,17
2021_44,23
2021_45,16
2021_46,15
2021_47,14
2021_48,19
2021_49,16
2021_50,16
2021_51,23
2021_52,3
2022_00,14
2022_01,20
2022_02,17
2022_03,22
2022_04,16
2022_05,18
2022_06,21
2022_07,16
2022_08,15
2022_09,22
2022_10,21
2022_11,16
2022_12,24
2022_13,23
2022_14,32
2022_15,23
2022_16,23
2022_17,18
2022_18,20
2022_19,25
2022_20,30
2022_21,18
2022_22,24
2022_23,25
2022_24,23
2022_25,18
2022_26,27
2022_27,31
2022_28,25
2022_29,16
2022_30,26
2022_31,24
2022_32,25
2022_33,21
2022_34,24
2022_35,22
2022_36,35
2022_37,26
2022_38,30
2022_39,25
2022_40,25
2022_41,22
2022_42,26
2022_43,26
2022_44,24
2022_45,28
2022_46,16
2022_47,26
2022_48,23
2022_49,32
2022_50,30
2022_51,36
2022_52,5
2023_00,17
2023_01,24
2023_02,22
2023_03,27
2023_04,21
2023_05,26
2023_06,35
2023_07,36
2023_08,38
2023_09,23
2023_10,30
2023_11,33
2023_12,37
2023_13,35
2023_14,45
2023_15,38
2023_16,27
2023_17,26
2023_18,33
2023_19,23
2023_20,35
2023_21,28
2023_22,25
2023_23,29
2023_24,32
2023_25,34
2023_26,36
2023_27,27
2023_28,26
2023_29,35
2023_30,39
2023_31,30
2023_32,26
2023_33,35
2023_34,35
2023_35,32
2023_36,25
2023_37,33
2023_38,32
2023_39,35
2023_40,30
2023_41,25
2023_42,29
2023_43,39
2023_44,52
2023_45,38
2023_46,42
2023_47,41
2023_48,41
2023_49,23
