year_week,count
2019_28,1
2019_30,2
2019_31,2
2019_32,2
2019_33,4
2019_34,2
2019_35,1
2019_36,4
2019_37,1
2019_38,2
2019_39,4
2019_40,1
2019_41,8
2019_42,3
2019_43,3
2019_44,3
2019_45,6
2019_46,2
2019_47,5
2019_48,5
2019_49,7
2019_50,8
2019_51,5
2019_52,2
2020_00,8
2020_01,8
2020_02,13
2020_03,11
2020_04,10
2020_05,9
2020_06,8
2020_07,9
2020_08,6
2020_09,13
2020_10,9
2020_11,14
2020_12,13
2020_13,14
2020_14,15
2020_15,9
2020_16,14
2020_17,10
2020_18,11
2020_19,9
2020_20,4
2020_21,6
2020_22,11
2020_23,17
2020_24,11
2020_25,10
2020_26,12
2020_27,13
2020_28,14
2020_29,13
2020_30,18
2020_31,18
2020_32,17
2020_33,12
2020_34,16
2020_35,18
2020_36,16
2020_37,21
2020_38,17
2020_39,12
2020_40,21
2020_41,20
2020_42,15
2020_43,18
2020_44,18
2020_45,11
2020_46,15
2020_47,14
2020_48,23
2020_49,17
2020_50,16
2020_51,23
2020_52,5
2021_00,20
2021_01,21
2021_02,14
2021_03,21
2021_04,36
2021_05,13
2021_06,32
2021_07,31
2021_08,20
2021_09,25
2021_10,26
2021_11,25
2021_12,24
2021_13,24
2021_14,30
2021_15,23
2021_16,26
2021_17,23
2021_18,23
2021_19,21
2021_20,29
2021_21,16
2021_22,23
2021_23,22
2021_24,29
2021_25,22
2021_26,31
2021_27,40
2021_28,25
2021_29,25
2021_30,37
2021_31,18
2021_32,31
2021_33,37
2021_34,33
2021_35,25
2021_36,37
2021_37,22
2021_38,27
2021_39,33
2021_40,38
2021_41,36
2021_42,26
2021_43,31
2021_44,38
2021_45,20
2021_46,33
2021_47,32
2021_48,38
2021_49,43
2021_50,36
2021_51,37
2021_52,7
2022_00,27
2022_01,36
2022_02,37
2022_03,43
2022_04,26
2022_05,27
2022_06,32
2022_07,32
2022_08,38
2022_09,35
2022_10,43
2022_11,39
2022_12,40
2022_13,42
2022_14,28
2022_15,28
2022_16,37
2022_17,37
2022_18,40
2022_19,34
2022_20,48
2022_21,31
2022_22,44
2022_23,39
2022_24,33
2022_25,55
2022_26,38
2022_27,56
2022_28,44
2022_29,42
2022_30,40
2022_31,44
2022_32,44
2022_33,37
2022_34,35
2022_35,36
2022_36,45
2022_37,42
2022_38,40
2022_39,51
2022_40,43
2022_41,40
2022_42,39
2022_43,46
2022_44,48
2022_45,43
2022_46,61
2022_47,40
2022_48,47
2022_49,51
2022_50,32
2022_51,41
2022_52,11
2023_00,42
2023_01,45
2023_02,25
2023_03,51
2023_04,51
2023_05,67
2023_06,55
2023_07,40
2023_08,49
2023_09,61
2023_10,54
2023_11,62
2023_12,63
2023_13,44
2023_14,43
2023_15,39
2023_16,62
2023_17,56
2023_18,48
2023_19,68
2023_20,63
2023_21,58
2023_22,62
2023_23,66
2023_24,57
2023_25,49
2023_26,48
2023_27,51
2023_28,65
2023_29,52
2023_30,55
2023_31,56
2023_32,63
2023_33,55
2023_34,57
2023_35,52
2023_36,66
2023_37,60
2023_38,64
2023_39,69
2023_40,60
2023_41,46
2023_42,70
2023_43,73
2023_44,62
2023_45,64
2023_46,66
2023_47,53
2023_48,52
2023_49,29
