year_week,count
2019_30,1
2019_31,1
2019_32,2
2019_33,3
2019_34,1
2019_35,5
2019_36,2
2019_37,3
2019_38,7
2019_39,5
2019_40,5
2019_41,3
2019_42,5
2019_43,6
2019_44,6
2019_45,10
2019_46,5
2019_47,5
2019_48,9
2019_49,9
2019_50,6
2019_51,2
2019_52,6
2020_00,7
2020_01,14
2020_02,10
2020_03,6
2020_04,13
2020_05,18
2020_06,5
2020_07,11
2020_08,5
2020_09,12
2020_10,8
2020_11,14
2020_12,12
2020_13,9
2020_14,11
2020_15,13
2020_16,10
2020_17,13
2020_18,9
2020_19,22
2020_20,11
2020_21,20
2020_22,13
2020_23,13
2020_24,16
2020_25,16
2020_26,15
2020_27,18
2020_28,22
2020_29,25
2020_30,14
2020_31,16
2020_32,21
2020_33,20
2020_34,21
2020_35,24
2020_36,22
2020_37,20
2020_38,18
2020_39,19
2020_40,25
2020_41,25
2020_42,25
2020_43,23
2020_44,26
2020_45,24
2020_46,18
2020_47,17
2020_48,15
2020_49,20
2020_50,33
2020_51,24
2020_52,9
2021_00,21
2021_01,22
2021_02,23
2021_03,25
2021_04,19
2021_05,20
2021_06,25
2021_07,19
2021_08,25
2021_09,34
2021_10,29
2021_11,30
2021_12,27
2021_13,31
2021_14,23
2021_15,24
2021_16,35
2021_17,33
2021_18,37
2021_19,28
2021_20,42
2021_21,23
2021_22,36
2021_23,35
2021_24,26
2021_25,39
2021_26,42
2021_27,41
2021_28,32
2021_29,30
2021_30,30
2021_31,35
2021_32,27
2021_33,42
2021_34,55
2021_35,29
2021_36,46
2021_37,41
2021_38,34
2021_39,39
2021_40,42
2021_41,33
2021_42,49
2021_43,34
2021_44,50
2021_45,28
2021_46,45
2021_47,31
2021_48,36
2021_49,33
2021_50,47
2021_51,47
2021_52,9
2022_00,33
2022_01,34
2022_02,48
2022_03,51
2022_04,41
2022_05,44
2022_06,43
2022_07,50
2022_08,32
2022_09,40
2022_10,52
2022_11,57
2022_12,53
2022_13,51
2022_14,45
2022_15,46
2022_16,34
2022_17,48
2022_18,57
2022_19,44
2022_20,47
2022_21,43
2022_22,52
2022_23,44
2022_24,46
2022_25,40
2022_26,50
2022_27,53
2022_28,45
2022_29,49
2022_30,53
2022_31,49
2022_32,39
2022_33,56
2022_34,56
2022_35,49
2022_36,45
2022_37,65
2022_38,50
2022_39,51
2022_40,59
2022_41,61
2022_42,67
2022_43,48
2022_44,52
2022_45,43
2022_46,59
2022_47,58
2022_48,55
2022_49,53
2022_50,62
2022_51,55
2022_52,18
2023_00,37
2023_01,54
2023_02,68
2023_03,64
2023_04,54
2023_05,62
2023_06,74
2023_07,66
2023_08,65
2023_09,71
2023_10,63
2023_11,74
2023_12,70
2023_13,63
2023_14,65
2023_15,68
2023_16,74
2023_17,61
2023_18,56
2023_19,47
2023_20,62
2023_21,67
2023_22,74
2023_23,64
2023_24,75
2023_25,71
2023_26,73
2023_27,73
2023_28,77
2023_29,71
2023_30,61
2023_31,70
2023_32,71
2023_33,60
2023_34,63
2023_35,70
2023_36,80
2023_37,71
2023_38,64
2023_39,87
2023_40,63
2023_41,65
2023_42,72
2023_43,80
2023_44,64
2023_45,100
2023_46,87
2023_47,71
2023_48,79
2023_49,28
