year_week,count
2019_30,3
2019_32,1
2019_33,1
2019_34,2
2019_35,2
2019_36,2
2019_37,4
2019_38,8
2019_39,6
2019_40,3
2019_41,2
2019_42,4
2019_43,2
2019_44,3
2019_45,9
2019_46,3
2019_47,13
2019_48,7
2019_49,6
2019_50,5
2019_51,6
2019_52,1
2020_00,10
2020_01,9
2020_02,2
2020_03,5
2020_04,11
2020_05,6
2020_06,7
2020_07,11
2020_08,10
2020_09,3
2020_10,14
2020_11,11
2020_12,12
2020_13,12
2020_14,7
2020_15,19
2020_16,14
2020_17,15
2020_18,9
2020_19,11
2020_20,11
2020_21,17
2020_22,15
2020_23,26
2020_24,16
2020_25,10
2020_26,14
2020_27,12
2020_28,21
2020_29,13
2020_30,14
2020_31,17
2020_32,14
2020_33,21
2020_34,17
2020_35,18
2020_36,18
2020_37,21
2020_38,26
2020_39,13
2020_40,23
2020_41,20
2020_42,22
2020_43,20
2020_44,19
2020_45,24
2020_46,26
2020_47,16
2020_48,23
2020_49,21
2020_50,25
2020_51,24
2020_52,10
2021_00,26
2021_01,22
2021_02,21
2021_03,16
2021_04,16
2021_05,17
2021_06,35
2021_07,23
2021_08,27
2021_09,22
2021_10,29
2021_11,36
2021_12,20
2021_13,19
2021_14,36
2021_15,28
2021_16,27
2021_17,26
2021_18,26
2021_19,22
2021_20,32
2021_21,20
2021_22,34
2021_23,32
2021_24,32
2021_25,25
2021_26,32
2021_27,34
2021_28,34
2021_29,31
2021_30,32
2021_31,22
2021_32,40
2021_33,48
2021_34,32
2021_35,24
2021_36,41
2021_37,28
2021_38,31
2021_39,25
2021_40,35
2021_41,28
2021_42,33
2021_43,39
2021_44,35
2021_45,28
2021_46,43
2021_47,38
2021_48,35
2021_49,44
2021_50,47
2021_51,55
2021_52,10
2022_00,32
2022_01,34
2022_02,42
2022_03,37
2022_04,30
2022_05,47
2022_06,55
2022_07,39
2022_08,52
2022_09,47
2022_10,42
2022_11,32
2022_12,49
2022_13,54
2022_14,36
2022_15,30
2022_16,60
2022_17,40
2022_18,34
2022_19,45
2022_20,42
2022_21,37
2022_22,45
2022_23,39
2022_24,37
2022_25,48
2022_26,44
2022_27,47
2022_28,45
2022_29,43
2022_30,49
2022_31,43
2022_32,42
2022_33,48
2022_34,50
2022_35,60
2022_36,39
2022_37,46
2022_38,61
2022_39,46
2022_40,40
2022_41,54
2022_42,56
2022_43,42
2022_44,54
2022_45,41
2022_46,49
2022_47,80
2022_48,67
2022_49,58
2022_50,45
2022_51,59
2022_52,17
2023_00,39
2023_01,62
2023_02,62
2023_03,56
2023_04,51
2023_05,53
2023_06,53
2023_07,57
2023_08,61
2023_09,59
2023_10,61
2023_11,71
2023_12,62
2023_13,60
2023_14,50
2023_15,58
2023_16,59
2023_17,73
2023_18,63
2023_19,60
2023_20,60
2023_21,80
2023_22,62
2023_23,67
2023_24,77
2023_25,68
2023_26,62
2023_27,74
2023_28,66
2023_29,73
2023_30,69
2023_31,70
2023_32,59
2023_33,79
2023_34,68
2023_35,75
2023_36,63
2023_37,72
2023_38,65
2023_39,55
2023_40,53
2023_41,68
2023_42,62
2023_43,65
2023_44,65
2023_45,69
2023_46,79
2023_47,62
2023_48,65
2023_49,31
