year_week,count
2019_28,1
2019_29,2
2019_30,2
2019_33,3
2019_34,1
2019_35,2
2019_36,4
2019_38,2
2019_39,3
2019_40,6
2019_41,5
2019_42,3
2019_43,5
2019_44,8
2019_45,5
2019_46,8
2019_47,4
2019_48,9
2019_49,8
2019_50,5
2019_51,3
2019_52,2
2020_00,13
2020_01,3
2020_02,10
2020_03,9
2020_04,3
2020_05,8
2020_06,4
2020_07,8
2020_08,10
2020_09,12
2020_10,10
2020_11,9
2020_12,13
2020_13,11
2020_14,9
2020_15,11
2020_16,7
2020_17,12
2020_18,9
2020_19,8
2020_20,11
2020_21,11
2020_22,19
2020_23,8
2020_24,16
2020_25,11
2020_26,9
2020_27,17
2020_28,10
2020_29,10
2020_30,14
2020_31,18
2020_32,17
2020_33,17
2020_34,11
2020_35,15
2020_36,10
2020_37,14
2020_38,19
2020_39,9
2020_40,17
2020_41,10
2020_42,11
2020_43,12
2020_44,19
2020_45,18
2020_46,16
2020_47,11
2020_48,19
2020_49,16
2020_50,15
2020_51,19
2020_52,4
2021_00,14
2021_01,18
2021_02,24
2021_03,18
2021_04,19
2021_05,15
2021_06,15
2021_07,17
2021_08,15
2021_09,19
2021_10,14
2021_11,27
2021_12,26
2021_13,20
2021_14,24
2021_15,20
2021_16,27
2021_17,18
2021_18,16
2021_19,22
2021_20,25
2021_21,20
2021_22,24
2021_23,25
2021_24,25
2021_25,25
2021_26,27
2021_27,24
2021_28,24
2021_29,31
2021_30,26
2021_31,25
2021_32,24
2021_33,21
2021_34,31
2021_35,25
2021_36,28
2021_37,30
2021_38,23
2021_39,32
2021_40,32
2021_41,24
2021_42,36
2021_43,35
2021_44,28
2021_45,30
2021_46,27
2021_47,34
2021_48,39
2021_49,38
2021_50,36
2021_51,34
2021_52,8
2022_00,24
2022_01,34
2022_02,33
2022_03,37
2022_04,34
2022_05,35
2022_06,26
2022_07,39
2022_08,38
2022_09,43
2022_10,33
2022_11,32
2022_12,39
2022_13,36
2022_14,33
2022_15,33
2022_16,32
2022_17,38
2022_18,34
2022_19,36
2022_20,39
2022_21,48
2022_22,41
2022_23,41
2022_24,51
2022_25,28
2022_26,40
2022_27,29
2022_28,42
2022_29,45
2022_30,40
2022_31,43
2022_32,47
2022_33,39
2022_34,39
2022_35,29
2022_36,47
2022_37,47
2022_38,40
2022_39,46
2022_40,52
2022_41,50
2022_42,55
2022_43,46
2022_44,48
2022_45,47
2022_46,52
2022_47,61
2022_48,39
2022_49,51
2022_50,43
2022_51,47
2022_52,11
2023_00,37
2023_01,60
2023_02,53
2023_03,49
2023_04,50
2023_05,47
2023_06,44
2023_07,58
2023_08,66
2023_09,37
2023_10,55
2023_11,44
2023_12,56
2023_13,57
2023_14,50
2023_15,44
2023_16,56
2023_17,43
2023_18,65
2023_19,43
2023_20,56
2023_21,55
2023_22,55
2023_23,57
2023_24,59
2023_25,52
2023_26,48
2023_27,55
2023_28,59
2023_29,78
2023_30,72
2023_31,58
2023_32,64
2023_33,57
2023_34,58
2023_35,66
2023_36,55
2023_37,66
2023_38,52
2023_39,73
2023_40,56
2023_41,70
2023_42,60
2023_43,58
2023_44,74
2023_45,57
2023_46,66
2023_47,52
2023_48,57
2023_49,21
