year_week,count
2019_27,1
2019_28,1
2019_29,1
2019_30,12
2019_31,3
2019_32,4
2019_33,3
2019_34,15
2019_35,6
2019_36,9
2019_37,10
2019_38,10
2019_39,22
2019_40,16
2019_41,17
2019_42,22
2019_43,24
2019_44,20
2019_45,21
2019_46,17
2019_47,33
2019_48,18
2019_49,27
2019_50,29
2019_51,29
2019_52,8
2020_00,42
2020_01,42
2020_02,33
2020_03,40
2020_04,35
2020_05,39
2020_06,34
2020_07,38
2020_08,47
2020_09,35
2020_10,33
2020_11,30
2020_12,49
2020_13,51
2020_14,38
2020_15,44
2020_16,47
2020_17,51
2020_18,52
2020_19,35
2020_20,59
2020_21,62
2020_22,68
2020_23,57
2020_24,49
2020_25,50
2020_26,62
2020_27,66
2020_28,62
2020_29,59
2020_30,68
2020_31,48
2020_32,78
2020_33,65
2020_34,53
2020_35,47
2020_36,54
2020_37,52
2020_38,72
2020_39,64
2020_40,66
2020_41,58
2020_42,55
2020_43,65
2020_44,82
2020_45,83
2020_46,86
2020_47,91
2020_48,79
2020_49,84
2020_50,75
2020_51,80
2020_52,27
2021_00,69
2021_01,80
2021_02,89
2021_03,97
2021_04,99
2021_05,88
2021_06,84
2021_07,82
2021_08,75
2021_09,98
2021_10,110
2021_11,106
2021_12,108
2021_13,91
2021_14,92
2021_15,118
2021_16,99
2021_17,91
2021_18,96
2021_19,110
2021_20,109
2021_21,102
2021_22,113
2021_23,92
2021_24,112
2021_25,108
2021_26,134
2021_27,119
2021_28,110
2021_29,108
2021_30,103
2021_31,112
2021_32,136
2021_33,128
2021_34,108
2021_35,122
2021_36,152
2021_37,130
2021_38,144
2021_39,116
2021_40,133
2021_41,121
2021_42,118
2021_43,144
2021_44,134
2021_45,142
2021_46,158
2021_47,136
2021_48,142
2021_49,149
2021_50,134
2021_51,136
2021_52,35
2022_00,119
2022_01,145
2022_02,138
2022_03,155
2022_04,137
2022_05,144
2022_06,142
2022_07,144
2022_08,171
2022_09,176
2022_10,168
2022_11,158
2022_12,172
2022_13,168
2022_14,171
2022_15,155
2022_16,162
2022_17,157
2022_18,191
2022_19,194
2022_20,179
2022_21,170
2022_22,211
2022_23,206
2022_24,170
2022_25,174
2022_26,178
2022_27,191
2022_28,205
2022_29,183
2022_30,166
2022_31,196
2022_32,183
2022_33,184
2022_34,196
2022_35,201
2022_36,188
2022_37,189
2022_38,183
2022_39,202
2022_40,192
2022_41,232
2022_42,214
2022_43,207
2022_44,174
2022_45,231
2022_46,220
2022_47,211
2022_48,215
2022_49,246
2022_50,211
2022_51,228
2022_52,48
2023_00,160
2023_01,210
2023_02,210
2023_03,210
2023_04,237
2023_05,219
2023_06,213
2023_07,227
2023_08,256
2023_09,221
2023_10,228
2023_11,231
2023_12,261
2023_13,241
2023_14,209
2023_15,240
2023_16,255
2023_17,215
2023_18,229
2023_19,226
2023_20,196
2023_21,239
2023_22,243
2023_23,270
2023_24,278
2023_25,229
2023_26,218
2023_27,242
2023_28,232
2023_29,269
2023_30,273
2023_31,248
2023_32,255
2023_33,249
2023_34,276
2023_35,244
2023_36,247
2023_37,260
2023_38,248
2023_39,267
2023_40,300
2023_41,263
2023_42,272
2023_43,267
2023_44,298
2023_45,279
2023_46,271
2023_47,272
2023_48,264
2023_49,121
