year_week,count
2019_33,1
2019_36,3
2019_37,2
2019_38,1
2019_39,3
2019_40,5
2019_41,2
2019_42,2
2019_43,1
2019_44,2
2019_45,2
2019_46,5
2019_47,3
2019_48,6
2019_49,2
2019_50,4
2019_51,1
2020_00,2
2020_01,5
2020_02,1
2020_03,5
2020_04,4
2020_05,3
2020_06,5
2020_07,8
2020_08,3
2020_09,3
2020_10,3
2020_11,10
2020_12,5
2020_13,6
2020_14,4
2020_15,5
2020_16,2
2020_17,5
2020_18,8
2020_19,4
2020_20,5
2020_21,9
2020_22,9
2020_23,7
2020_24,2
2020_25,8
2020_26,9
2020_27,8
2020_28,7
2020_29,10
2020_30,4
2020_31,3
2020_32,6
2020_33,7
2020_34,9
2020_35,8
2020_36,8
2020_37,7
2020_38,9
2020_39,7
2020_40,9
2020_41,9
2020_42,10
2020_43,10
2020_44,11
2020_45,14
2020_46,12
2020_47,7
2020_48,13
2020_49,10
2020_50,9
2020_51,15
2020_52,5
2021_00,15
2021_01,12
2021_02,9
2021_03,5
2021_04,18
2021_05,12
2021_06,14
2021_07,11
2021_08,15
2021_09,9
2021_10,14
2021_11,14
2021_12,18
2021_13,12
2021_14,15
2021_15,21
2021_16,15
2021_17,12
2021_18,19
2021_19,15
2021_20,12
2021_21,14
2021_22,13
2021_23,18
2021_24,15
2021_25,13
2021_26,6
2021_27,14
2021_28,14
2021_29,18
2021_30,9
2021_31,11
2021_32,17
2021_33,14
2021_34,20
2021_35,11
2021_36,21
2021_37,25
2021_38,19
2021_39,16
2021_40,12
2021_41,15
2021_42,14
2021_43,10
2021_44,15
2021_45,11
2021_46,21
2021_47,23
2021_48,19
2021_49,15
2021_50,18
2021_51,14
2021_52,3
2022_00,18
2022_01,29
2022_02,21
2022_03,19
2022_04,19
2022_05,14
2022_06,18
2022_07,27
2022_08,29
2022_09,19
2022_10,15
2022_11,25
2022_12,29
2022_13,19
2022_14,23
2022_15,15
2022_16,13
2022_17,21
2022_18,24
2022_19,15
2022_20,28
2022_21,25
2022_22,19
2022_23,35
2022_24,28
2022_25,32
2022_26,19
2022_27,32
2022_28,21
2022_29,21
2022_30,20
2022_31,25
2022_32,21
2022_33,21
2022_34,17
2022_35,21
2022_36,21
2022_37,24
2022_38,23
2022_39,19
2022_40,26
2022_41,25
2022_42,19
2022_43,27
2022_44,28
2022_45,21
2022_46,32
2022_47,22
2022_48,19
2022_49,21
2022_50,22
2022_51,34
2022_52,6
2023_00,23
2023_01,36
2023_02,32
2023_03,29
2023_04,33
2023_05,20
2023_06,27
2023_07,27
2023_08,31
2023_09,32
2023_10,17
2023_11,26
2023_12,27
2023_13,42
2023_14,27
2023_15,29
2023_16,36
2023_17,33
2023_18,33
2023_19,35
2023_20,36
2023_21,31
2023_22,19
2023_23,31
2023_24,27
2023_25,36
2023_26,42
2023_27,37
2023_28,33
2023_29,31
2023_30,38
2023_31,35
2023_32,28
2023_33,38
2023_34,32
2023_35,24
2023_36,42
2023_37,38
2023_38,40
2023_39,22
2023_40,37
2023_41,31
2023_42,41
2023_43,43
2023_44,40
2023_45,29
2023_46,34
2023_47,41
2023_48,41
2023_49,26
