year_week,count
2019_28,1
2019_29,1
2019_34,2
2019_35,1
2019_36,4
2019_37,4
2019_39,4
2019_40,3
2019_41,4
2019_42,3
2019_43,2
2019_44,2
2019_45,1
2019_46,1
2019_47,3
2019_48,6
2019_49,3
2019_50,6
2019_51,4
2019_52,2
2020_00,6
2020_01,4
2020_02,5
2020_03,15
2020_04,2
2020_05,9
2020_06,9
2020_07,4
2020_08,15
2020_09,12
2020_10,13
2020_11,6
2020_12,15
2020_13,15
2020_14,12
2020_15,8
2020_16,9
2020_17,6
2020_18,7
2020_19,2
2020_20,9
2020_21,11
2020_22,11
2020_23,18
2020_24,16
2020_25,8
2020_26,22
2020_27,16
2020_28,20
2020_29,13
2020_30,16
2020_31,16
2020_32,16
2020_33,17
2020_34,17
2020_35,15
2020_36,13
2020_37,21
2020_38,22
2020_39,14
2020_40,11
2020_41,19
2020_42,20
2020_43,16
2020_44,20
2020_45,14
2020_46,10
2020_47,21
2020_48,23
2020_49,15
2020_50,23
2020_51,13
2020_52,6
2021_00,20
2021_01,27
2021_02,18
2021_03,22
2021_04,21
2021_05,30
2021_06,22
2021_07,26
2021_08,29
2021_09,28
2021_10,27
2021_11,19
2021_12,16
2021_13,26
2021_14,25
2021_15,27
2021_16,22
2021_17,33
2021_18,17
2021_19,26
2021_20,25
2021_21,20
2021_22,23
2021_23,29
2021_24,18
2021_25,22
2021_26,33
2021_27,25
2021_28,22
2021_29,24
2021_30,30
2021_31,42
2021_32,33
2021_33,23
2021_34,19
2021_35,23
2021_36,37
2021_37,30
2021_38,35
2021_39,29
2021_40,20
2021_41,30
2021_42,40
2021_43,27
2021_44,39
2021_45,35
2021_46,40
2021_47,31
2021_48,33
2021_49,31
2021_50,31
2021_51,36
2021_52,10
2022_00,23
2022_01,31
2022_02,39
2022_03,29
2022_04,50
2022_05,37
2022_06,26
2022_07,30
2022_08,34
2022_09,33
2022_10,29
2022_11,57
2022_12,47
2022_13,38
2022_14,32
2022_15,30
2022_16,35
2022_17,38
2022_18,37
2022_19,38
2022_20,37
2022_21,42
2022_22,41
2022_23,25
2022_24,45
2022_25,38
2022_26,36
2022_27,40
2022_28,27
2022_29,37
2022_30,34
2022_31,37
2022_32,31
2022_33,42
2022_34,40
2022_35,43
2022_36,43
2022_37,48
2022_38,46
2022_39,40
2022_40,27
2022_41,38
2022_42,49
2022_43,37
2022_44,56
2022_45,50
2022_46,29
2022_47,42
2022_48,54
2022_49,43
2022_50,47
2022_51,45
2022_52,20
2023_00,45
2023_01,33
2023_02,41
2023_03,49
2023_04,59
2023_05,59
2023_06,52
2023_07,42
2023_08,47
2023_09,45
2023_10,57
2023_11,49
2023_12,50
2023_13,53
2023_14,59
2023_15,63
2023_16,51
2023_17,52
2023_18,58
2023_19,50
2023_20,59
2023_21,54
2023_22,65
2023_23,55
2023_24,71
2023_25,54
2023_26,65
2023_27,63
2023_28,53
2023_29,62
2023_30,61
2023_31,66
2023_32,58
2023_33,64
2023_34,62
2023_35,62
2023_36,59
2023_37,63
2023_38,75
2023_39,61
2023_40,68
2023_41,55
2023_42,59
2023_43,65
2023_44,66
2023_45,70
2023_46,61
2023_47,62
2023_48,58
2023_49,26
