year_week,count
2019_28,2
2019_29,1
2019_31,1
2019_32,4
2019_33,8
2019_34,3
2019_35,7
2019_36,6
2019_37,7
2019_38,10
2019_39,9
2019_40,11
2019_41,15
2019_42,12
2019_43,15
2019_44,9
2019_45,12
2019_46,18
2019_47,21
2019_48,18
2019_49,15
2019_50,16
2019_51,26
2019_52,6
2020_00,7
2020_01,16
2020_02,23
2020_03,20
2020_04,24
2020_05,26
2020_06,31
2020_07,29
2020_08,15
2020_09,22
2020_10,34
2020_11,24
2020_12,42
2020_13,48
2020_14,31
2020_15,32
2020_16,33
2020_17,33
2020_18,28
2020_19,26
2020_20,34
2020_21,44
2020_22,36
2020_23,30
2020_24,40
2020_25,43
2020_26,48
2020_27,44
2020_28,51
2020_29,45
2020_30,44
2020_31,40
2020_32,51
2020_33,51
2020_34,56
2020_35,52
2020_36,47
2020_37,53
2020_38,69
2020_39,53
2020_40,58
2020_41,46
2020_42,49
2020_43,56
2020_44,58
2020_45,49
2020_46,45
2020_47,65
2020_48,52
2020_49,64
2020_50,65
2020_51,62
2020_52,16
2021_00,38
2021_01,58
2021_02,51
2021_03,56
2021_04,78
2021_05,80
2021_06,47
2021_07,57
2021_08,77
2021_09,62
2021_10,57
2021_11,66
2021_12,82
2021_13,70
2021_14,58
2021_15,82
2021_16,79
2021_17,56
2021_18,61
2021_19,84
2021_20,61
2021_21,84
2021_22,80
2021_23,115
2021_24,84
2021_25,81
2021_26,88
2021_27,66
2021_28,80
2021_29,76
2021_30,78
2021_31,93
2021_32,98
2021_33,94
2021_34,84
2021_35,92
2021_36,95
2021_37,74
2021_38,93
2021_39,89
2021_40,83
2021_41,90
2021_42,118
2021_43,117
2021_44,110
2021_45,111
2021_46,86
2021_47,85
2021_48,95
2021_49,91
2021_50,90
2021_51,113
2021_52,22
2022_00,97
2022_01,102
2022_02,104
2022_03,97
2022_04,85
2022_05,102
2022_06,110
2022_07,101
2022_08,133
2022_09,101
2022_10,127
2022_11,140
2022_12,109
2022_13,102
2022_14,115
2022_15,95
2022_16,93
2022_17,134
2022_18,134
2022_19,128
2022_20,114
2022_21,116
2022_22,107
2022_23,110
2022_24,120
2022_25,136
2022_26,121
2022_27,134
2022_28,113
2022_29,132
2022_30,136
2022_31,129
2022_32,123
2022_33,127
2022_34,115
2022_35,118
2022_36,115
2022_37,125
2022_38,123
2022_39,129
2022_40,137
2022_41,131
2022_42,121
2022_43,134
2022_44,135
2022_45,135
2022_46,143
2022_47,142
2022_48,130
2022_49,132
2022_50,153
2022_51,124
2022_52,45
2023_00,114
2023_01,138
2023_02,147
2023_03,147
2023_04,153
2023_05,140
2023_06,136
2023_07,139
2023_08,163
2023_09,147
2023_10,156
2023_11,155
2023_12,159
2023_13,150
2023_14,152
2023_15,146
2023_16,154
2023_17,133
2023_18,157
2023_19,167
2023_20,188
2023_21,153
2023_22,183
2023_23,153
2023_24,201
2023_25,171
2023_26,165
2023_27,188
2023_28,166
2023_29,164
2023_30,183
2023_31,172
2023_32,166
2023_33,187
2023_34,154
2023_35,164
2023_36,173
2023_37,173
2023_38,184
2023_39,201
2023_40,173
2023_41,189
2023_42,183
2023_43,183
2023_44,192
2023_45,173
2023_46,195
2023_47,161
2023_48,147
2023_49,65
