year_week,count
2019_28,1
2019_31,2
2019_32,2
2019_33,3
2019_34,2
2019_35,2
2019_36,2
2019_37,2
2019_38,1
2019_39,3
2019_40,1
2019_41,2
2019_42,3
2019_43,2
2019_44,4
2019_45,6
2019_46,3
2019_47,1
2019_48,6
2019_49,4
2019_50,5
2019_51,5
2019_52,2
2020_00,6
2020_01,6
2020_02,2
2020_03,7
2020_04,5
2020_05,10
2020_06,7
2020_07,6
2020_08,2
2020_09,2
2020_10,1
2020_11,2
2020_12,7
2020_13,6
2020_14,11
2020_15,6
2020_16,6
2020_17,6
2020_18,8
2020_19,8
2020_20,11
2020_21,14
2020_22,15
2020_23,8
2020_24,8
2020_25,6
2020_26,9
2020_27,12
2020_28,12
2020_29,9
2020_30,11
2020_31,9
2020_32,9
2020_33,8
2020_34,7
2020_35,13
2020_36,8
2020_37,8
2020_38,11
2020_39,8
2020_40,12
2020_41,11
2020_42,6
2020_43,14
2020_44,8
2020_45,18
2020_46,14
2020_47,21
2020_48,18
2020_49,12
2020_50,13
2020_51,13
2020_52,6
2021_00,13
2021_01,14
2021_02,19
2021_03,16
2021_04,12
2021_05,11
2021_06,16
2021_07,11
2021_08,10
2021_09,14
2021_10,13
2021_11,22
2021_12,22
2021_13,23
2021_14,18
2021_15,21
2021_16,22
2021_17,17
2021_18,17
2021_19,8
2021_20,16
2021_21,18
2021_22,16
2021_23,21
2021_24,19
2021_25,19
2021_26,20
2021_27,19
2021_28,18
2021_29,21
2021_30,18
2021_31,17
2021_32,21
2021_33,19
2021_34,29
2021_35,20
2021_36,24
2021_37,18
2021_38,24
2021_39,16
2021_40,22
2021_41,29
2021_42,24
2021_43,23
2021_44,23
2021_45,36
2021_46,15
2021_47,26
2021_48,24
2021_49,19
2021_50,21
2021_51,25
2021_52,4
2022_00,31
2022_01,18
2022_02,28
2022_03,26
2022_04,25
2022_05,22
2022_06,26
2022_07,33
2022_08,23
2022_09,31
2022_10,20
2022_11,26
2022_12,25
2022_13,26
2022_14,20
2022_15,29
2022_16,31
2022_17,29
2022_18,30
2022_19,32
2022_20,36
2022_21,27
2022_22,30
2022_23,30
2022_24,33
2022_25,33
2022_26,29
2022_27,28
2022_28,33
2022_29,31
2022_30,34
2022_31,37
2022_32,29
2022_33,28
2022_34,33
2022_35,28
2022_36,32
2022_37,29
2022_38,28
2022_39,33
2022_40,37
2022_41,44
2022_42,39
2022_43,30
2022_44,42
2022_45,33
2022_46,34
2022_47,42
2022_48,38
2022_49,33
2022_50,46
2022_51,37
2022_52,10
2023_00,22
2023_01,41
2023_02,41
2023_03,44
2023_04,38
2023_05,48
2023_06,39
2023_07,30
2023_08,38
2023_09,46
2023_10,50
2023_11,40
2023_12,43
2023_13,41
2023_14,44
2023_15,36
2023_16,42
2023_17,38
2023_18,43
2023_19,57
2023_20,40
2023_21,39
2023_22,50
2023_23,50
2023_24,33
2023_25,43
2023_26,42
2023_27,41
2023_28,32
2023_29,40
2023_30,39
2023_31,38
2023_32,48
2023_33,38
2023_34,45
2023_35,50
2023_36,49
2023_37,32
2023_38,42
2023_39,53
2023_40,39
2023_41,47
2023_42,52
2023_43,36
2023_44,48
2023_45,42
2023_46,48
2023_47,65
2023_48,46
2023_49,18
