year_week,count
2019_36,1
2019_40,1
2019_44,1
2019_48,1
2020_00,1
2020_01,1
2020_04,2
2020_05,2
2020_10,1
2020_11,1
2020_16,2
2020_17,4
2020_18,1
2020_20,2
2020_22,1
2020_26,1
2020_27,1
2020_28,1
2020_29,2
2020_30,1
2020_32,1
2020_34,2
2020_36,2
2020_37,2
2020_38,2
2020_43,2
2020_44,2
2020_47,3
2020_48,2
2020_49,1
2020_50,1
2020_51,2
2020_52,1
2021_00,2
2021_02,2
2021_03,1
2021_04,1
2021_05,2
2021_10,1
2021_11,2
2021_13,5
2021_14,1
2021_16,3
2021_17,1
2021_18,2
2021_19,2
2021_20,1
2021_21,1
2021_22,1
2021_23,3
2021_24,2
2021_25,5
2021_26,4
2021_27,1
2021_28,4
2021_29,3
2021_30,1
2021_32,2
2021_33,2
2021_34,1
2021_35,4
2021_36,2
2021_37,1
2021_38,4
2021_39,1
2021_40,3
2021_41,2
2021_42,2
2021_43,2
2021_44,1
2021_45,2
2021_46,1
2021_47,1
2021_48,4
2021_51,1
2022_00,3
2022_01,3
2022_04,4
2022_05,2
2022_06,3
2022_07,3
2022_08,2
2022_09,1
2022_10,1
2022_11,1
2022_12,1
2022_13,6
2022_14,1
2022_15,5
2022_16,3
2022_17,3
2022_18,4
2022_19,3
2022_20,5
2022_21,1
2022_22,5
2022_23,4
2022_24,3
2022_25,2
2022_26,3
2022_27,4
2022_28,6
2022_29,1
2022_30,5
2022_31,4
2022_32,5
2022_33,5
2022_34,4
2022_35,4
2022_36,1
2022_37,1
2022_38,3
2022_39,3
2022_40,2
2022_42,5
2022_43,3
2022_44,6
2022_45,2
2022_46,4
2022_47,2
2022_48,5
2022_49,3
2022_50,4
2022_51,3
2022_52,3
2023_00,3
2023_01,1
2023_02,5
2023_03,3
2023_04,7
2023_05,2
2023_06,2
2023_07,4
2023_08,7
2023_09,2
2023_10,1
2023_11,5
2023_14,2
2023_15,6
2023_16,6
2023_17,2
2023_18,3
2023_19,8
2023_20,3
2023_21,4
2023_22,4
2023_23,3
2023_24,4
2023_25,5
2023_26,2
2023_27,4
2023_28,5
2023_29,3
2023_30,3
2023_31,1
2023_32,2
2023_33,1
2023_34,4
2023_35,3
2023_36,4
2023_37,5
2023_38,4
2023_39,4
2023_40,5
2023_41,8
2023_42,5
2023_43,2
2023_44,5
2023_45,2
2023_46,4
2023_47,2
2023_48,5
