year_week,count
2019_31,3
2019_32,2
2019_34,3
2019_36,3
2019_37,1
2019_38,3
2019_39,6
2019_40,3
2019_41,3
2019_42,3
2019_43,5
2019_44,5
2019_45,6
2019_46,3
2019_47,6
2019_48,7
2019_49,8
2019_50,2
2019_51,4
2019_52,1
2020_00,1
2020_01,4
2020_02,9
2020_03,5
2020_04,13
2020_05,13
2020_06,10
2020_07,7
2020_08,8
2020_09,13
2020_10,18
2020_11,12
2020_12,10
2020_13,3
2020_14,11
2020_15,6
2020_16,9
2020_17,10
2020_18,9
2020_19,19
2020_20,6
2020_21,11
2020_22,11
2020_23,20
2020_24,7
2020_25,16
2020_26,16
2020_27,14
2020_28,11
2020_29,16
2020_30,16
2020_31,12
2020_32,13
2020_33,12
2020_34,14
2020_35,17
2020_36,21
2020_37,21
2020_38,14
2020_39,17
2020_40,17
2020_41,21
2020_42,17
2020_43,17
2020_44,15
2020_45,17
2020_46,19
2020_47,14
2020_48,20
2020_49,25
2020_50,17
2020_51,29
2020_52,4
2021_00,15
2021_01,16
2021_02,16
2021_03,12
2021_04,23
2021_05,16
2021_06,18
2021_07,22
2021_08,22
2021_09,25
2021_10,19
2021_11,15
2021_12,21
2021_13,25
2021_14,17
2021_15,21
2021_16,21
2021_17,25
2021_18,35
2021_19,24
2021_20,32
2021_21,21
2021_22,20
2021_23,24
2021_24,28
2021_25,18
2021_26,27
2021_27,21
2021_28,25
2021_29,22
2021_30,33
2021_31,27
2021_32,32
2021_33,24
2021_34,33
2021_35,35
2021_36,38
2021_37,23
2021_38,34
2021_39,25
2021_40,25
2021_41,33
2021_42,29
2021_43,34
2021_44,30
2021_45,35
2021_46,31
2021_47,36
2021_48,28
2021_49,39
2021_50,25
2021_51,36
2021_52,11
2022_00,31
2022_01,34
2022_02,37
2022_03,36
2022_04,32
2022_05,40
2022_06,29
2022_07,41
2022_08,40
2022_09,28
2022_10,40
2022_11,32
2022_12,41
2022_13,40
2022_14,34
2022_15,41
2022_16,29
2022_17,30
2022_18,45
2022_19,42
2022_20,39
2022_21,32
2022_22,44
2022_23,44
2022_24,35
2022_25,51
2022_26,45
2022_27,39
2022_28,43
2022_29,26
2022_30,41
2022_31,41
2022_32,42
2022_33,41
2022_34,40
2022_35,52
2022_36,48
2022_37,40
2022_38,47
2022_39,41
2022_40,32
2022_41,57
2022_42,41
2022_43,50
2022_44,39
2022_45,40
2022_46,48
2022_47,50
2022_48,45
2022_49,40
2022_50,38
2022_51,46
2022_52,16
2023_00,31
2023_01,39
2023_02,58
2023_03,56
2023_04,41
2023_05,49
2023_06,43
2023_07,43
2023_08,47
2023_09,57
2023_10,56
2023_11,57
2023_12,54
2023_13,58
2023_14,49
2023_15,56
2023_16,52
2023_17,43
2023_18,51
2023_19,54
2023_20,62
2023_21,44
2023_22,59
2023_23,51
2023_24,37
2023_25,68
2023_26,50
2023_27,54
2023_28,66
2023_29,60
2023_30,69
2023_31,69
2023_32,56
2023_33,61
2023_34,60
2023_35,57
2023_36,52
2023_37,65
2023_38,58
2023_39,62
2023_40,69
2023_41,50
2023_42,69
2023_43,75
2023_44,70
2023_45,66
2023_46,77
2023_47,53
2023_48,53
2023_49,25
