year_week,count
2019_29,1
2019_30,2
2019_31,3
2019_32,4
2019_33,4
2019_34,4
2019_35,11
2019_36,11
2019_37,11
2019_38,18
2019_39,10
2019_40,11
2019_41,19
2019_42,17
2019_43,15
2019_44,14
2019_45,18
2019_46,19
2019_47,20
2019_48,17
2019_49,21
2019_50,16
2019_51,31
2019_52,8
2020_00,18
2020_01,31
2020_02,25
2020_03,40
2020_04,24
2020_05,31
2020_06,39
2020_07,29
2020_08,30
2020_09,40
2020_10,46
2020_11,37
2020_12,43
2020_13,26
2020_14,41
2020_15,38
2020_16,37
2020_17,30
2020_18,44
2020_19,57
2020_20,43
2020_21,44
2020_22,52
2020_23,52
2020_24,55
2020_25,49
2020_26,41
2020_27,50
2020_28,58
2020_29,68
2020_30,61
2020_31,58
2020_32,70
2020_33,62
2020_34,73
2020_35,69
2020_36,88
2020_37,58
2020_38,59
2020_39,63
2020_40,55
2020_41,76
2020_42,63
2020_43,87
2020_44,67
2020_45,50
2020_46,63
2020_47,69
2020_48,83
2020_49,70
2020_50,64
2020_51,80
2020_52,20
2021_00,68
2021_01,65
2021_02,85
2021_03,63
2021_04,93
2021_05,93
2021_06,66
2021_07,95
2021_08,96
2021_09,88
2021_10,80
2021_11,88
2021_12,84
2021_13,97
2021_14,84
2021_15,100
2021_16,103
2021_17,102
2021_18,107
2021_19,88
2021_20,98
2021_21,109
2021_22,101
2021_23,106
2021_24,113
2021_25,84
2021_26,102
2021_27,112
2021_28,100
2021_29,117
2021_30,116
2021_31,105
2021_32,130
2021_33,131
2021_34,109
2021_35,119
2021_36,128
2021_37,99
2021_38,133
2021_39,119
2021_40,108
2021_41,118
2021_42,123
2021_43,137
2021_44,113
2021_45,129
2021_46,134
2021_47,150
2021_48,126
2021_49,114
2021_50,130
2021_51,131
2021_52,29
2022_00,100
2022_01,132
2022_02,146
2022_03,152
2022_04,134
2022_05,132
2022_06,151
2022_07,134
2022_08,144
2022_09,145
2022_10,155
2022_11,143
2022_12,156
2022_13,138
2022_14,154
2022_15,143
2022_16,139
2022_17,152
2022_18,154
2022_19,162
2022_20,170
2022_21,161
2022_22,147
2022_23,189
2022_24,156
2022_25,141
2022_26,185
2022_27,154
2022_28,167
2022_29,140
2022_30,168
2022_31,138
2022_32,169
2022_33,173
2022_34,178
2022_35,154
2022_36,161
2022_37,182
2022_38,171
2022_39,176
2022_40,172
2022_41,152
2022_42,197
2022_43,191
2022_44,180
2022_45,191
2022_46,186
2022_47,178
2022_48,172
2022_49,181
2022_50,171
2022_51,210
2022_52,60
2023_00,130
2023_01,183
2023_02,193
2023_03,198
2023_04,214
2023_05,180
2023_06,185
2023_07,209
2023_08,193
2023_09,227
2023_10,218
2023_11,194
2023_12,200
2023_13,194
2023_14,210
2023_15,206
2023_16,196
2023_17,213
2023_18,220
2023_19,229
2023_20,230
2023_21,234
2023_22,209
2023_23,221
2023_24,220
2023_25,228
2023_26,215
2023_27,216
2023_28,258
2023_29,232
2023_30,213
2023_31,218
2023_32,210
2023_33,213
2023_34,225
2023_35,231
2023_36,250
2023_37,272
2023_38,241
2023_39,236
2023_40,224
2023_41,248
2023_42,256
2023_43,230
2023_44,247
2023_45,257
2023_46,240
2023_47,252
2023_48,254
2023_49,102
