year_week,count
2019_36,1
2019_37,1
2019_40,1
2019_41,2
2019_42,1
2019_46,1
2019_50,3
2019_51,1
2020_00,1
2020_01,1
2020_02,1
2020_03,1
2020_04,1
2020_05,2
2020_06,2
2020_07,3
2020_08,1
2020_09,1
2020_10,1
2020_11,1
2020_12,1
2020_13,5
2020_14,1
2020_15,2
2020_16,2
2020_17,4
2020_18,3
2020_19,1
2020_21,1
2020_22,4
2020_24,1
2020_25,3
2020_26,3
2020_28,3
2020_30,1
2020_31,1
2020_32,4
2020_33,3
2020_35,3
2020_36,3
2020_37,1
2020_39,2
2020_40,2
2020_41,1
2020_42,4
2020_43,2
2020_44,4
2020_45,4
2020_46,3
2020_47,6
2020_48,1
2020_49,1
2020_50,1
2021_00,1
2021_01,6
2021_03,6
2021_04,6
2021_06,5
2021_07,2
2021_08,5
2021_09,3
2021_10,1
2021_11,2
2021_12,5
2021_13,4
2021_14,4
2021_15,4
2021_16,4
2021_17,3
2021_18,7
2021_19,1
2021_20,3
2021_21,1
2021_22,4
2021_23,5
2021_24,3
2021_25,4
2021_26,4
2021_27,1
2021_28,4
2021_29,1
2021_30,3
2021_31,4
2021_32,2
2021_33,2
2021_34,6
2021_35,5
2021_36,2
2021_37,2
2021_38,4
2021_39,6
2021_40,8
2021_41,2
2021_42,4
2021_43,4
2021_44,1
2021_45,4
2021_46,4
2021_47,6
2021_48,4
2021_49,3
2021_50,5
2021_51,4
2021_52,1
2022_00,3
2022_01,8
2022_02,4
2022_03,5
2022_04,5
2022_05,3
2022_06,5
2022_07,1
2022_08,8
2022_09,7
2022_10,9
2022_11,8
2022_12,9
2022_13,7
2022_14,9
2022_15,3
2022_16,3
2022_17,7
2022_18,5
2022_19,6
2022_20,7
2022_21,8
2022_22,7
2022_23,1
2022_24,3
2022_25,5
2022_26,4
2022_27,5
2022_28,7
2022_29,4
2022_30,3
2022_31,5
2022_32,3
2022_33,11
2022_34,5
2022_35,2
2022_36,4
2022_37,6
2022_38,8
2022_39,6
2022_40,12
2022_41,9
2022_42,5
2022_43,7
2022_44,8
2022_45,8
2022_46,4
2022_47,8
2022_48,4
2022_49,9
2022_50,8
2022_51,9
2022_52,3
2023_00,6
2023_01,6
2023_02,4
2023_03,6
2023_04,4
2023_05,10
2023_06,3
2023_07,13
2023_08,6
2023_09,10
2023_10,4
2023_11,5
2023_12,11
2023_13,9
2023_14,8
2023_15,8
2023_16,5
2023_17,6
2023_18,6
2023_19,4
2023_20,7
2023_21,7
2023_22,4
2023_23,9
2023_24,6
2023_25,9
2023_26,7
2023_27,7
2023_28,3
2023_29,5
2023_30,11
2023_31,13
2023_32,8
2023_33,9
2023_34,7
2023_35,13
2023_36,7
2023_37,11
2023_38,9
2023_39,7
2023_40,10
2023_41,13
2023_42,11
2023_43,4
2023_44,8
2023_45,14
2023_46,4
2023_47,13
2023_48,5
2023_49,2
