year_week,count
2019_30,2
2019_32,3
2019_33,1
2019_34,2
2019_35,3
2019_36,5
2019_37,6
2019_38,7
2019_39,6
2019_40,7
2019_41,8
2019_42,15
2019_43,6
2019_44,13
2019_45,9
2019_46,10
2019_47,9
2019_48,20
2019_49,20
2019_50,20
2019_51,26
2019_52,5
2020_00,11
2020_01,27
2020_02,23
2020_03,22
2020_04,26
2020_05,21
2020_06,30
2020_07,29
2020_08,31
2020_09,30
2020_10,28
2020_11,24
2020_12,28
2020_13,40
2020_14,48
2020_15,40
2020_16,32
2020_17,25
2020_18,30
2020_19,30
2020_20,28
2020_21,22
2020_22,30
2020_23,47
2020_24,32
2020_25,33
2020_26,47
2020_27,34
2020_28,34
2020_29,43
2020_30,40
2020_31,36
2020_32,37
2020_33,51
2020_34,38
2020_35,45
2020_36,45
2020_37,43
2020_38,62
2020_39,61
2020_40,46
2020_41,61
2020_42,55
2020_43,52
2020_44,61
2020_45,62
2020_46,54
2020_47,69
2020_48,53
2020_49,49
2020_50,48
2020_51,54
2020_52,17
2021_00,50
2021_01,49
2021_02,58
2021_03,61
2021_04,64
2021_05,62
2021_06,67
2021_07,75
2021_08,65
2021_09,58
2021_10,63
2021_11,70
2021_12,63
2021_13,71
2021_14,84
2021_15,73
2021_16,70
2021_17,78
2021_18,72
2021_19,98
2021_20,84
2021_21,71
2021_22,62
2021_23,65
2021_24,79
2021_25,72
2021_26,84
2021_27,79
2021_28,85
2021_29,71
2021_30,100
2021_31,75
2021_32,92
2021_33,96
2021_34,95
2021_35,100
2021_36,90
2021_37,91
2021_38,87
2021_39,101
2021_40,96
2021_41,107
2021_42,91
2021_43,84
2021_44,104
2021_45,81
2021_46,104
2021_47,106
2021_48,79
2021_49,95
2021_50,85
2021_51,105
2021_52,21
2022_00,88
2022_01,86
2022_02,93
2022_03,100
2022_04,97
2022_05,108
2022_06,108
2022_07,99
2022_08,107
2022_09,121
2022_10,94
2022_11,120
2022_12,116
2022_13,97
2022_14,131
2022_15,114
2022_16,101
2022_17,121
2022_18,127
2022_19,119
2022_20,117
2022_21,111
2022_22,112
2022_23,114
2022_24,123
2022_25,125
2022_26,108
2022_27,137
2022_28,115
2022_29,136
2022_30,109
2022_31,110
2022_32,113
2022_33,133
2022_34,128
2022_35,127
2022_36,123
2022_37,136
2022_38,123
2022_39,126
2022_40,120
2022_41,128
2022_42,134
2022_43,135
2022_44,143
2022_45,128
2022_46,124
2022_47,151
2022_48,139
2022_49,147
2022_50,150
2022_51,154
2022_52,35
2023_00,95
2023_01,156
2023_02,136
2023_03,163
2023_04,143
2023_05,153
2023_06,149
2023_07,144
2023_08,150
2023_09,155
2023_10,154
2023_11,173
2023_12,142
2023_13,155
2023_14,140
2023_15,175
2023_16,147
2023_17,146
2023_18,156
2023_19,166
2023_20,206
2023_21,151
2023_22,161
2023_23,157
2023_24,143
2023_25,177
2023_26,163
2023_27,166
2023_28,184
2023_29,179
2023_30,173
2023_31,182
2023_32,195
2023_33,172
2023_34,152
2023_35,157
2023_36,165
2023_37,191
2023_38,189
2023_39,183
2023_40,187
2023_41,155
2023_42,176
2023_43,190
2023_44,181
2023_45,189
2023_46,186
2023_47,183
2023_48,219
2023_49,81
