year_week,count
2019_32,1
2019_33,2
2019_34,1
2019_35,1
2019_37,1
2019_38,3
2019_39,2
2019_40,4
2019_41,4
2019_42,6
2019_43,2
2019_44,9
2019_45,1
2019_46,2
2019_47,4
2019_48,8
2019_49,4
2019_50,5
2019_51,6
2019_52,2
2020_00,4
2020_01,8
2020_02,5
2020_03,10
2020_04,8
2020_05,7
2020_06,8
2020_07,7
2020_08,5
2020_09,14
2020_10,6
2020_11,12
2020_12,9
2020_13,12
2020_14,5
2020_15,9
2020_16,10
2020_17,10
2020_18,8
2020_19,12
2020_20,8
2020_21,4
2020_22,13
2020_23,8
2020_24,14
2020_25,7
2020_26,12
2020_27,10
2020_28,17
2020_29,13
2020_30,9
2020_31,15
2020_32,15
2020_33,19
2020_34,17
2020_35,18
2020_36,24
2020_37,9
2020_38,16
2020_39,19
2020_40,18
2020_41,15
2020_42,16
2020_43,18
2020_44,14
2020_45,19
2020_46,18
2020_47,15
2020_48,22
2020_49,20
2020_50,16
2020_51,17
2020_52,9
2021_00,17
2021_01,21
2021_02,21
2021_03,21
2021_04,27
2021_05,30
2021_06,18
2021_07,19
2021_08,19
2021_09,18
2021_10,21
2021_11,21
2021_12,20
2021_13,16
2021_14,23
2021_15,15
2021_16,28
2021_17,24
2021_18,19
2021_19,18
2021_20,28
2021_21,26
2021_22,21
2021_23,23
2021_24,31
2021_25,26
2021_26,26
2021_27,23
2021_28,24
2021_29,28
2021_30,37
2021_31,20
2021_32,26
2021_33,36
2021_34,32
2021_35,37
2021_36,33
2021_37,32
2021_38,26
2021_39,22
2021_40,19
2021_41,35
2021_42,35
2021_43,33
2021_44,39
2021_45,21
2021_46,36
2021_47,35
2021_48,23
2021_49,41
2021_50,33
2021_51,40
2021_52,11
2022_00,42
2022_01,32
2022_02,29
2022_03,30
2022_04,38
2022_05,40
2022_06,34
2022_07,35
2022_08,36
2022_09,42
2022_10,33
2022_11,33
2022_12,35
2022_13,36
2022_14,39
2022_15,39
2022_16,36
2022_17,32
2022_18,38
2022_19,32
2022_20,35
2022_21,29
2022_22,43
2022_23,41
2022_24,35
2022_25,43
2022_26,35
2022_27,34
2022_28,35
2022_29,43
2022_30,38
2022_31,31
2022_32,34
2022_33,33
2022_34,44
2022_35,43
2022_36,51
2022_37,53
2022_38,37
2022_39,42
2022_40,42
2022_41,42
2022_42,37
2022_43,44
2022_44,45
2022_45,51
2022_46,42
2022_47,44
2022_48,44
2022_49,55
2022_50,47
2022_51,46
2022_52,19
2023_00,43
2023_01,51
2023_02,39
2023_03,47
2023_04,54
2023_05,58
2023_06,46
2023_07,55
2023_08,43
2023_09,51
2023_10,61
2023_11,51
2023_12,51
2023_13,49
2023_14,50
2023_15,50
2023_16,55
2023_17,60
2023_18,49
2023_19,47
2023_20,70
2023_21,61
2023_22,64
2023_23,61
2023_24,48
2023_25,45
2023_26,57
2023_27,71
2023_28,81
2023_29,58
2023_30,48
2023_31,59
2023_32,59
2023_33,67
2023_34,64
2023_35,61
2023_36,74
2023_37,63
2023_38,66
2023_39,56
2023_40,56
2023_41,67
2023_42,63
2023_43,59
2023_44,60
2023_45,59
2023_46,76
2023_47,52
2023_48,48
2023_49,30
