year_week,count
2019_29,1
2019_31,1
2019_33,3
2019_34,1
2019_37,2
2019_38,2
2019_39,5
2019_40,3
2019_41,5
2019_42,3
2019_43,2
2019_45,3
2019_46,2
2019_47,3
2019_48,12
2019_49,2
2019_50,7
2019_51,9
2020_00,4
2020_01,7
2020_02,7
2020_03,7
2020_04,7
2020_05,7
2020_06,9
2020_07,11
2020_08,10
2020_09,6
2020_10,14
2020_11,13
2020_12,9
2020_13,13
2020_14,14
2020_15,11
2020_16,13
2020_17,16
2020_18,16
2020_19,10
2020_20,16
2020_21,18
2020_22,11
2020_23,8
2020_24,17
2020_25,13
2020_26,9
2020_27,6
2020_28,11
2020_29,12
2020_30,19
2020_31,12
2020_32,28
2020_33,13
2020_34,17
2020_35,26
2020_36,23
2020_37,13
2020_38,15
2020_39,14
2020_40,20
2020_41,22
2020_42,21
2020_43,11
2020_44,19
2020_45,16
2020_46,23
2020_47,18
2020_48,14
2020_49,24
2020_50,15
2020_51,30
2020_52,3
2021_00,19
2021_01,25
2021_02,19
2021_03,26
2021_04,26
2021_05,22
2021_06,24
2021_07,12
2021_08,23
2021_09,26
2021_10,23
2021_11,22
2021_12,23
2021_13,18
2021_14,22
2021_15,17
2021_16,20
2021_17,20
2021_18,24
2021_19,22
2021_20,24
2021_21,19
2021_22,24
2021_23,30
2021_24,33
2021_25,23
2021_26,24
2021_27,25
2021_28,26
2021_29,39
2021_30,25
2021_31,25
2021_32,27
2021_33,20
2021_34,35
2021_35,28
2021_36,39
2021_37,36
2021_38,24
2021_39,36
2021_40,37
2021_41,18
2021_42,37
2021_43,32
2021_44,36
2021_45,38
2021_46,23
2021_47,32
2021_48,41
2021_49,40
2021_50,39
2021_51,28
2021_52,6
2022_00,37
2022_01,35
2022_02,28
2022_03,42
2022_04,26
2022_05,33
2022_06,36
2022_07,41
2022_08,28
2022_09,41
2022_10,36
2022_11,36
2022_12,26
2022_13,42
2022_14,47
2022_15,33
2022_16,26
2022_17,42
2022_18,29
2022_19,29
2022_20,39
2022_21,39
2022_22,36
2022_23,32
2022_24,53
2022_25,38
2022_26,41
2022_27,46
2022_28,28
2022_29,42
2022_30,50
2022_31,39
2022_32,43
2022_33,49
2022_34,45
2022_35,47
2022_36,41
2022_37,42
2022_38,45
2022_39,38
2022_40,43
2022_41,41
2022_42,43
2022_43,47
2022_44,40
2022_45,40
2022_46,41
2022_47,34
2022_48,39
2022_49,42
2022_50,44
2022_51,47
2022_52,9
2023_00,25
2023_01,46
2023_02,49
2023_03,56
2023_04,63
2023_05,61
2023_06,60
2023_07,52
2023_08,48
2023_09,44
2023_10,41
2023_11,50
2023_12,50
2023_13,65
2023_14,42
2023_15,52
2023_16,63
2023_17,52
2023_18,47
2023_19,51
2023_20,61
2023_21,59
2023_22,46
2023_23,41
2023_24,67
2023_25,49
2023_26,67
2023_27,44
2023_28,69
2023_29,69
2023_30,65
2023_31,48
2023_32,51
2023_33,54
2023_34,62
2023_35,64
2023_36,57
2023_37,63
2023_38,65
2023_39,70
2023_40,67
2023_41,63
2023_42,56
2023_43,62
2023_44,54
2023_45,53
2023_46,67
2023_47,54
2023_48,60
2023_49,20
