year_week,count
2019_28,1
2019_29,2
2019_30,1
2019_32,1
2019_33,1
2019_34,5
2019_35,4
2019_36,7
2019_37,8
2019_38,5
2019_39,9
2019_40,11
2019_41,8
2019_42,24
2019_43,7
2019_44,13
2019_45,3
2019_46,12
2019_47,15
2019_48,11
2019_49,14
2019_50,20
2019_51,23
2019_52,3
2020_00,14
2020_01,19
2020_02,19
2020_03,15
2020_04,18
2020_05,17
2020_06,16
2020_07,18
2020_08,24
2020_09,20
2020_10,21
2020_11,15
2020_12,21
2020_13,37
2020_14,23
2020_15,26
2020_16,30
2020_17,32
2020_18,24
2020_19,32
2020_20,21
2020_21,32
2020_22,35
2020_23,27
2020_24,35
2020_25,31
2020_26,30
2020_27,30
2020_28,27
2020_29,33
2020_30,35
2020_31,35
2020_32,41
2020_33,42
2020_34,35
2020_35,38
2020_36,36
2020_37,29
2020_38,36
2020_39,36
2020_40,33
2020_41,43
2020_42,41
2020_43,41
2020_44,37
2020_45,51
2020_46,41
2020_47,33
2020_48,45
2020_49,46
2020_50,41
2020_51,50
2020_52,16
2021_00,46
2021_01,46
2021_02,40
2021_03,41
2021_04,52
2021_05,42
2021_06,60
2021_07,52
2021_08,57
2021_09,40
2021_10,62
2021_11,54
2021_12,48
2021_13,50
2021_14,48
2021_15,66
2021_16,71
2021_17,51
2021_18,57
2021_19,56
2021_20,60
2021_21,57
2021_22,60
2021_23,62
2021_24,59
2021_25,82
2021_26,69
2021_27,60
2021_28,55
2021_29,57
2021_30,57
2021_31,60
2021_32,59
2021_33,85
2021_34,59
2021_35,73
2021_36,62
2021_37,77
2021_38,79
2021_39,62
2021_40,75
2021_41,69
2021_42,59
2021_43,65
2021_44,82
2021_45,90
2021_46,84
2021_47,78
2021_48,87
2021_49,75
2021_50,93
2021_51,85
2021_52,14
2022_00,76
2022_01,91
2022_02,81
2022_03,92
2022_04,86
2022_05,93
2022_06,91
2022_07,86
2022_08,86
2022_09,88
2022_10,85
2022_11,103
2022_12,103
2022_13,90
2022_14,89
2022_15,98
2022_16,99
2022_17,81
2022_18,96
2022_19,95
2022_20,114
2022_21,96
2022_22,87
2022_23,115
2022_24,113
2022_25,111
2022_26,99
2022_27,106
2022_28,82
2022_29,99
2022_30,99
2022_31,138
2022_32,113
2022_33,105
2022_34,111
2022_35,128
2022_36,95
2022_37,116
2022_38,92
2022_39,124
2022_40,126
2022_41,107
2022_42,112
2022_43,112
2022_44,111
2022_45,129
2022_46,99
2022_47,117
2022_48,130
2022_49,135
2022_50,103
2022_51,124
2022_52,35
2023_00,92
2023_01,128
2023_02,133
2023_03,122
2023_04,121
2023_05,133
2023_06,113
2023_07,147
2023_08,139
2023_09,152
2023_10,122
2023_11,124
2023_12,136
2023_13,128
2023_14,122
2023_15,140
2023_16,134
2023_17,127
2023_18,132
2023_19,126
2023_20,117
2023_21,117
2023_22,162
2023_23,149
2023_24,158
2023_25,135
2023_26,135
2023_27,130
2023_28,160
2023_29,150
2023_30,160
2023_31,126
2023_32,142
2023_33,148
2023_34,142
2023_35,132
2023_36,139
2023_37,129
2023_38,163
2023_39,150
2023_40,145
2023_41,176
2023_42,158
2023_43,156
2023_44,167
2023_45,151
2023_46,151
2023_47,168
2023_48,157
2023_49,73
