year_week,count
2019_38,1
2019_39,1
2019_44,1
2019_48,3
2019_50,1
2019_51,2
2020_02,1
2020_03,1
2020_07,1
2020_08,1
2020_14,1
2020_17,2
2020_20,2
2020_24,4
2020_27,1
2020_28,1
2020_29,1
2020_32,1
2020_33,1
2020_34,1
2020_35,6
2020_36,2
2020_37,1
2020_38,2
2020_39,1
2020_40,1
2020_43,2
2020_46,2
2020_47,1
2020_48,1
2020_49,1
2020_51,1
2021_00,2
2021_01,2
2021_03,4
2021_05,1
2021_06,1
2021_10,2
2021_11,1
2021_12,1
2021_13,4
2021_14,1
2021_15,1
2021_17,3
2021_18,4
2021_19,2
2021_20,2
2021_23,4
2021_24,1
2021_26,1
2021_29,3
2021_30,1
2021_31,1
2021_32,3
2021_33,4
2021_34,2
2021_35,5
2021_36,2
2021_37,2
2021_38,6
2021_40,2
2021_41,3
2021_42,2
2021_43,1
2021_44,2
2021_45,1
2021_46,1
2021_47,1
2021_48,3
2021_49,2
2021_50,2
2021_51,4
2021_52,1
2022_00,1
2022_01,4
2022_02,1
2022_03,4
2022_04,1
2022_05,6
2022_06,1
2022_09,5
2022_10,4
2022_11,2
2022_12,4
2022_13,2
2022_14,3
2022_15,2
2022_16,3
2022_17,4
2022_18,3
2022_19,3
2022_20,1
2022_21,1
2022_22,5
2022_23,5
2022_24,1
2022_25,2
2022_26,1
2022_27,4
2022_28,1
2022_29,4
2022_30,1
2022_31,2
2022_32,2
2022_33,3
2022_34,2
2022_35,1
2022_36,4
2022_37,3
2022_38,4
2022_40,5
2022_41,1
2022_44,1
2022_45,1
2022_46,2
2022_47,2
2022_48,5
2022_49,3
2022_50,3
2022_51,6
2022_52,2
2023_00,1
2023_01,5
2023_02,4
2023_03,4
2023_04,8
2023_05,5
2023_06,3
2023_07,5
2023_08,3
2023_09,2
2023_10,3
2023_11,3
2023_12,2
2023_13,7
2023_14,4
2023_15,8
2023_16,3
2023_17,3
2023_18,3
2023_19,5
2023_20,2
2023_21,3
2023_22,7
2023_23,3
2023_24,9
2023_25,3
2023_26,5
2023_27,4
2023_28,6
2023_29,5
2023_30,4
2023_31,4
2023_32,1
2023_33,2
2023_34,5
2023_35,2
2023_36,5
2023_37,5
2023_38,8
2023_39,3
2023_40,8
2023_41,7
2023_42,1
2023_43,4
2023_44,3
2023_45,3
2023_46,5
2023_47,7
2023_48,3
2023_49,3
