year_week,count
2019_31,2
2019_32,1
2019_33,1
2019_34,1
2019_35,3
2019_36,5
2019_37,1
2019_38,2
2019_40,1
2019_41,1
2019_42,3
2019_43,3
2019_44,5
2019_45,2
2019_46,6
2019_47,4
2019_48,3
2019_49,7
2019_50,5
2019_51,5
2019_52,1
2020_00,5
2020_01,9
2020_02,12
2020_03,7
2020_04,6
2020_05,12
2020_06,6
2020_07,6
2020_08,4
2020_09,16
2020_10,16
2020_11,10
2020_12,11
2020_13,13
2020_14,10
2020_15,7
2020_16,13
2020_17,10
2020_18,7
2020_19,10
2020_20,9
2020_21,15
2020_22,13
2020_23,9
2020_24,16
2020_25,18
2020_26,12
2020_27,9
2020_28,11
2020_29,15
2020_30,8
2020_31,16
2020_32,18
2020_33,12
2020_34,11
2020_35,11
2020_36,23
2020_37,15
2020_38,17
2020_39,21
2020_40,24
2020_41,21
2020_42,13
2020_43,25
2020_44,17
2020_45,18
2020_46,17
2020_47,13
2020_48,27
2020_49,20
2020_50,21
2020_51,20
2020_52,7
2021_00,16
2021_01,19
2021_02,20
2021_03,29
2021_04,23
2021_05,19
2021_06,23
2021_07,23
2021_08,19
2021_09,19
2021_10,18
2021_11,17
2021_12,31
2021_13,16
2021_14,26
2021_15,28
2021_16,25
2021_17,26
2021_18,28
2021_19,23
2021_20,39
2021_21,22
2021_22,21
2021_23,32
2021_24,38
2021_25,23
2021_26,29
2021_27,16
2021_28,19
2021_29,34
2021_30,27
2021_31,27
2021_32,41
2021_33,34
2021_34,26
2021_35,32
2021_36,22
2021_37,29
2021_38,23
2021_39,24
2021_40,25
2021_41,23
2021_42,38
2021_43,20
2021_44,29
2021_45,36
2021_46,37
2021_47,43
2021_48,36
2021_49,37
2021_50,24
2021_51,37
2021_52,4
2022_00,35
2022_01,33
2022_02,34
2022_03,30
2022_04,26
2022_05,45
2022_06,26
2022_07,32
2022_08,44
2022_09,30
2022_10,42
2022_11,48
2022_12,33
2022_13,26
2022_14,35
2022_15,34
2022_16,34
2022_17,30
2022_18,34
2022_19,33
2022_20,35
2022_21,41
2022_22,33
2022_23,26
2022_24,30
2022_25,41
2022_26,44
2022_27,44
2022_28,45
2022_29,27
2022_30,41
2022_31,31
2022_32,29
2022_33,46
2022_34,42
2022_35,44
2022_36,47
2022_37,47
2022_38,43
2022_39,51
2022_40,43
2022_41,47
2022_42,42
2022_43,55
2022_44,63
2022_45,44
2022_46,42
2022_47,62
2022_48,45
2022_49,43
2022_50,52
2022_51,30
2022_52,14
2023_00,40
2023_01,46
2023_02,34
2023_03,61
2023_04,51
2023_05,51
2023_06,47
2023_07,50
2023_08,54
2023_09,68
2023_10,44
2023_11,62
2023_12,56
2023_13,42
2023_14,41
2023_15,59
2023_16,57
2023_17,50
2023_18,50
2023_19,66
2023_20,57
2023_21,38
2023_22,56
2023_23,66
2023_24,57
2023_25,52
2023_26,53
2023_27,57
2023_28,54
2023_29,45
2023_30,58
2023_31,56
2023_32,70
2023_33,56
2023_34,42
2023_35,73
2023_36,39
2023_37,60
2023_38,68
2023_39,77
2023_40,63
2023_41,79
2023_42,58
2023_43,71
2023_44,64
2023_45,48
2023_46,62
2023_47,55
2023_48,62
2023_49,29
