year_week,count
2019_33,1
2019_39,2
2019_40,1
2019_44,1
2019_49,1
2019_50,1
2019_51,1
2020_02,1
2020_06,1
2020_07,2
2020_09,1
2020_10,3
2020_11,2
2020_12,4
2020_13,2
2020_14,1
2020_15,2
2020_16,1
2020_17,2
2020_18,2
2020_19,1
2020_21,1
2020_23,1
2020_24,4
2020_25,2
2020_26,2
2020_27,1
2020_28,4
2020_30,4
2020_31,1
2020_32,3
2020_33,2
2020_34,2
2020_35,2
2020_37,1
2020_38,1
2020_39,2
2020_40,2
2020_41,1
2020_42,3
2020_43,2
2020_44,2
2020_45,1
2020_46,6
2020_47,1
2020_48,2
2020_49,1
2020_50,3
2020_51,4
2021_01,2
2021_02,1
2021_03,3
2021_04,4
2021_05,3
2021_06,2
2021_07,1
2021_08,2
2021_10,5
2021_11,2
2021_12,2
2021_13,4
2021_14,5
2021_15,2
2021_16,2
2021_17,2
2021_18,6
2021_19,4
2021_20,1
2021_21,1
2021_22,1
2021_23,5
2021_24,2
2021_25,5
2021_26,1
2021_27,3
2021_28,5
2021_29,4
2021_30,1
2021_31,8
2021_32,4
2021_33,6
2021_34,2
2021_35,5
2021_36,7
2021_37,4
2021_38,3
2021_40,2
2021_41,2
2021_42,4
2021_43,5
2021_44,4
2021_45,3
2021_46,3
2021_47,5
2021_48,4
2021_49,5
2021_50,2
2021_51,3
2022_00,1
2022_01,3
2022_02,3
2022_03,4
2022_04,5
2022_05,2
2022_06,5
2022_07,2
2022_08,4
2022_09,7
2022_10,5
2022_11,6
2022_12,6
2022_13,4
2022_14,5
2022_15,3
2022_16,7
2022_17,3
2022_18,11
2022_19,6
2022_20,6
2022_21,6
2022_22,1
2022_23,12
2022_24,6
2022_25,6
2022_26,2
2022_27,1
2022_28,4
2022_29,4
2022_30,4
2022_31,3
2022_32,7
2022_33,8
2022_34,11
2022_35,4
2022_36,9
2022_37,4
2022_38,4
2022_39,6
2022_40,4
2022_41,3
2022_42,6
2022_43,6
2022_44,3
2022_45,7
2022_46,8
2022_47,6
2022_48,9
2022_49,5
2022_50,6
2022_51,7
2022_52,2
2023_00,5
2023_01,3
2023_02,8
2023_03,4
2023_04,11
2023_05,9
2023_06,11
2023_07,9
2023_08,9
2023_09,8
2023_10,7
2023_11,5
2023_12,5
2023_13,12
2023_14,12
2023_15,5
2023_16,6
2023_17,7
2023_18,6
2023_19,9
2023_20,9
2023_21,7
2023_22,8
2023_23,5
2023_24,9
2023_25,8
2023_26,5
2023_27,12
2023_28,10
2023_29,5
2023_30,6
2023_31,9
2023_32,6
2023_33,12
2023_34,8
2023_35,13
2023_36,15
2023_37,14
2023_38,7
2023_39,5
2023_40,9
2023_41,5
2023_42,11
2023_43,6
2023_44,12
2023_45,18
2023_46,7
2023_47,9
2023_48,5
2023_49,4
