year_week,count
2019_29,1
2019_33,1
2019_34,1
2019_35,3
2019_36,3
2019_37,1
2019_38,5
2019_39,2
2019_40,3
2019_41,5
2019_42,5
2019_43,1
2019_44,2
2019_45,5
2019_46,4
2019_47,7
2019_48,5
2019_49,4
2019_50,7
2019_51,3
2019_52,1
2020_00,6
2020_01,5
2020_02,10
2020_03,5
2020_04,7
2020_05,12
2020_06,7
2020_07,12
2020_08,6
2020_09,6
2020_10,13
2020_11,14
2020_12,6
2020_13,9
2020_14,13
2020_15,6
2020_16,13
2020_17,11
2020_18,13
2020_19,5
2020_20,6
2020_21,11
2020_22,9
2020_23,15
2020_24,14
2020_25,10
2020_26,10
2020_27,13
2020_28,12
2020_29,18
2020_30,15
2020_31,13
2020_32,14
2020_33,16
2020_34,15
2020_35,9
2020_36,20
2020_37,20
2020_38,16
2020_39,21
2020_40,18
2020_41,23
2020_42,22
2020_43,25
2020_44,18
2020_45,24
2020_46,15
2020_47,21
2020_48,20
2020_49,22
2020_50,11
2020_51,18
2020_52,3
2021_00,18
2021_01,14
2021_02,13
2021_03,17
2021_04,30
2021_05,30
2021_06,16
2021_07,18
2021_08,22
2021_09,22
2021_10,35
2021_11,22
2021_12,27
2021_13,28
2021_14,31
2021_15,27
2021_16,19
2021_17,17
2021_18,19
2021_19,19
2021_20,33
2021_21,26
2021_22,24
2021_23,32
2021_24,22
2021_25,16
2021_26,24
2021_27,27
2021_28,25
2021_29,15
2021_30,28
2021_31,28
2021_32,37
2021_33,20
2021_34,24
2021_35,30
2021_36,34
2021_37,23
2021_38,26
2021_39,31
2021_40,35
2021_41,30
2021_42,35
2021_43,35
2021_44,32
2021_45,29
2021_46,31
2021_47,35
2021_48,27
2021_49,41
2021_50,36
2021_51,43
2021_52,7
2022_00,26
2022_01,27
2022_02,35
2022_03,37
2022_04,30
2022_05,28
2022_06,43
2022_07,37
2022_08,44
2022_09,36
2022_10,46
2022_11,45
2022_12,35
2022_13,29
2022_14,42
2022_15,39
2022_16,34
2022_17,41
2022_18,43
2022_19,54
2022_20,43
2022_21,38
2022_22,35
2022_23,41
2022_24,50
2022_25,37
2022_26,54
2022_27,44
2022_28,42
2022_29,43
2022_30,42
2022_31,42
2022_32,41
2022_33,44
2022_34,43
2022_35,39
2022_36,38
2022_37,40
2022_38,46
2022_39,41
2022_40,27
2022_41,36
2022_42,47
2022_43,39
2022_44,38
2022_45,49
2022_46,46
2022_47,55
2022_48,54
2022_49,49
2022_50,47
2022_51,51
2022_52,14
2023_00,33
2023_01,52
2023_02,49
2023_03,57
2023_04,49
2023_05,45
2023_06,53
2023_07,52
2023_08,55
2023_09,51
2023_10,46
2023_11,47
2023_12,62
2023_13,49
2023_14,34
2023_15,67
2023_16,52
2023_17,54
2023_18,49
2023_19,53
2023_20,57
2023_21,52
2023_22,68
2023_23,66
2023_24,52
2023_25,51
2023_26,70
2023_27,55
2023_28,72
2023_29,64
2023_30,39
2023_31,63
2023_32,51
2023_33,59
2023_34,61
2023_35,41
2023_36,53
2023_37,60
2023_38,57
2023_39,53
2023_40,67
2023_41,59
2023_42,58
2023_43,67
2023_44,68
2023_45,65
2023_46,56
2023_47,60
2023_48,52
2023_49,32
