year_week,count
2019_29,1
2019_31,1
2019_32,1
2019_33,1
2019_34,5
2019_35,4
2019_36,4
2019_37,5
2019_38,1
2019_39,4
2019_40,4
2019_41,2
2019_42,3
2019_43,2
2019_44,3
2019_45,3
2019_46,5
2019_47,8
2019_48,3
2019_49,4
2019_50,5
2019_51,4
2019_52,2
2020_00,4
2020_01,9
2020_02,8
2020_03,11
2020_04,6
2020_05,8
2020_06,8
2020_07,7
2020_08,12
2020_09,10
2020_10,7
2020_11,10
2020_12,6
2020_13,4
2020_14,13
2020_15,14
2020_16,18
2020_17,12
2020_18,7
2020_19,12
2020_20,9
2020_21,7
2020_22,18
2020_23,13
2020_24,14
2020_25,16
2020_26,14
2020_27,19
2020_28,9
2020_29,19
2020_30,13
2020_31,13
2020_32,16
2020_33,21
2020_34,21
2020_35,14
2020_36,23
2020_37,15
2020_38,16
2020_39,16
2020_40,15
2020_41,23
2020_42,20
2020_43,18
2020_44,26
2020_45,16
2020_46,13
2020_47,24
2020_48,23
2020_49,21
2020_50,22
2020_51,17
2020_52,7
2021_00,15
2021_01,15
2021_02,17
2021_03,21
2021_04,19
2021_05,15
2021_06,17
2021_07,20
2021_08,20
2021_09,22
2021_10,20
2021_11,26
2021_12,22
2021_13,20
2021_14,32
2021_15,18
2021_16,18
2021_17,18
2021_18,24
2021_19,28
2021_20,27
2021_21,25
2021_22,23
2021_23,23
2021_24,20
2021_25,27
2021_26,36
2021_27,25
2021_28,27
2021_29,38
2021_30,34
2021_31,24
2021_32,30
2021_33,37
2021_34,42
2021_35,31
2021_36,24
2021_37,33
2021_38,32
2021_39,38
2021_40,25
2021_41,26
2021_42,37
2021_43,28
2021_44,34
2021_45,30
2021_46,31
2021_47,46
2021_48,29
2021_49,32
2021_50,26
2021_51,44
2021_52,4
2022_00,25
2022_01,24
2022_02,29
2022_03,30
2022_04,43
2022_05,42
2022_06,33
2022_07,35
2022_08,30
2022_09,38
2022_10,39
2022_11,30
2022_12,34
2022_13,50
2022_14,36
2022_15,27
2022_16,40
2022_17,44
2022_18,44
2022_19,44
2022_20,39
2022_21,38
2022_22,43
2022_23,40
2022_24,46
2022_25,31
2022_26,28
2022_27,44
2022_28,37
2022_29,56
2022_30,41
2022_31,39
2022_32,36
2022_33,43
2022_34,42
2022_35,40
2022_36,40
2022_37,40
2022_38,47
2022_39,47
2022_40,43
2022_41,43
2022_42,47
2022_43,52
2022_44,41
2022_45,46
2022_46,43
2022_47,46
2022_48,44
2022_49,38
2022_50,52
2022_51,31
2022_52,7
2023_00,31
2023_01,57
2023_02,47
2023_03,52
2023_04,47
2023_05,65
2023_06,41
2023_07,57
2023_08,59
2023_09,49
2023_10,55
2023_11,38
2023_12,49
2023_13,45
2023_14,60
2023_15,53
2023_16,47
2023_17,63
2023_18,56
2023_19,63
2023_20,55
2023_21,55
2023_22,61
2023_23,67
2023_24,53
2023_25,49
2023_26,62
2023_27,43
2023_28,55
2023_29,59
2023_30,65
2023_31,51
2023_32,52
2023_33,51
2023_34,63
2023_35,62
2023_36,60
2023_37,66
2023_38,67
2023_39,61
2023_40,61
2023_41,55
2023_42,56
2023_43,70
2023_44,65
2023_45,61
2023_46,66
2023_47,59
2023_48,69
2023_49,26
