year_week,count
2019_30,1
2019_32,1
2019_33,1
2019_36,2
2019_37,1
2019_38,2
2019_39,1
2019_40,2
2019_41,4
2019_42,5
2019_43,2
2019_44,5
2019_45,5
2019_46,2
2019_47,4
2019_48,3
2019_49,6
2019_50,4
2019_51,9
2019_52,1
2020_00,5
2020_01,2
2020_02,13
2020_03,10
2020_04,4
2020_05,10
2020_06,9
2020_07,6
2020_08,7
2020_09,14
2020_10,13
2020_11,11
2020_12,10
2020_13,12
2020_14,7
2020_15,6
2020_16,11
2020_17,8
2020_18,10
2020_19,16
2020_20,16
2020_21,12
2020_22,8
2020_23,14
2020_24,20
2020_25,8
2020_26,10
2020_27,8
2020_28,11
2020_29,11
2020_30,7
2020_31,18
2020_32,17
2020_33,17
2020_34,12
2020_35,17
2020_36,17
2020_37,14
2020_38,12
2020_39,16
2020_40,14
2020_41,15
2020_42,16
2020_43,17
2020_44,22
2020_45,21
2020_46,15
2020_47,23
2020_48,15
2020_49,28
2020_50,18
2020_51,18
2020_52,6
2021_00,13
2021_01,21
2021_02,20
2021_03,20
2021_04,25
2021_05,19
2021_06,12
2021_07,18
2021_08,16
2021_09,27
2021_10,35
2021_11,23
2021_12,22
2021_13,17
2021_14,23
2021_15,23
2021_16,22
2021_17,35
2021_18,17
2021_19,30
2021_20,27
2021_21,33
2021_22,30
2021_23,36
2021_24,22
2021_25,24
2021_26,34
2021_27,22
2021_28,24
2021_29,28
2021_30,24
2021_31,25
2021_32,21
2021_33,26
2021_34,31
2021_35,23
2021_36,30
2021_37,21
2021_38,40
2021_39,37
2021_40,26
2021_41,34
2021_42,36
2021_43,33
2021_44,35
2021_45,37
2021_46,24
2021_47,37
2021_48,32
2021_49,22
2021_50,31
2021_51,45
2021_52,8
2022_00,40
2022_01,30
2022_02,39
2022_03,39
2022_04,34
2022_05,33
2022_06,35
2022_07,37
2022_08,40
2022_09,24
2022_10,44
2022_11,45
2022_12,35
2022_13,40
2022_14,32
2022_15,36
2022_16,28
2022_17,36
2022_18,28
2022_19,30
2022_20,43
2022_21,40
2022_22,34
2022_23,46
2022_24,32
2022_25,43
2022_26,40
2022_27,31
2022_28,34
2022_29,42
2022_30,40
2022_31,33
2022_32,44
2022_33,42
2022_34,42
2022_35,43
2022_36,50
2022_37,43
2022_38,40
2022_39,47
2022_40,49
2022_41,51
2022_42,42
2022_43,35
2022_44,54
2022_45,50
2022_46,42
2022_47,68
2022_48,45
2022_49,54
2022_50,60
2022_51,49
2022_52,11
2023_00,33
2023_01,42
2023_02,53
2023_03,51
2023_04,55
2023_05,65
2023_06,47
2023_07,36
2023_08,53
2023_09,39
2023_10,60
2023_11,51
2023_12,53
2023_13,59
2023_14,61
2023_15,70
2023_16,58
2023_17,59
2023_18,46
2023_19,44
2023_20,62
2023_21,52
2023_22,59
2023_23,62
2023_24,73
2023_25,66
2023_26,47
2023_27,54
2023_28,65
2023_29,72
2023_30,58
2023_31,52
2023_32,62
2023_33,61
2023_34,62
2023_35,61
2023_36,55
2023_37,49
2023_38,58
2023_39,75
2023_40,45
2023_41,61
2023_42,66
2023_43,51
2023_44,69
2023_45,58
2023_46,63
2023_47,48
2023_48,81
2023_49,25
