year_week,count
2019_30,1
2019_32,2
2019_33,4
2019_34,1
2019_35,7
2019_36,3
2019_37,1
2019_38,2
2019_39,1
2019_40,5
2019_41,4
2019_42,3
2019_43,4
2019_44,9
2019_45,8
2019_46,5
2019_47,7
2019_48,6
2019_49,1
2019_50,13
2019_51,11
2020_00,7
2020_01,10
2020_02,3
2020_03,7
2020_04,7
2020_05,8
2020_06,10
2020_07,13
2020_08,8
2020_09,10
2020_10,15
2020_11,11
2020_12,14
2020_13,15
2020_14,14
2020_15,8
2020_16,11
2020_17,12
2020_18,8
2020_19,10
2020_20,7
2020_21,14
2020_22,10
2020_23,13
2020_24,14
2020_25,16
2020_26,16
2020_27,14
2020_28,22
2020_29,23
2020_30,15
2020_31,16
2020_32,18
2020_33,21
2020_34,16
2020_35,22
2020_36,16
2020_37,9
2020_38,25
2020_39,20
2020_40,19
2020_41,13
2020_42,18
2020_43,16
2020_44,19
2020_45,16
2020_46,14
2020_47,23
2020_48,20
2020_49,15
2020_50,22
2020_51,21
2020_52,7
2021_00,18
2021_01,25
2021_02,22
2021_03,27
2021_04,28
2021_05,19
2021_06,21
2021_07,27
2021_08,29
2021_09,27
2021_10,20
2021_11,23
2021_12,31
2021_13,32
2021_14,22
2021_15,28
2021_16,24
2021_17,26
2021_18,28
2021_19,35
2021_20,31
2021_21,30
2021_22,34
2021_23,32
2021_24,25
2021_25,27
2021_26,34
2021_27,27
2021_28,34
2021_29,26
2021_30,41
2021_31,37
2021_32,32
2021_33,38
2021_34,46
2021_35,45
2021_36,36
2021_37,30
2021_38,40
2021_39,37
2021_40,33
2021_41,35
2021_42,42
2021_43,38
2021_44,40
2021_45,32
2021_46,27
2021_47,35
2021_48,40
2021_49,35
2021_50,48
2021_51,41
2021_52,4
2022_00,30
2022_01,43
2022_02,38
2022_03,52
2022_04,44
2022_05,41
2022_06,50
2022_07,40
2022_08,36
2022_09,36
2022_10,44
2022_11,39
2022_12,48
2022_13,43
2022_14,36
2022_15,40
2022_16,42
2022_17,36
2022_18,43
2022_19,51
2022_20,48
2022_21,51
2022_22,45
2022_23,53
2022_24,53
2022_25,55
2022_26,41
2022_27,49
2022_28,47
2022_29,41
2022_30,48
2022_31,37
2022_32,46
2022_33,52
2022_34,47
2022_35,34
2022_36,43
2022_37,67
2022_38,48
2022_39,48
2022_40,53
2022_41,46
2022_42,47
2022_43,52
2022_44,60
2022_45,58
2022_46,51
2022_47,65
2022_48,61
2022_49,60
2022_50,69
2022_51,53
2022_52,16
2023_00,45
2023_01,58
2023_02,69
2023_03,70
2023_04,58
2023_05,65
2023_06,51
2023_07,67
2023_08,56
2023_09,59
2023_10,55
2023_11,53
2023_12,54
2023_13,57
2023_14,56
2023_15,74
2023_16,64
2023_17,66
2023_18,56
2023_19,47
2023_20,64
2023_21,58
2023_22,64
2023_23,65
2023_24,70
2023_25,59
2023_26,78
2023_27,52
2023_28,66
2023_29,48
2023_30,67
2023_31,56
2023_32,79
2023_33,66
2023_34,86
2023_35,66
2023_36,55
2023_37,67
2023_38,64
2023_39,72
2023_40,63
2023_41,74
2023_42,70
2023_43,75
2023_44,56
2023_45,78
2023_46,73
2023_47,56
2023_48,77
2023_49,28
