year_week,count
2019_30,1
2019_32,1
2019_35,1
2019_36,2
2019_37,2
2019_38,3
2019_39,6
2019_40,2
2019_41,3
2019_42,4
2019_43,4
2019_44,2
2019_45,8
2019_46,6
2019_47,5
2019_48,10
2019_49,11
2019_50,13
2019_51,3
2019_52,2
2020_00,2
2020_01,15
2020_02,11
2020_03,9
2020_04,17
2020_05,12
2020_06,9
2020_07,5
2020_08,11
2020_09,11
2020_10,12
2020_11,11
2020_12,20
2020_13,11
2020_14,12
2020_15,10
2020_16,8
2020_17,8
2020_18,12
2020_19,19
2020_20,11
2020_21,14
2020_22,12
2020_23,16
2020_24,13
2020_25,21
2020_26,16
2020_27,14
2020_28,18
2020_29,10
2020_30,15
2020_31,24
2020_32,26
2020_33,14
2020_34,18
2020_35,10
2020_36,10
2020_37,22
2020_38,22
2020_39,19
2020_40,16
2020_41,22
2020_42,25
2020_43,25
2020_44,19
2020_45,18
2020_46,19
2020_47,21
2020_48,25
2020_49,28
2020_50,22
2020_51,16
2020_52,9
2021_00,21
2021_01,17
2021_02,22
2021_03,22
2021_04,28
2021_05,30
2021_06,26
2021_07,25
2021_08,28
2021_09,37
2021_10,16
2021_11,25
2021_12,24
2021_13,31
2021_14,26
2021_15,28
2021_16,29
2021_17,34
2021_18,31
2021_19,35
2021_20,30
2021_21,31
2021_22,36
2021_23,29
2021_24,32
2021_25,32
2021_26,32
2021_27,31
2021_28,29
2021_29,38
2021_30,36
2021_31,32
2021_32,34
2021_33,37
2021_34,28
2021_35,31
2021_36,41
2021_37,37
2021_38,23
2021_39,40
2021_40,38
2021_41,42
2021_42,47
2021_43,34
2021_44,38
2021_45,44
2021_46,32
2021_47,48
2021_48,41
2021_49,37
2021_50,37
2021_51,43
2021_52,7
2022_00,37
2022_01,36
2022_02,42
2022_03,35
2022_04,37
2022_05,43
2022_06,53
2022_07,40
2022_08,45
2022_09,55
2022_10,46
2022_11,55
2022_12,52
2022_13,45
2022_14,45
2022_15,41
2022_16,32
2022_17,49
2022_18,45
2022_19,43
2022_20,40
2022_21,48
2022_22,68
2022_23,42
2022_24,41
2022_25,48
2022_26,50
2022_27,49
2022_28,51
2022_29,46
2022_30,52
2022_31,48
2022_32,45
2022_33,44
2022_34,49
2022_35,46
2022_36,55
2022_37,59
2022_38,46
2022_39,59
2022_40,53
2022_41,39
2022_42,41
2022_43,51
2022_44,59
2022_45,44
2022_46,56
2022_47,59
2022_48,66
2022_49,56
2022_50,53
2022_51,76
2022_52,23
2023_00,43
2023_01,64
2023_02,47
2023_03,63
2023_04,56
2023_05,76
2023_06,57
2023_07,74
2023_08,57
2023_09,73
2023_10,67
2023_11,61
2023_12,50
2023_13,58
2023_14,55
2023_15,71
2023_16,71
2023_17,64
2023_18,68
2023_19,68
2023_20,77
2023_21,64
2023_22,72
2023_23,63
2023_24,69
2023_25,49
2023_26,66
2023_27,68
2023_28,81
2023_29,75
2023_30,76
2023_31,67
2023_32,61
2023_33,69
2023_34,66
2023_35,59
2023_36,63
2023_37,65
2023_38,86
2023_39,77
2023_40,74
2023_41,74
2023_42,78
2023_43,71
2023_44,54
2023_45,65
2023_46,70
2023_47,61
2023_48,79
2023_49,33
