year_week,count
2019_30,1
2019_31,1
2019_32,1
2019_34,2
2019_35,3
2019_37,4
2019_38,3
2019_39,3
2019_40,3
2019_41,7
2019_42,2
2019_43,4
2019_44,4
2019_45,10
2019_46,4
2019_47,7
2019_48,7
2019_49,11
2019_50,1
2019_51,4
2019_52,4
2020_00,2
2020_01,8
2020_02,10
2020_03,4
2020_04,6
2020_05,6
2020_06,6
2020_07,11
2020_08,4
2020_09,9
2020_10,11
2020_11,7
2020_12,13
2020_13,7
2020_14,19
2020_15,13
2020_16,12
2020_17,9
2020_18,9
2020_19,16
2020_20,7
2020_21,19
2020_22,12
2020_23,13
2020_24,13
2020_25,13
2020_26,9
2020_27,16
2020_28,10
2020_29,24
2020_30,17
2020_31,16
2020_32,26
2020_33,18
2020_34,19
2020_35,15
2020_36,11
2020_37,14
2020_38,11
2020_39,12
2020_40,16
2020_41,15
2020_42,21
2020_43,14
2020_44,11
2020_45,17
2020_46,21
2020_47,20
2020_48,14
2020_49,22
2020_50,17
2020_51,20
2020_52,4
2021_00,15
2021_01,22
2021_02,24
2021_03,19
2021_04,18
2021_05,25
2021_06,20
2021_07,22
2021_08,23
2021_09,22
2021_10,23
2021_11,24
2021_12,22
2021_13,21
2021_14,31
2021_15,33
2021_16,24
2021_17,31
2021_18,26
2021_19,24
2021_20,34
2021_21,30
2021_22,22
2021_23,22
2021_24,21
2021_25,27
2021_26,24
2021_27,26
2021_28,38
2021_29,30
2021_30,41
2021_31,29
2021_32,34
2021_33,36
2021_34,35
2021_35,31
2021_36,29
2021_37,20
2021_38,36
2021_39,36
2021_40,23
2021_41,43
2021_42,27
2021_43,37
2021_44,30
2021_45,39
2021_46,33
2021_47,40
2021_48,19
2021_49,43
2021_50,38
2021_51,36
2021_52,8
2022_00,32
2022_01,24
2022_02,32
2022_03,44
2022_04,35
2022_05,36
2022_06,31
2022_07,39
2022_08,30
2022_09,29
2022_10,35
2022_11,51
2022_12,34
2022_13,40
2022_14,35
2022_15,43
2022_16,39
2022_17,38
2022_18,37
2022_19,45
2022_20,54
2022_21,42
2022_22,39
2022_23,45
2022_24,46
2022_25,38
2022_26,53
2022_27,43
2022_28,42
2022_29,35
2022_30,36
2022_31,46
2022_32,35
2022_33,33
2022_34,37
2022_35,40
2022_36,45
2022_37,40
2022_38,39
2022_39,40
2022_40,49
2022_41,50
2022_42,52
2022_43,33
2022_44,44
2022_45,51
2022_46,48
2022_47,48
2022_48,49
2022_49,47
2022_50,38
2022_51,47
2022_52,17
2023_00,31
2023_01,47
2023_02,47
2023_03,41
2023_04,42
2023_05,53
2023_06,47
2023_07,43
2023_08,46
2023_09,49
2023_10,52
2023_11,48
2023_12,44
2023_13,48
2023_14,46
2023_15,60
2023_16,59
2023_17,49
2023_18,51
2023_19,49
2023_20,59
2023_21,57
2023_22,47
2023_23,62
2023_24,56
2023_25,46
2023_26,62
2023_27,51
2023_28,74
2023_29,61
2023_30,65
2023_31,47
2023_32,44
2023_33,60
2023_34,45
2023_35,51
2023_36,61
2023_37,73
2023_38,67
2023_39,64
2023_40,67
2023_41,72
2023_42,71
2023_43,64
2023_44,55
2023_45,58
2023_46,65
2023_47,63
2023_48,52
2023_49,17
