year_week,count
2019_28,3
2019_29,1
2019_31,2
2019_32,1
2019_33,3
2019_34,2
2019_35,2
2019_36,4
2019_37,2
2019_38,2
2019_39,7
2019_40,9
2019_41,9
2019_42,7
2019_43,9
2019_44,11
2019_45,6
2019_46,11
2019_47,13
2019_48,12
2019_49,15
2019_50,16
2019_51,8
2019_52,1
2020_00,8
2020_01,7
2020_02,8
2020_03,16
2020_04,21
2020_05,17
2020_06,21
2020_07,13
2020_08,17
2020_09,13
2020_10,9
2020_11,15
2020_12,14
2020_13,18
2020_14,18
2020_15,24
2020_16,15
2020_17,17
2020_18,21
2020_19,29
2020_20,21
2020_21,24
2020_22,16
2020_23,21
2020_24,16
2020_25,18
2020_26,25
2020_27,20
2020_28,22
2020_29,20
2020_30,23
2020_31,23
2020_32,24
2020_33,22
2020_34,16
2020_35,23
2020_36,23
2020_37,28
2020_38,19
2020_39,25
2020_40,29
2020_41,20
2020_42,27
2020_43,22
2020_44,25
2020_45,22
2020_46,40
2020_47,33
2020_48,41
2020_49,28
2020_50,24
2020_51,34
2020_52,13
2021_00,28
2021_01,33
2021_02,31
2021_03,35
2021_04,30
2021_05,22
2021_06,38
2021_07,35
2021_08,32
2021_09,29
2021_10,34
2021_11,48
2021_12,28
2021_13,23
2021_14,40
2021_15,40
2021_16,36
2021_17,41
2021_18,44
2021_19,43
2021_20,43
2021_21,36
2021_22,39
2021_23,45
2021_24,33
2021_25,48
2021_26,33
2021_27,45
2021_28,46
2021_29,42
2021_30,47
2021_31,44
2021_32,49
2021_33,47
2021_34,62
2021_35,48
2021_36,47
2021_37,48
2021_38,48
2021_39,31
2021_40,30
2021_41,50
2021_42,38
2021_43,40
2021_44,49
2021_45,40
2021_46,64
2021_47,46
2021_48,59
2021_49,43
2021_50,55
2021_51,45
2021_52,13
2022_00,56
2022_01,45
2022_02,57
2022_03,62
2022_04,66
2022_05,51
2022_06,57
2022_07,61
2022_08,75
2022_09,49
2022_10,61
2022_11,62
2022_12,69
2022_13,66
2022_14,73
2022_15,62
2022_16,52
2022_17,55
2022_18,69
2022_19,63
2022_20,69
2022_21,67
2022_22,79
2022_23,75
2022_24,66
2022_25,79
2022_26,71
2022_27,87
2022_28,67
2022_29,78
2022_30,72
2022_31,85
2022_32,64
2022_33,70
2022_34,81
2022_35,55
2022_36,73
2022_37,84
2022_38,76
2022_39,67
2022_40,76
2022_41,79
2022_42,78
2022_43,77
2022_44,75
2022_45,67
2022_46,73
2022_47,80
2022_48,67
2022_49,92
2022_50,66
2022_51,75
2022_52,29
2023_00,73
2023_01,88
2023_02,73
2023_03,87
2023_04,79
2023_05,62
2023_06,72
2023_07,96
2023_08,78
2023_09,83
2023_10,76
2023_11,85
2023_12,93
2023_13,87
2023_14,94
2023_15,90
2023_16,77
2023_17,79
2023_18,76
2023_19,105
2023_20,90
2023_21,87
2023_22,90
2023_23,105
2023_24,103
2023_25,84
2023_26,83
2023_27,92
2023_28,86
2023_29,98
2023_30,113
2023_31,100
2023_32,95
2023_33,98
2023_34,102
2023_35,95
2023_36,105
2023_37,101
2023_38,126
2023_39,91
2023_40,115
2023_41,91
2023_42,109
2023_43,98
2023_44,77
2023_45,97
2023_46,98
2023_47,99
2023_48,102
2023_49,45
