year_week,count
2019_43,1
2019_48,1
2019_49,1
2019_51,1
2019_52,1
2020_05,1
2020_06,1
2020_07,1
2020_12,2
2020_13,4
2020_14,4
2020_15,1
2020_16,1
2020_17,1
2020_18,1
2020_19,1
2020_20,1
2020_21,1
2020_22,1
2020_23,1
2020_24,1
2020_26,1
2020_27,1
2020_28,2
2020_29,2
2020_35,3
2020_36,2
2020_38,2
2020_39,4
2020_41,1
2020_42,1
2020_43,1
2020_46,3
2020_47,1
2020_48,3
2020_49,1
2020_52,1
2021_00,1
2021_01,2
2021_02,2
2021_03,1
2021_04,1
2021_06,2
2021_07,1
2021_08,1
2021_09,1
2021_11,2
2021_12,1
2021_13,1
2021_14,2
2021_15,3
2021_16,2
2021_17,3
2021_18,4
2021_21,1
2021_22,1
2021_23,1
2021_24,3
2021_25,1
2021_26,4
2021_27,4
2021_28,5
2021_29,2
2021_30,1
2021_31,4
2021_33,1
2021_34,1
2021_35,3
2021_36,5
2021_37,2
2021_38,2
2021_39,1
2021_40,1
2021_41,3
2021_43,1
2021_44,2
2021_45,1
2021_46,2
2021_47,3
2021_48,6
2021_49,4
2021_50,4
2021_52,2
2022_00,2
2022_01,2
2022_02,4
2022_03,6
2022_05,5
2022_06,2
2022_07,8
2022_08,7
2022_09,4
2022_10,2
2022_11,2
2022_12,3
2022_14,2
2022_15,2
2022_16,3
2022_17,4
2022_19,1
2022_20,2
2022_21,3
2022_22,4
2022_23,3
2022_24,3
2022_25,2
2022_26,3
2022_27,1
2022_28,3
2022_29,3
2022_30,2
2022_31,3
2022_32,4
2022_33,2
2022_34,3
2022_35,3
2022_36,2
2022_37,3
2022_38,3
2022_39,2
2022_40,4
2022_41,1
2022_42,3
2022_43,4
2022_44,2
2022_45,4
2022_46,6
2022_47,3
2022_48,3
2022_49,2
2022_50,3
2022_51,3
2022_52,2
2023_00,1
2023_01,2
2023_02,3
2023_03,5
2023_04,6
2023_06,6
2023_07,1
2023_08,7
2023_09,4
2023_10,5
2023_11,2
2023_12,1
2023_13,3
2023_14,3
2023_15,4
2023_16,3
2023_17,6
2023_18,1
2023_19,3
2023_20,2
2023_21,3
2023_22,8
2023_23,5
2023_24,6
2023_25,4
2023_26,7
2023_27,4
2023_28,4
2023_29,5
2023_30,6
2023_31,6
2023_32,6
2023_33,1
2023_34,1
2023_35,6
2023_36,3
2023_37,3
2023_38,3
2023_39,5
2023_40,5
2023_41,1
2023_42,1
2023_43,4
2023_44,5
2023_45,3
2023_46,6
2023_47,4
2023_48,6
