year_week,count
2019_30,3
2019_33,2
2019_34,3
2019_35,1
2019_36,2
2019_37,3
2019_38,4
2019_39,2
2019_40,4
2019_41,7
2019_42,4
2019_43,6
2019_44,7
2019_45,3
2019_46,9
2019_47,4
2019_48,17
2019_49,3
2019_50,7
2019_51,6
2019_52,1
2020_00,8
2020_01,14
2020_02,3
2020_03,11
2020_04,11
2020_05,9
2020_06,6
2020_07,9
2020_08,13
2020_09,4
2020_10,10
2020_11,9
2020_12,13
2020_13,9
2020_14,9
2020_15,6
2020_16,7
2020_17,9
2020_18,9
2020_19,8
2020_20,16
2020_21,13
2020_22,13
2020_23,12
2020_24,14
2020_25,18
2020_26,16
2020_27,10
2020_28,8
2020_29,11
2020_30,16
2020_31,12
2020_32,10
2020_33,16
2020_34,16
2020_35,21
2020_36,16
2020_37,12
2020_38,22
2020_39,20
2020_40,17
2020_41,16
2020_42,12
2020_43,19
2020_44,11
2020_45,14
2020_46,19
2020_47,12
2020_48,18
2020_49,21
2020_50,20
2020_51,22
2020_52,7
2021_00,24
2021_01,21
2021_02,24
2021_03,16
2021_04,16
2021_05,20
2021_06,15
2021_07,18
2021_08,21
2021_09,21
2021_10,22
2021_11,23
2021_12,25
2021_13,25
2021_14,20
2021_15,26
2021_16,20
2021_17,28
2021_18,31
2021_19,29
2021_20,28
2021_21,21
2021_22,28
2021_23,20
2021_24,19
2021_25,26
2021_26,24
2021_27,25
2021_28,29
2021_29,29
2021_30,25
2021_31,29
2021_32,24
2021_33,27
2021_34,35
2021_35,28
2021_36,40
2021_37,24
2021_38,28
2021_39,24
2021_40,20
2021_41,27
2021_42,27
2021_43,23
2021_44,36
2021_45,35
2021_46,28
2021_47,43
2021_48,36
2021_49,32
2021_50,34
2021_51,39
2021_52,8
2022_00,40
2022_01,41
2022_02,32
2022_03,36
2022_04,33
2022_05,32
2022_06,36
2022_07,43
2022_08,41
2022_09,37
2022_10,29
2022_11,35
2022_12,33
2022_13,30
2022_14,42
2022_15,31
2022_16,47
2022_17,39
2022_18,35
2022_19,36
2022_20,39
2022_21,46
2022_22,58
2022_23,44
2022_24,44
2022_25,54
2022_26,51
2022_27,35
2022_28,39
2022_29,36
2022_30,50
2022_31,44
2022_32,46
2022_33,41
2022_34,44
2022_35,43
2022_36,45
2022_37,48
2022_38,47
2022_39,41
2022_40,39
2022_41,33
2022_42,54
2022_43,51
2022_44,47
2022_45,46
2022_46,48
2022_47,54
2022_48,44
2022_49,65
2022_50,59
2022_51,52
2022_52,15
2023_00,38
2023_01,48
2023_02,57
2023_03,50
2023_04,56
2023_05,44
2023_06,49
2023_07,62
2023_08,62
2023_09,54
2023_10,53
2023_11,48
2023_12,40
2023_13,47
2023_14,54
2023_15,55
2023_16,58
2023_17,44
2023_18,48
2023_19,73
2023_20,57
2023_21,52
2023_22,62
2023_23,49
2023_24,55
2023_25,55
2023_26,40
2023_27,59
2023_28,53
2023_29,65
2023_30,67
2023_31,60
2023_32,66
2023_33,61
2023_34,64
2023_35,55
2023_36,45
2023_37,57
2023_38,63
2023_39,60
2023_40,70
2023_41,60
2023_42,52
2023_43,57
2023_44,53
2023_45,58
2023_46,68
2023_47,63
2023_48,64
2023_49,25
