year_week,count
2019_47,1
2019_48,1
2019_50,1
2019_51,1
2020_03,1
2020_06,1
2020_07,1
2020_11,1
2020_12,1
2020_14,1
2020_17,1
2020_21,1
2020_23,1
2020_25,1
2020_27,1
2020_28,1
2020_31,2
2020_34,1
2020_36,1
2020_37,1
2020_39,2
2020_40,2
2020_42,1
2020_43,1
2020_44,1
2020_45,2
2020_46,2
2020_47,2
2020_49,2
2020_50,1
2020_51,1
2021_01,1
2021_03,2
2021_04,1
2021_06,2
2021_07,1
2021_08,1
2021_09,3
2021_11,3
2021_12,2
2021_14,1
2021_16,3
2021_17,2
2021_18,4
2021_19,1
2021_20,1
2021_21,3
2021_22,2
2021_24,2
2021_25,2
2021_26,1
2021_27,2
2021_28,1
2021_29,3
2021_30,4
2021_31,1
2021_32,2
2021_33,3
2021_34,3
2021_35,3
2021_36,2
2021_37,1
2021_38,7
2021_39,1
2021_41,4
2021_43,4
2021_44,7
2021_45,1
2021_46,2
2021_47,1
2021_48,2
2021_49,2
2021_50,3
2021_51,2
2022_00,3
2022_01,5
2022_02,4
2022_03,3
2022_04,3
2022_06,4
2022_07,3
2022_08,2
2022_09,1
2022_10,4
2022_11,3
2022_12,1
2022_13,5
2022_14,3
2022_15,1
2022_16,1
2022_17,5
2022_18,3
2022_19,3
2022_20,2
2022_21,1
2022_22,4
2022_23,4
2022_24,2
2022_25,2
2022_26,2
2022_27,5
2022_28,2
2022_29,1
2022_30,6
2022_31,5
2022_32,4
2022_33,3
2022_34,1
2022_35,4
2022_36,2
2022_37,2
2022_38,1
2022_39,3
2022_40,2
2022_41,4
2022_42,3
2022_43,5
2022_44,2
2022_45,3
2022_46,7
2022_47,2
2022_48,1
2022_49,6
2022_50,2
2022_51,4
2022_52,1
2023_00,2
2023_01,1
2023_02,4
2023_03,3
2023_05,2
2023_06,7
2023_07,5
2023_08,5
2023_09,5
2023_10,3
2023_11,5
2023_12,5
2023_13,1
2023_14,4
2023_15,5
2023_16,7
2023_17,1
2023_18,4
2023_19,5
2023_20,2
2023_21,3
2023_22,3
2023_23,3
2023_25,2
2023_26,3
2023_27,4
2023_28,2
2023_29,1
2023_30,3
2023_31,5
2023_32,7
2023_33,4
2023_34,4
2023_35,5
2023_36,3
2023_37,1
2023_38,7
2023_39,5
2023_40,8
2023_41,3
2023_42,6
2023_43,3
2023_44,4
2023_45,4
2023_46,5
2023_47,2
2023_48,4
2023_49,4
