year_week,count
2019_30,1
2019_35,1
2019_37,1
2019_38,1
2019_40,1
2019_44,1
2019_47,1
2019_51,1
2020_00,2
2020_01,2
2020_02,1
2020_03,1
2020_04,3
2020_05,1
2020_06,2
2020_07,2
2020_08,2
2020_09,3
2020_10,1
2020_11,1
2020_12,4
2020_14,1
2020_15,3
2020_16,1
2020_17,1
2020_18,5
2020_19,3
2020_20,3
2020_21,5
2020_22,2
2020_23,5
2020_24,1
2020_25,3
2020_27,5
2020_29,4
2020_30,2
2020_31,4
2020_32,5
2020_33,2
2020_35,4
2020_36,2
2020_37,1
2020_38,4
2020_39,2
2020_40,2
2020_41,2
2020_42,1
2020_43,2
2020_44,3
2020_45,5
2020_46,5
2020_47,2
2020_48,2
2020_49,3
2020_51,4
2020_52,2
2021_00,3
2021_01,2
2021_02,1
2021_03,1
2021_04,1
2021_05,3
2021_06,4
2021_07,3
2021_08,3
2021_09,4
2021_10,1
2021_11,2
2021_12,4
2021_13,1
2021_14,2
2021_15,2
2021_16,3
2021_17,5
2021_18,1
2021_19,2
2021_20,4
2021_21,5
2021_22,2
2021_23,6
2021_24,6
2021_25,3
2021_26,6
2021_27,2
2021_28,2
2021_29,3
2021_30,6
2021_31,3
2021_32,3
2021_33,5
2021_34,4
2021_35,4
2021_36,3
2021_37,8
2021_38,1
2021_39,6
2021_40,5
2021_41,2
2021_42,2
2021_43,4
2021_44,5
2021_45,5
2021_46,3
2021_47,5
2021_48,3
2021_49,6
2021_50,4
2021_51,7
2021_52,1
2022_00,3
2022_01,9
2022_02,4
2022_03,8
2022_04,6
2022_05,8
2022_06,3
2022_07,6
2022_08,8
2022_09,7
2022_10,1
2022_11,4
2022_12,6
2022_13,4
2022_14,5
2022_15,3
2022_16,8
2022_17,4
2022_18,6
2022_19,3
2022_20,7
2022_21,2
2022_22,4
2022_23,6
2022_24,5
2022_25,7
2022_26,3
2022_27,8
2022_28,4
2022_29,7
2022_30,8
2022_31,6
2022_32,3
2022_33,8
2022_34,3
2022_35,6
2022_36,5
2022_37,4
2022_38,7
2022_39,9
2022_40,4
2022_41,7
2022_42,4
2022_43,4
2022_44,7
2022_45,8
2022_46,1
2022_47,8
2022_48,5
2022_49,5
2022_50,12
2022_51,12
2022_52,1
2023_00,5
2023_01,10
2023_02,8
2023_03,5
2023_04,4
2023_05,5
2023_06,11
2023_07,4
2023_08,13
2023_09,5
2023_10,7
2023_11,9
2023_12,13
2023_13,10
2023_14,6
2023_15,6
2023_16,6
2023_17,6
2023_18,11
2023_19,6
2023_20,5
2023_21,7
2023_22,3
2023_23,5
2023_24,7
2023_25,3
2023_26,5
2023_27,11
2023_28,7
2023_29,8
2023_30,9
2023_31,5
2023_32,10
2023_33,9
2023_34,13
2023_35,8
2023_36,11
2023_37,7
2023_38,6
2023_39,10
2023_40,6
2023_41,9
2023_42,13
2023_43,10
2023_44,7
2023_45,7
2023_46,11
2023_47,9
2023_48,9
2023_49,4
