year_week,count
2019_32,1
2019_34,2
2019_35,1
2019_36,1
2019_37,3
2019_38,2
2019_39,3
2019_40,3
2019_41,6
2019_42,4
2019_43,3
2019_44,4
2019_45,5
2019_46,4
2019_47,5
2019_48,5
2019_49,8
2019_50,7
2019_51,7
2019_52,4
2020_00,5
2020_01,10
2020_02,6
2020_03,9
2020_04,8
2020_05,5
2020_06,7
2020_07,15
2020_08,9
2020_09,12
2020_10,10
2020_11,9
2020_12,11
2020_13,8
2020_14,11
2020_15,10
2020_16,13
2020_17,8
2020_18,14
2020_19,15
2020_20,8
2020_21,9
2020_22,15
2020_23,10
2020_24,12
2020_25,9
2020_26,23
2020_27,16
2020_28,20
2020_29,14
2020_30,18
2020_31,11
2020_32,13
2020_33,21
2020_34,15
2020_35,19
2020_36,22
2020_37,17
2020_38,20
2020_39,15
2020_40,19
2020_41,27
2020_42,16
2020_43,24
2020_44,15
2020_45,26
2020_46,12
2020_47,19
2020_48,15
2020_49,22
2020_50,23
2020_51,17
2020_52,4
2021_00,23
2021_01,13
2021_02,21
2021_03,26
2021_04,32
2021_05,22
2021_06,21
2021_07,25
2021_08,26
2021_09,29
2021_10,28
2021_11,25
2021_12,19
2021_13,15
2021_14,18
2021_15,17
2021_16,23
2021_17,25
2021_18,25
2021_19,33
2021_20,35
2021_21,43
2021_22,24
2021_23,29
2021_24,31
2021_25,29
2021_26,30
2021_27,17
2021_28,37
2021_29,39
2021_30,25
2021_31,31
2021_32,37
2021_33,26
2021_34,34
2021_35,13
2021_36,25
2021_37,23
2021_38,25
2021_39,47
2021_40,31
2021_41,41
2021_42,35
2021_43,40
2021_44,30
2021_45,45
2021_46,28
2021_47,34
2021_48,31
2021_49,28
2021_50,44
2021_51,36
2021_52,10
2022_00,36
2022_01,25
2022_02,43
2022_03,28
2022_04,34
2022_05,37
2022_06,34
2022_07,31
2022_08,38
2022_09,42
2022_10,29
2022_11,55
2022_12,42
2022_13,36
2022_14,32
2022_15,29
2022_16,36
2022_17,35
2022_18,44
2022_19,33
2022_20,50
2022_21,31
2022_22,33
2022_23,37
2022_24,34
2022_25,41
2022_26,39
2022_27,51
2022_28,41
2022_29,50
2022_30,37
2022_31,44
2022_32,49
2022_33,53
2022_34,43
2022_35,43
2022_36,47
2022_37,43
2022_38,38
2022_39,42
2022_40,51
2022_41,49
2022_42,61
2022_43,54
2022_44,44
2022_45,48
2022_46,61
2022_47,48
2022_48,51
2022_49,44
2022_50,57
2022_51,44
2022_52,18
2023_00,36
2023_01,56
2023_02,54
2023_03,55
2023_04,58
2023_05,46
2023_06,74
2023_07,61
2023_08,53
2023_09,64
2023_10,61
2023_11,56
2023_12,59
2023_13,48
2023_14,52
2023_15,58
2023_16,48
2023_17,54
2023_18,62
2023_19,57
2023_20,63
2023_21,59
2023_22,68
2023_23,65
2023_24,57
2023_25,77
2023_26,61
2023_27,65
2023_28,58
2023_29,60
2023_30,60
2023_31,53
2023_32,46
2023_33,60
2023_34,49
2023_35,73
2023_36,66
2023_37,70
2023_38,72
2023_39,61
2023_40,62
2023_41,63
2023_42,75
2023_43,89
2023_44,58
2023_45,54
2023_46,70
2023_47,62
2023_48,56
2023_49,33
