year_week,count
2019_28,1
2019_31,1
2019_32,1
2019_33,1
2019_34,2
2019_35,1
2019_37,4
2019_38,1
2019_39,4
2019_40,1
2019_41,4
2019_42,6
2019_43,4
2019_44,6
2019_45,6
2019_46,4
2019_47,4
2019_48,6
2019_49,12
2019_50,6
2019_51,6
2020_00,5
2020_01,6
2020_02,7
2020_03,11
2020_04,16
2020_05,7
2020_06,10
2020_07,4
2020_08,15
2020_09,13
2020_10,11
2020_11,9
2020_12,10
2020_13,16
2020_14,9
2020_15,19
2020_16,9
2020_17,7
2020_18,10
2020_19,15
2020_20,16
2020_21,16
2020_22,6
2020_23,11
2020_24,13
2020_25,12
2020_26,12
2020_27,8
2020_28,14
2020_29,16
2020_30,15
2020_31,16
2020_32,11
2020_33,12
2020_34,20
2020_35,21
2020_36,14
2020_37,15
2020_38,15
2020_39,16
2020_40,17
2020_41,13
2020_42,13
2020_43,20
2020_44,23
2020_45,20
2020_46,24
2020_47,15
2020_48,23
2020_49,17
2020_50,21
2020_51,16
2020_52,10
2021_00,17
2021_01,14
2021_02,14
2021_03,28
2021_04,24
2021_05,34
2021_06,25
2021_07,20
2021_08,20
2021_09,20
2021_10,24
2021_11,24
2021_12,22
2021_13,22
2021_14,26
2021_15,17
2021_16,15
2021_17,27
2021_18,20
2021_19,34
2021_20,30
2021_21,21
2021_22,18
2021_23,25
2021_24,24
2021_25,30
2021_26,35
2021_27,21
2021_28,26
2021_29,23
2021_30,28
2021_31,18
2021_32,25
2021_33,32
2021_34,28
2021_35,33
2021_36,28
2021_37,30
2021_38,26
2021_39,25
2021_40,35
2021_41,36
2021_42,30
2021_43,34
2021_44,35
2021_45,43
2021_46,38
2021_47,35
2021_48,45
2021_49,37
2021_50,44
2021_51,44
2021_52,1
2022_00,31
2022_01,41
2022_02,33
2022_03,32
2022_04,38
2022_05,30
2022_06,32
2022_07,34
2022_08,28
2022_09,33
2022_10,42
2022_11,33
2022_12,51
2022_13,37
2022_14,36
2022_15,35
2022_16,39
2022_17,42
2022_18,38
2022_19,47
2022_20,51
2022_21,47
2022_22,34
2022_23,47
2022_24,37
2022_25,32
2022_26,45
2022_27,37
2022_28,37
2022_29,31
2022_30,43
2022_31,45
2022_32,35
2022_33,30
2022_34,50
2022_35,50
2022_36,38
2022_37,49
2022_38,56
2022_39,46
2022_40,45
2022_41,53
2022_42,40
2022_43,40
2022_44,46
2022_45,55
2022_46,42
2022_47,60
2022_48,57
2022_49,56
2022_50,45
2022_51,42
2022_52,16
2023_00,36
2023_01,46
2023_02,57
2023_03,46
2023_04,51
2023_05,63
2023_06,60
2023_07,60
2023_08,42
2023_09,55
2023_10,48
2023_11,44
2023_12,53
2023_13,53
2023_14,47
2023_15,56
2023_16,52
2023_17,38
2023_18,54
2023_19,58
2023_20,55
2023_21,64
2023_22,60
2023_23,54
2023_24,59
2023_25,50
2023_26,58
2023_27,48
2023_28,53
2023_29,64
2023_30,50
2023_31,69
2023_32,53
2023_33,61
2023_34,62
2023_35,71
2023_36,61
2023_37,59
2023_38,52
2023_39,43
2023_40,71
2023_41,64
2023_42,51
2023_43,62
2023_44,74
2023_45,62
2023_46,54
2023_47,65
2023_48,43
2023_49,29
