year_week,count
2019_33,1
2019_34,2
2019_36,1
2019_37,1
2019_38,7
2019_39,4
2019_40,3
2019_41,7
2019_42,5
2019_43,4
2019_44,2
2019_45,5
2019_46,6
2019_47,4
2019_48,4
2019_49,9
2019_50,4
2019_51,5
2019_52,1
2020_00,1
2020_01,3
2020_02,9
2020_03,10
2020_04,9
2020_05,12
2020_06,4
2020_07,5
2020_08,11
2020_09,8
2020_10,14
2020_11,8
2020_12,12
2020_13,9
2020_14,9
2020_15,12
2020_16,19
2020_17,11
2020_18,7
2020_19,12
2020_20,7
2020_21,10
2020_22,9
2020_23,17
2020_24,11
2020_25,13
2020_26,14
2020_27,15
2020_28,18
2020_29,20
2020_30,11
2020_31,14
2020_32,18
2020_33,12
2020_34,7
2020_35,26
2020_36,14
2020_37,18
2020_38,22
2020_39,25
2020_40,16
2020_41,21
2020_42,19
2020_43,22
2020_44,22
2020_45,19
2020_46,21
2020_47,17
2020_48,20
2020_49,25
2020_50,19
2020_51,23
2020_52,4
2021_00,10
2021_01,34
2021_02,19
2021_03,22
2021_04,26
2021_05,25
2021_06,17
2021_07,12
2021_08,28
2021_09,22
2021_10,21
2021_11,20
2021_12,23
2021_13,23
2021_14,34
2021_15,27
2021_16,29
2021_17,24
2021_18,19
2021_19,18
2021_20,38
2021_21,24
2021_22,21
2021_23,24
2021_24,34
2021_25,27
2021_26,25
2021_27,27
2021_28,31
2021_29,39
2021_30,40
2021_31,22
2021_32,31
2021_33,34
2021_34,17
2021_35,20
2021_36,34
2021_37,32
2021_38,35
2021_39,27
2021_40,35
2021_41,40
2021_42,36
2021_43,36
2021_44,34
2021_45,35
2021_46,38
2021_47,32
2021_48,28
2021_49,40
2021_50,24
2021_51,36
2022_00,25
2022_01,26
2022_02,23
2022_03,42
2022_04,34
2022_05,31
2022_06,33
2022_07,46
2022_08,28
2022_09,32
2022_10,34
2022_11,35
2022_12,34
2022_13,29
2022_14,46
2022_15,29
2022_16,43
2022_17,39
2022_18,51
2022_19,46
2022_20,42
2022_21,30
2022_22,39
2022_23,36
2022_24,40
2022_25,40
2022_26,24
2022_27,39
2022_28,34
2022_29,43
2022_30,43
2022_31,45
2022_32,45
2022_33,40
2022_34,38
2022_35,50
2022_36,46
2022_37,50
2022_38,29
2022_39,39
2022_40,43
2022_41,44
2022_42,29
2022_43,50
2022_44,41
2022_45,46
2022_46,36
2022_47,54
2022_48,41
2022_49,59
2022_50,41
2022_51,57
2022_52,17
2023_00,38
2023_01,38
2023_02,49
2023_03,60
2023_04,60
2023_05,53
2023_06,46
2023_07,48
2023_08,52
2023_09,71
2023_10,54
2023_11,49
2023_12,55
2023_13,54
2023_14,56
2023_15,44
2023_16,48
2023_17,48
2023_18,55
2023_19,54
2023_20,58
2023_21,55
2023_22,53
2023_23,56
2023_24,52
2023_25,61
2023_26,56
2023_27,47
2023_28,48
2023_29,47
2023_30,54
2023_31,57
2023_32,57
2023_33,54
2023_34,61
2023_35,51
2023_36,83
2023_37,63
2023_38,61
2023_39,80
2023_40,64
2023_41,65
2023_42,59
2023_43,74
2023_44,49
2023_45,68
2023_46,75
2023_47,60
2023_48,60
2023_49,27
