year_week,count
2019_30,1
2019_33,1
2019_34,2
2019_35,1
2019_36,1
2019_37,4
2019_38,1
2019_39,1
2019_40,2
2019_41,4
2019_42,5
2019_43,1
2019_44,6
2019_45,3
2019_46,4
2019_47,1
2019_48,3
2019_49,2
2019_50,4
2019_51,2
2020_00,4
2020_01,3
2020_02,6
2020_03,4
2020_04,3
2020_05,5
2020_06,5
2020_07,4
2020_08,7
2020_09,8
2020_10,6
2020_11,3
2020_12,5
2020_13,9
2020_14,5
2020_15,7
2020_16,5
2020_17,6
2020_18,10
2020_19,8
2020_20,4
2020_21,6
2020_22,11
2020_23,8
2020_24,6
2020_25,6
2020_26,9
2020_27,9
2020_28,3
2020_29,8
2020_30,7
2020_31,14
2020_32,8
2020_33,10
2020_34,6
2020_35,14
2020_36,8
2020_37,2
2020_38,13
2020_39,11
2020_40,8
2020_41,9
2020_42,13
2020_43,9
2020_44,14
2020_45,9
2020_46,3
2020_47,11
2020_48,10
2020_49,15
2020_50,12
2020_51,16
2020_52,1
2021_00,10
2021_01,14
2021_02,8
2021_03,16
2021_04,6
2021_05,10
2021_06,12
2021_07,12
2021_08,19
2021_09,10
2021_10,10
2021_11,13
2021_12,18
2021_13,14
2021_14,12
2021_15,17
2021_16,17
2021_17,20
2021_18,16
2021_19,14
2021_20,14
2021_21,22
2021_22,12
2021_23,22
2021_24,23
2021_25,18
2021_26,14
2021_27,11
2021_28,12
2021_29,18
2021_30,17
2021_31,17
2021_32,18
2021_33,15
2021_34,14
2021_35,26
2021_36,18
2021_37,15
2021_38,26
2021_39,22
2021_40,17
2021_41,19
2021_42,17
2021_43,13
2021_44,16
2021_45,20
2021_46,15
2021_47,31
2021_48,21
2021_49,21
2021_50,21
2021_51,16
2021_52,4
2022_00,22
2022_01,17
2022_02,25
2022_03,18
2022_04,21
2022_05,24
2022_06,30
2022_07,23
2022_08,18
2022_09,26
2022_10,25
2022_11,19
2022_12,25
2022_13,19
2022_14,24
2022_15,21
2022_16,23
2022_17,23
2022_18,28
2022_19,21
2022_20,20
2022_21,24
2022_22,21
2022_23,31
2022_24,22
2022_25,30
2022_26,34
2022_27,17
2022_28,20
2022_29,30
2022_30,29
2022_31,22
2022_32,38
2022_33,20
2022_34,26
2022_35,24
2022_36,28
2022_37,38
2022_38,31
2022_39,25
2022_40,32
2022_41,21
2022_42,24
2022_43,26
2022_44,34
2022_45,31
2022_46,26
2022_47,31
2022_48,38
2022_49,35
2022_50,29
2022_51,24
2022_52,8
2023_00,16
2023_01,27
2023_02,38
2023_03,31
2023_04,25
2023_05,26
2023_06,33
2023_07,31
2023_08,36
2023_09,29
2023_10,30
2023_11,39
2023_12,20
2023_13,26
2023_14,27
2023_15,35
2023_16,41
2023_17,31
2023_18,33
2023_19,34
2023_20,32
2023_21,29
2023_22,39
2023_23,26
2023_24,33
2023_25,33
2023_26,41
2023_27,29
2023_28,29
2023_29,32
2023_30,55
2023_31,43
2023_32,35
2023_33,42
2023_34,35
2023_35,29
2023_36,30
2023_37,29
2023_38,38
2023_39,36
2023_40,41
2023_41,28
2023_42,39
2023_43,35
2023_44,37
2023_45,39
2023_46,23
2023_47,35
2023_48,28
2023_49,22
