year_week,count
2019_29,1
2019_34,1
2019_38,2
2019_40,1
2019_41,1
2019_43,1
2019_45,1
2019_48,1
2019_49,2
2019_50,1
2019_52,1
2020_00,1
2020_01,1
2020_04,1
2020_05,2
2020_06,2
2020_07,3
2020_08,1
2020_09,1
2020_10,2
2020_12,2
2020_13,2
2020_14,1
2020_15,2
2020_16,4
2020_17,1
2020_18,1
2020_19,2
2020_20,4
2020_21,6
2020_22,3
2020_23,2
2020_25,6
2020_27,2
2020_28,1
2020_29,2
2020_30,5
2020_31,3
2020_32,4
2020_33,2
2020_35,5
2020_37,2
2020_38,4
2020_39,2
2020_40,2
2020_41,2
2020_42,3
2020_43,3
2020_44,2
2020_45,4
2020_46,3
2020_47,2
2020_48,2
2020_49,3
2020_50,2
2020_51,8
2021_00,3
2021_01,2
2021_02,2
2021_03,6
2021_04,7
2021_05,4
2021_06,3
2021_07,2
2021_08,4
2021_09,6
2021_10,3
2021_11,5
2021_12,4
2021_13,9
2021_14,2
2021_15,8
2021_16,4
2021_17,4
2021_18,4
2021_19,3
2021_20,10
2021_21,8
2021_22,7
2021_23,1
2021_24,5
2021_25,11
2021_26,5
2021_27,7
2021_28,6
2021_29,3
2021_30,6
2021_31,6
2021_32,5
2021_33,5
2021_34,4
2021_35,10
2021_36,10
2021_37,4
2021_38,3
2021_39,7
2021_40,1
2021_41,8
2021_42,7
2021_43,4
2021_44,1
2021_45,6
2021_46,6
2021_47,5
2021_48,5
2021_49,9
2021_50,9
2021_51,6
2021_52,2
2022_00,5
2022_01,9
2022_02,5
2022_03,5
2022_04,6
2022_05,11
2022_06,5
2022_07,6
2022_08,7
2022_09,5
2022_10,10
2022_11,5
2022_12,5
2022_13,7
2022_14,12
2022_15,10
2022_16,7
2022_17,6
2022_18,14
2022_19,1
2022_20,10
2022_21,13
2022_22,6
2022_23,7
2022_24,6
2022_25,13
2022_26,7
2022_27,10
2022_28,7
2022_29,10
2022_30,11
2022_31,11
2022_32,7
2022_33,14
2022_34,10
2022_35,11
2022_36,7
2022_37,9
2022_38,10
2022_39,8
2022_40,12
2022_41,6
2022_42,11
2022_43,10
2022_44,11
2022_45,12
2022_46,8
2022_47,7
2022_48,11
2022_49,10
2022_50,8
2022_51,9
2022_52,3
2023_00,6
2023_01,8
2023_02,11
2023_03,7
2023_04,14
2023_05,7
2023_06,5
2023_07,13
2023_08,13
2023_09,12
2023_10,8
2023_11,8
2023_12,7
2023_13,10
2023_14,4
2023_15,7
2023_16,11
2023_17,9
2023_18,16
2023_19,11
2023_20,21
2023_21,10
2023_22,9
2023_23,13
2023_24,13
2023_25,13
2023_26,7
2023_27,14
2023_28,11
2023_29,12
2023_30,12
2023_31,14
2023_32,13
2023_33,17
2023_34,11
2023_35,10
2023_36,9
2023_37,8
2023_38,13
2023_39,12
2023_40,11
2023_41,10
2023_42,15
2023_43,14
2023_44,14
2023_45,15
2023_46,12
2023_47,12
2023_48,22
2023_49,9
