year_week,count
2019_30,1
2019_34,1
2019_35,2
2019_38,1
2019_39,1
2019_40,1
2019_42,1
2019_43,3
2019_44,2
2019_45,2
2019_46,2
2019_48,2
2019_49,3
2019_50,2
2019_51,1
2020_00,1
2020_01,5
2020_02,3
2020_03,3
2020_04,3
2020_05,5
2020_06,1
2020_07,2
2020_08,2
2020_09,1
2020_10,2
2020_11,4
2020_12,4
2020_13,3
2020_14,3
2020_15,3
2020_16,3
2020_17,1
2020_18,6
2020_19,3
2020_21,2
2020_22,4
2020_23,2
2020_24,4
2020_25,5
2020_27,1
2020_28,6
2020_29,5
2020_30,3
2020_31,4
2020_32,3
2020_33,2
2020_34,6
2020_35,5
2020_36,3
2020_37,8
2020_38,7
2020_39,7
2020_40,4
2020_41,4
2020_42,1
2020_43,4
2020_44,3
2020_45,11
2020_46,5
2020_47,7
2020_48,3
2020_49,5
2020_50,8
2020_51,4
2020_52,4
2021_00,2
2021_01,8
2021_02,3
2021_03,5
2021_04,5
2021_05,3
2021_06,4
2021_07,6
2021_08,6
2021_09,8
2021_10,7
2021_11,7
2021_12,2
2021_13,3
2021_14,8
2021_15,6
2021_16,3
2021_17,6
2021_18,9
2021_19,11
2021_20,12
2021_21,10
2021_22,5
2021_23,4
2021_24,7
2021_25,4
2021_26,5
2021_27,7
2021_28,7
2021_29,12
2021_30,3
2021_31,6
2021_32,11
2021_33,4
2021_34,10
2021_35,7
2021_36,12
2021_37,8
2021_38,8
2021_39,5
2021_40,9
2021_41,10
2021_42,7
2021_43,12
2021_44,6
2021_45,7
2021_46,13
2021_47,11
2021_48,8
2021_49,7
2021_50,7
2021_51,11
2021_52,4
2022_00,10
2022_01,9
2022_02,6
2022_03,15
2022_04,7
2022_05,8
2022_06,6
2022_07,8
2022_08,11
2022_09,9
2022_10,7
2022_11,6
2022_12,7
2022_13,10
2022_14,4
2022_15,11
2022_16,10
2022_17,12
2022_18,10
2022_19,14
2022_20,12
2022_21,15
2022_22,11
2022_23,16
2022_24,14
2022_25,21
2022_26,9
2022_27,5
2022_28,10
2022_29,12
2022_30,13
2022_31,9
2022_32,14
2022_33,6
2022_34,13
2022_35,6
2022_36,20
2022_37,13
2022_38,11
2022_39,9
2022_40,18
2022_41,25
2022_42,10
2022_43,11
2022_44,7
2022_45,14
2022_46,8
2022_47,10
2022_48,7
2022_49,12
2022_50,16
2022_51,7
2022_52,3
2023_00,13
2023_01,7
2023_02,13
2023_03,18
2023_04,12
2023_05,12
2023_06,6
2023_07,13
2023_08,9
2023_09,10
2023_10,21
2023_11,12
2023_12,12
2023_13,18
2023_14,19
2023_15,16
2023_16,12
2023_17,12
2023_18,11
2023_19,15
2023_20,8
2023_21,17
2023_22,14
2023_23,16
2023_24,21
2023_25,21
2023_26,12
2023_27,7
2023_28,11
2023_29,20
2023_30,20
2023_31,20
2023_32,22
2023_33,16
2023_34,13
2023_35,16
2023_36,17
2023_37,20
2023_38,20
2023_39,12
2023_40,15
2023_41,16
2023_42,14
2023_43,19
2023_44,13
2023_45,14
2023_46,21
2023_47,22
2023_48,22
2023_49,12
