year_week,count
2019_28,4
2019_29,4
2019_30,1
2019_31,3
2019_32,7
2019_33,8
2019_34,19
2019_35,15
2019_36,15
2019_37,20
2019_38,19
2019_39,24
2019_40,28
2019_41,29
2019_42,41
2019_43,27
2019_44,32
2019_45,48
2019_46,27
2019_47,53
2019_48,45
2019_49,56
2019_50,58
2019_51,80
2019_52,12
2020_00,47
2020_01,81
2020_02,52
2020_03,72
2020_04,67
2020_05,69
2020_06,72
2020_07,96
2020_08,67
2020_09,105
2020_10,92
2020_11,85
2020_12,86
2020_13,90
2020_14,103
2020_15,88
2020_16,98
2020_17,105
2020_18,85
2020_19,103
2020_20,115
2020_21,102
2020_22,94
2020_23,97
2020_24,121
2020_25,118
2020_26,130
2020_27,118
2020_28,124
2020_29,130
2020_30,134
2020_31,111
2020_32,130
2020_33,142
2020_34,127
2020_35,138
2020_36,166
2020_37,153
2020_38,178
2020_39,152
2020_40,153
2020_41,165
2020_42,152
2020_43,147
2020_44,138
2020_45,174
2020_46,159
2020_47,147
2020_48,152
2020_49,164
2020_50,158
2020_51,151
2020_52,59
2021_00,159
2021_01,194
2021_02,161
2021_03,190
2021_04,197
2021_05,205
2021_06,174
2021_07,230
2021_08,206
2021_09,183
2021_10,207
2021_11,199
2021_12,207
2021_13,191
2021_14,229
2021_15,221
2021_16,238
2021_17,247
2021_18,202
2021_19,221
2021_20,207
2021_21,228
2021_22,208
2021_23,246
2021_24,245
2021_25,225
2021_26,246
2021_27,235
2021_28,245
2021_29,229
2021_30,302
2021_31,261
2021_32,261
2021_33,297
2021_34,242
2021_35,266
2021_36,264
2021_37,249
2021_38,267
2021_39,268
2021_40,278
2021_41,269
2021_42,303
2021_43,246
2021_44,283
2021_45,299
2021_46,275
2021_47,312
2021_48,301
2021_49,280
2021_50,297
2021_51,312
2021_52,69
2022_00,260
2022_01,318
2022_02,311
2022_03,322
2022_04,309
2022_05,327
2022_06,290
2022_07,320
2022_08,304
2022_09,293
2022_10,350
2022_11,346
2022_12,333
2022_13,305
2022_14,362
2022_15,324
2022_16,314
2022_17,362
2022_18,315
2022_19,340
2022_20,356
2022_21,359
2022_22,372
2022_23,376
2022_24,373
2022_25,333
2022_26,334
2022_27,364
2022_28,364
2022_29,364
2022_30,408
2022_31,349
2022_32,361
2022_33,401
2022_34,416
2022_35,380
2022_36,386
2022_37,375
2022_38,379
2022_39,422
2022_40,353
2022_41,423
2022_42,416
2022_43,433
2022_44,413
2022_45,401
2022_46,432
2022_47,457
2022_48,457
2022_49,460
2022_50,422
2022_51,385
2022_52,157
2023_00,337
2023_01,432
2023_02,452
2023_03,473
2023_04,443
2023_05,486
2023_06,400
2023_07,441
2023_08,471
2023_09,488
2023_10,476
2023_11,464
2023_12,489
2023_13,458
2023_14,441
2023_15,458
2023_16,492
2023_17,477
2023_18,527
2023_19,483
2023_20,519
2023_21,510
2023_22,506
2023_23,519
2023_24,462
2023_25,498
2023_26,495
2023_27,475
2023_28,502
2023_29,588
2023_30,510
2023_31,498
2023_32,487
2023_33,582
2023_34,522
2023_35,535
2023_36,559
2023_37,571
2023_38,549
2023_39,626
2023_40,541
2023_41,565
2023_42,533
2023_43,547
2023_44,571
2023_45,566
2023_46,566
2023_47,552
2023_48,530
2023_49,269
