year_week,count
2019_28,2
2019_29,1
2019_30,6
2019_31,5
2019_32,7
2019_33,3
2019_34,5
2019_35,10
2019_36,9
2019_37,8
2019_38,13
2019_39,9
2019_40,14
2019_41,12
2019_42,13
2019_43,18
2019_44,24
2019_45,13
2019_46,19
2019_47,26
2019_48,24
2019_49,17
2019_50,21
2019_51,31
2019_52,13
2020_00,22
2020_01,30
2020_02,33
2020_03,19
2020_04,36
2020_05,33
2020_06,27
2020_07,22
2020_08,37
2020_09,30
2020_10,33
2020_11,44
2020_12,37
2020_13,41
2020_14,48
2020_15,36
2020_16,43
2020_17,45
2020_18,50
2020_19,48
2020_20,50
2020_21,59
2020_22,40
2020_23,50
2020_24,55
2020_25,59
2020_26,60
2020_27,52
2020_28,66
2020_29,59
2020_30,54
2020_31,47
2020_32,60
2020_33,64
2020_34,64
2020_35,65
2020_36,67
2020_37,72
2020_38,58
2020_39,72
2020_40,54
2020_41,66
2020_42,61
2020_43,56
2020_44,68
2020_45,82
2020_46,78
2020_47,77
2020_48,68
2020_49,86
2020_50,84
2020_51,79
2020_52,21
2021_00,80
2021_01,86
2021_02,73
2021_03,89
2021_04,104
2021_05,80
2021_06,97
2021_07,84
2021_08,98
2021_09,84
2021_10,91
2021_11,92
2021_12,94
2021_13,99
2021_14,115
2021_15,101
2021_16,89
2021_17,103
2021_18,96
2021_19,112
2021_20,108
2021_21,99
2021_22,95
2021_23,110
2021_24,92
2021_25,110
2021_26,123
2021_27,101
2021_28,102
2021_29,127
2021_30,103
2021_31,105
2021_32,151
2021_33,139
2021_34,125
2021_35,116
2021_36,117
2021_37,141
2021_38,130
2021_39,133
2021_40,119
2021_41,151
2021_42,113
2021_43,126
2021_44,137
2021_45,135
2021_46,149
2021_47,136
2021_48,119
2021_49,133
2021_50,145
2021_51,146
2021_52,31
2022_00,126
2022_01,136
2022_02,137
2022_03,141
2022_04,166
2022_05,135
2022_06,159
2022_07,143
2022_08,148
2022_09,139
2022_10,167
2022_11,154
2022_12,166
2022_13,141
2022_14,164
2022_15,138
2022_16,142
2022_17,134
2022_18,146
2022_19,162
2022_20,162
2022_21,193
2022_22,185
2022_23,152
2022_24,163
2022_25,155
2022_26,178
2022_27,186
2022_28,156
2022_29,156
2022_30,181
2022_31,179
2022_32,163
2022_33,171
2022_34,166
2022_35,162
2022_36,194
2022_37,183
2022_38,187
2022_39,184
2022_40,185
2022_41,187
2022_42,186
2022_43,189
2022_44,224
2022_45,206
2022_46,220
2022_47,195
2022_48,174
2022_49,202
2022_50,204
2022_51,197
2022_52,50
2023_00,180
2023_01,228
2023_02,196
2023_03,204
2023_04,208
2023_05,221
2023_06,206
2023_07,231
2023_08,225
2023_09,259
2023_10,202
2023_11,218
2023_12,205
2023_13,230
2023_14,189
2023_15,228
2023_16,202
2023_17,227
2023_18,195
2023_19,212
2023_20,223
2023_21,251
2023_22,217
2023_23,225
2023_24,231
2023_25,245
2023_26,218
2023_27,226
2023_28,236
2023_29,259
2023_30,262
2023_31,235
2023_32,236
2023_33,234
2023_34,257
2023_35,236
2023_36,251
2023_37,262
2023_38,254
2023_39,244
2023_40,248
2023_41,263
2023_42,245
2023_43,249
2023_44,261
2023_45,242
2023_46,304
2023_47,270
2023_48,269
2023_49,129
