year_week,count
2019_29,1
2019_30,1
2019_31,1
2019_38,3
2019_40,1
2019_41,2
2019_42,1
2019_43,1
2019_45,2
2019_48,3
2019_49,3
2019_50,1
2019_51,3
2019_52,1
2020_01,3
2020_02,3
2020_03,3
2020_04,5
2020_05,6
2020_07,3
2020_08,4
2020_09,3
2020_10,2
2020_11,2
2020_12,6
2020_14,2
2020_15,2
2020_16,2
2020_17,2
2020_18,2
2020_19,7
2020_20,6
2020_21,1
2020_22,8
2020_23,2
2020_24,4
2020_25,2
2020_26,4
2020_27,5
2020_28,2
2020_29,4
2020_30,1
2020_31,10
2020_32,7
2020_33,5
2020_34,6
2020_35,5
2020_36,5
2020_37,3
2020_38,4
2020_39,8
2020_40,6
2020_41,5
2020_42,2
2020_43,4
2020_44,8
2020_45,5
2020_46,5
2020_47,7
2020_48,5
2020_49,5
2020_50,6
2020_51,5
2020_52,1
2021_00,6
2021_01,8
2021_02,5
2021_03,6
2021_04,7
2021_05,2
2021_06,6
2021_07,14
2021_08,7
2021_09,8
2021_10,6
2021_11,6
2021_12,6
2021_13,3
2021_14,9
2021_15,10
2021_16,6
2021_17,6
2021_18,4
2021_19,9
2021_20,6
2021_21,8
2021_22,6
2021_23,10
2021_24,4
2021_25,8
2021_26,6
2021_27,5
2021_28,2
2021_29,6
2021_30,7
2021_31,3
2021_32,7
2021_33,10
2021_34,7
2021_35,8
2021_36,8
2021_37,9
2021_38,11
2021_39,7
2021_40,6
2021_41,8
2021_42,15
2021_43,11
2021_44,5
2021_45,10
2021_46,8
2021_47,7
2021_48,7
2021_49,6
2021_50,12
2021_51,7
2021_52,2
2022_00,5
2022_01,12
2022_02,10
2022_03,12
2022_04,15
2022_05,5
2022_06,9
2022_07,9
2022_08,14
2022_09,17
2022_10,7
2022_11,8
2022_12,9
2022_13,14
2022_14,8
2022_15,9
2022_16,8
2022_17,9
2022_18,8
2022_19,10
2022_20,12
2022_21,9
2022_22,14
2022_23,11
2022_24,9
2022_25,9
2022_26,15
2022_27,12
2022_28,17
2022_29,11
2022_30,10
2022_31,10
2022_32,10
2022_33,6
2022_34,19
2022_35,9
2022_36,12
2022_37,8
2022_38,8
2022_39,12
2022_40,9
2022_41,8
2022_42,11
2022_43,13
2022_44,12
2022_45,12
2022_46,14
2022_47,14
2022_48,7
2022_49,11
2022_50,17
2022_51,15
2022_52,2
2023_00,11
2023_01,18
2023_02,10
2023_03,16
2023_04,24
2023_05,9
2023_06,21
2023_07,13
2023_08,25
2023_09,15
2023_10,10
2023_11,18
2023_12,17
2023_13,15
2023_14,10
2023_15,19
2023_16,15
2023_17,15
2023_18,19
2023_19,7
2023_20,12
2023_21,10
2023_22,20
2023_23,10
2023_24,14
2023_25,13
2023_26,15
2023_27,9
2023_28,18
2023_29,16
2023_30,19
2023_31,14
2023_32,19
2023_33,12
2023_34,14
2023_35,11
2023_36,16
2023_37,18
2023_38,11
2023_39,16
2023_40,14
2023_41,16
2023_42,23
2023_43,14
2023_44,4
2023_45,22
2023_46,13
2023_47,24
2023_48,20
2023_49,8
