year_week,count
2019_28,1
2019_29,1
2019_30,1
2019_31,5
2019_32,6
2019_33,2
2019_34,6
2019_35,4
2019_36,15
2019_37,6
2019_38,11
2019_39,12
2019_40,20
2019_41,21
2019_42,21
2019_43,22
2019_44,14
2019_45,17
2019_46,23
2019_47,21
2019_48,26
2019_49,22
2019_50,35
2019_51,26
2019_52,7
2020_00,20
2020_01,35
2020_02,33
2020_03,37
2020_04,32
2020_05,36
2020_06,33
2020_07,31
2020_08,29
2020_09,40
2020_10,40
2020_11,32
2020_12,56
2020_13,30
2020_14,39
2020_15,35
2020_16,45
2020_17,36
2020_18,51
2020_19,49
2020_20,57
2020_21,46
2020_22,54
2020_23,52
2020_24,48
2020_25,51
2020_26,35
2020_27,51
2020_28,52
2020_29,63
2020_30,59
2020_31,48
2020_32,65
2020_33,59
2020_34,54
2020_35,62
2020_36,52
2020_37,53
2020_38,62
2020_39,48
2020_40,63
2020_41,54
2020_42,81
2020_43,77
2020_44,73
2020_45,78
2020_46,69
2020_47,78
2020_48,81
2020_49,87
2020_50,76
2020_51,104
2020_52,24
2021_00,56
2021_01,94
2021_02,88
2021_03,83
2021_04,79
2021_05,78
2021_06,82
2021_07,71
2021_08,75
2021_09,93
2021_10,89
2021_11,106
2021_12,92
2021_13,68
2021_14,104
2021_15,75
2021_16,89
2021_17,90
2021_18,103
2021_19,99
2021_20,98
2021_21,90
2021_22,103
2021_23,94
2021_24,115
2021_25,121
2021_26,102
2021_27,115
2021_28,110
2021_29,109
2021_30,89
2021_31,106
2021_32,115
2021_33,115
2021_34,119
2021_35,125
2021_36,117
2021_37,129
2021_38,97
2021_39,96
2021_40,135
2021_41,122
2021_42,109
2021_43,137
2021_44,100
2021_45,116
2021_46,152
2021_47,150
2021_48,141
2021_49,155
2021_50,143
2021_51,138
2021_52,30
2022_00,121
2022_01,155
2022_02,145
2022_03,126
2022_04,142
2022_05,141
2022_06,132
2022_07,133
2022_08,156
2022_09,148
2022_10,122
2022_11,145
2022_12,137
2022_13,148
2022_14,159
2022_15,126
2022_16,157
2022_17,153
2022_18,165
2022_19,168
2022_20,188
2022_21,169
2022_22,187
2022_23,168
2022_24,177
2022_25,168
2022_26,170
2022_27,185
2022_28,185
2022_29,151
2022_30,184
2022_31,196
2022_32,183
2022_33,171
2022_34,193
2022_35,176
2022_36,161
2022_37,195
2022_38,194
2022_39,183
2022_40,169
2022_41,182
2022_42,187
2022_43,181
2022_44,207
2022_45,195
2022_46,214
2022_47,204
2022_48,184
2022_49,215
2022_50,211
2022_51,203
2022_52,68
2023_00,173
2023_01,236
2023_02,196
2023_03,190
2023_04,196
2023_05,197
2023_06,212
2023_07,228
2023_08,207
2023_09,216
2023_10,216
2023_11,212
2023_12,225
2023_13,225
2023_14,217
2023_15,220
2023_16,194
2023_17,192
2023_18,207
2023_19,224
2023_20,215
2023_21,216
2023_22,222
2023_23,252
2023_24,227
2023_25,220
2023_26,226
2023_27,244
2023_28,239
2023_29,252
2023_30,251
2023_31,222
2023_32,259
2023_33,234
2023_34,251
2023_35,245
2023_36,243
2023_37,231
2023_38,249
2023_39,251
2023_40,264
2023_41,246
2023_42,254
2023_43,263
2023_44,254
2023_45,257
2023_46,228
2023_47,286
2023_48,238
2023_49,103
