year_week,count
2019_29,1
2019_33,1
2019_34,2
2019_35,1
2019_36,1
2019_37,2
2019_38,5
2019_39,3
2019_40,2
2019_41,5
2019_42,2
2019_43,4
2019_44,5
2019_46,7
2019_47,7
2019_48,6
2019_49,4
2019_50,3
2019_51,7
2019_52,1
2020_00,4
2020_01,3
2020_02,5
2020_03,4
2020_04,9
2020_05,9
2020_06,8
2020_07,10
2020_08,6
2020_09,6
2020_10,9
2020_11,10
2020_12,11
2020_13,9
2020_14,10
2020_15,7
2020_16,9
2020_17,11
2020_18,18
2020_19,12
2020_20,10
2020_21,16
2020_22,9
2020_23,14
2020_24,9
2020_25,14
2020_26,9
2020_27,9
2020_28,12
2020_29,19
2020_30,18
2020_31,7
2020_32,20
2020_33,16
2020_34,16
2020_35,15
2020_36,18
2020_37,18
2020_38,17
2020_39,14
2020_40,13
2020_41,14
2020_42,24
2020_43,18
2020_44,17
2020_45,19
2020_46,15
2020_47,16
2020_48,25
2020_49,16
2020_50,27
2020_51,13
2020_52,5
2021_00,24
2021_01,24
2021_02,23
2021_03,25
2021_04,31
2021_05,24
2021_06,21
2021_07,21
2021_08,19
2021_09,25
2021_10,20
2021_11,28
2021_12,26
2021_13,16
2021_14,24
2021_15,28
2021_16,20
2021_17,18
2021_18,23
2021_19,28
2021_20,31
2021_21,35
2021_22,23
2021_23,25
2021_24,28
2021_25,21
2021_26,24
2021_27,20
2021_28,30
2021_29,39
2021_30,35
2021_31,27
2021_32,33
2021_33,38
2021_34,30
2021_35,31
2021_36,25
2021_37,27
2021_38,25
2021_39,23
2021_40,34
2021_41,38
2021_42,35
2021_43,38
2021_44,35
2021_45,28
2021_46,31
2021_47,37
2021_48,38
2021_49,41
2021_50,31
2021_51,38
2021_52,5
2022_00,29
2022_01,35
2022_02,39
2022_03,28
2022_04,35
2022_05,34
2022_06,32
2022_07,36
2022_08,27
2022_09,45
2022_10,42
2022_11,40
2022_12,33
2022_13,37
2022_14,48
2022_15,30
2022_16,37
2022_17,32
2022_18,40
2022_19,28
2022_20,40
2022_21,34
2022_22,30
2022_23,37
2022_24,38
2022_25,27
2022_26,32
2022_27,42
2022_28,51
2022_29,41
2022_30,38
2022_31,46
2022_32,37
2022_33,40
2022_34,47
2022_35,32
2022_36,37
2022_37,47
2022_38,43
2022_39,43
2022_40,39
2022_41,32
2022_42,44
2022_43,46
2022_44,36
2022_45,48
2022_46,41
2022_47,47
2022_48,58
2022_49,47
2022_50,27
2022_51,45
2022_52,14
2023_00,55
2023_01,50
2023_02,47
2023_03,55
2023_04,55
2023_05,50
2023_06,39
2023_07,53
2023_08,51
2023_09,51
2023_10,59
2023_11,56
2023_12,47
2023_13,49
2023_14,48
2023_15,71
2023_16,50
2023_17,53
2023_18,45
2023_19,47
2023_20,51
2023_21,60
2023_22,51
2023_23,44
2023_24,59
2023_25,53
2023_26,56
2023_27,61
2023_28,47
2023_29,56
2023_30,53
2023_31,74
2023_32,54
2023_33,61
2023_34,52
2023_35,57
2023_36,67
2023_37,73
2023_38,70
2023_39,63
2023_40,63
2023_41,80
2023_42,52
2023_43,64
2023_44,57
2023_45,57
2023_46,57
2023_47,83
2023_48,62
2023_49,23
