year_week,count
2019_29,1
2019_31,1
2019_32,2
2019_34,2
2019_35,3
2019_36,5
2019_37,4
2019_39,2
2019_40,4
2019_41,3
2019_42,4
2019_43,4
2019_44,4
2019_45,6
2019_46,6
2019_47,10
2019_48,5
2019_49,8
2019_50,5
2019_51,7
2019_52,3
2020_00,9
2020_01,9
2020_02,13
2020_03,14
2020_04,11
2020_05,10
2020_06,6
2020_07,6
2020_08,10
2020_09,8
2020_10,15
2020_11,14
2020_12,11
2020_13,19
2020_14,20
2020_15,14
2020_16,13
2020_17,10
2020_18,13
2020_19,13
2020_20,11
2020_21,12
2020_22,17
2020_23,20
2020_24,12
2020_25,15
2020_26,20
2020_27,11
2020_28,20
2020_29,15
2020_30,18
2020_31,21
2020_32,17
2020_33,18
2020_34,24
2020_35,25
2020_36,23
2020_37,20
2020_38,14
2020_39,19
2020_40,28
2020_41,21
2020_42,14
2020_43,29
2020_44,16
2020_45,11
2020_46,18
2020_47,26
2020_48,25
2020_49,32
2020_50,17
2020_51,34
2020_52,3
2021_00,15
2021_01,25
2021_02,20
2021_03,30
2021_04,35
2021_05,31
2021_06,13
2021_07,24
2021_08,22
2021_09,26
2021_10,27
2021_11,26
2021_12,31
2021_13,34
2021_14,35
2021_15,27
2021_16,32
2021_17,23
2021_18,29
2021_19,28
2021_20,25
2021_21,30
2021_22,42
2021_23,32
2021_24,35
2021_25,27
2021_26,36
2021_27,16
2021_28,28
2021_29,26
2021_30,33
2021_31,35
2021_32,36
2021_33,30
2021_34,42
2021_35,25
2021_36,37
2021_37,34
2021_38,44
2021_39,34
2021_40,36
2021_41,39
2021_42,43
2021_43,52
2021_44,41
2021_45,33
2021_46,36
2021_47,36
2021_48,43
2021_49,37
2021_50,38
2021_51,35
2021_52,9
2022_00,44
2022_01,52
2022_02,44
2022_03,36
2022_04,39
2022_05,50
2022_06,35
2022_07,56
2022_08,39
2022_09,44
2022_10,46
2022_11,51
2022_12,38
2022_13,42
2022_14,49
2022_15,41
2022_16,41
2022_17,46
2022_18,49
2022_19,45
2022_20,39
2022_21,50
2022_22,44
2022_23,42
2022_24,46
2022_25,54
2022_26,67
2022_27,53
2022_28,52
2022_29,44
2022_30,62
2022_31,43
2022_32,46
2022_33,51
2022_34,62
2022_35,57
2022_36,53
2022_37,48
2022_38,57
2022_39,53
2022_40,43
2022_41,49
2022_42,55
2022_43,61
2022_44,51
2022_45,60
2022_46,47
2022_47,70
2022_48,63
2022_49,44
2022_50,59
2022_51,57
2022_52,16
2023_00,50
2023_01,50
2023_02,54
2023_03,49
2023_04,50
2023_05,54
2023_06,63
2023_07,58
2023_08,74
2023_09,60
2023_10,66
2023_11,77
2023_12,70
2023_13,66
2023_14,54
2023_15,59
2023_16,59
2023_17,69
2023_18,58
2023_19,60
2023_20,64
2023_21,70
2023_22,60
2023_23,56
2023_24,79
2023_25,74
2023_26,64
2023_27,66
2023_28,76
2023_29,66
2023_30,61
2023_31,66
2023_32,68
2023_33,83
2023_34,79
2023_35,75
2023_36,81
2023_37,80
2023_38,77
2023_39,81
2023_40,66
2023_41,70
2023_42,64
2023_43,70
2023_44,72
2023_45,67
2023_46,83
2023_47,90
2023_48,78
2023_49,40
