year_week,count
2019_30,1
2019_32,1
2019_33,2
2019_35,1
2019_36,3
2019_37,5
2019_38,2
2019_39,4
2019_40,4
2019_41,3
2019_42,6
2019_43,3
2019_44,5
2019_45,3
2019_46,6
2019_47,5
2019_48,4
2019_49,7
2019_50,5
2019_51,10
2019_52,1
2020_00,8
2020_01,3
2020_02,10
2020_03,13
2020_04,3
2020_05,4
2020_06,14
2020_07,12
2020_08,10
2020_09,10
2020_10,8
2020_11,10
2020_12,16
2020_13,18
2020_14,8
2020_15,7
2020_16,5
2020_17,10
2020_18,20
2020_19,17
2020_20,12
2020_21,17
2020_22,15
2020_23,10
2020_24,16
2020_25,16
2020_26,12
2020_27,17
2020_28,14
2020_29,21
2020_30,17
2020_31,14
2020_32,11
2020_33,16
2020_34,19
2020_35,24
2020_36,21
2020_37,9
2020_38,21
2020_39,21
2020_40,7
2020_41,20
2020_42,19
2020_43,19
2020_44,15
2020_45,22
2020_46,20
2020_47,22
2020_48,20
2020_49,22
2020_50,22
2020_51,20
2020_52,7
2021_00,17
2021_01,25
2021_02,18
2021_03,18
2021_04,31
2021_05,20
2021_06,24
2021_07,27
2021_08,20
2021_09,22
2021_10,27
2021_11,24
2021_12,24
2021_13,21
2021_14,32
2021_15,22
2021_16,30
2021_17,32
2021_18,26
2021_19,30
2021_20,35
2021_21,22
2021_22,21
2021_23,25
2021_24,29
2021_25,18
2021_26,28
2021_27,18
2021_28,26
2021_29,36
2021_30,34
2021_31,32
2021_32,39
2021_33,23
2021_34,24
2021_35,33
2021_36,29
2021_37,29
2021_38,27
2021_39,36
2021_40,32
2021_41,29
2021_42,29
2021_43,39
2021_44,32
2021_45,46
2021_46,38
2021_47,25
2021_48,25
2021_49,41
2021_50,32
2021_51,41
2021_52,6
2022_00,25
2022_01,36
2022_02,30
2022_03,23
2022_04,29
2022_05,38
2022_06,40
2022_07,44
2022_08,26
2022_09,36
2022_10,33
2022_11,49
2022_12,32
2022_13,46
2022_14,41
2022_15,41
2022_16,29
2022_17,57
2022_18,28
2022_19,44
2022_20,38
2022_21,39
2022_22,41
2022_23,38
2022_24,41
2022_25,47
2022_26,42
2022_27,34
2022_28,43
2022_29,41
2022_30,38
2022_31,45
2022_32,43
2022_33,38
2022_34,46
2022_35,40
2022_36,46
2022_37,30
2022_38,40
2022_39,46
2022_40,43
2022_41,44
2022_42,33
2022_43,46
2022_44,43
2022_45,45
2022_46,54
2022_47,47
2022_48,45
2022_49,49
2022_50,40
2022_51,45
2022_52,15
2023_00,40
2023_01,43
2023_02,48
2023_03,56
2023_04,35
2023_05,55
2023_06,51
2023_07,53
2023_08,52
2023_09,57
2023_10,53
2023_11,51
2023_12,61
2023_13,52
2023_14,60
2023_15,57
2023_16,48
2023_17,52
2023_18,56
2023_19,55
2023_20,50
2023_21,62
2023_22,44
2023_23,63
2023_24,66
2023_25,57
2023_26,70
2023_27,49
2023_28,66
2023_29,55
2023_30,70
2023_31,65
2023_32,63
2023_33,65
2023_34,65
2023_35,57
2023_36,63
2023_37,60
2023_38,56
2023_39,61
2023_40,49
2023_41,56
2023_42,55
2023_43,67
2023_44,50
2023_45,62
2023_46,69
2023_47,66
2023_48,48
2023_49,28
