year_week,count
2019_36,1
2019_40,3
2019_44,1
2019_46,1
2019_49,1
2019_50,1
2019_51,2
2020_01,1
2020_02,3
2020_03,2
2020_05,1
2020_06,2
2020_08,1
2020_11,1
2020_12,2
2020_13,2
2020_15,1
2020_17,3
2020_18,3
2020_19,3
2020_21,2
2020_22,3
2020_23,3
2020_24,1
2020_25,1
2020_27,3
2020_28,2
2020_29,1
2020_31,1
2020_32,1
2020_33,4
2020_34,1
2020_35,1
2020_36,1
2020_37,5
2020_38,2
2020_39,2
2020_40,3
2020_41,1
2020_42,3
2020_43,1
2020_45,3
2020_46,1
2020_47,3
2020_48,3
2020_49,4
2020_50,1
2020_51,5
2021_00,1
2021_01,1
2021_02,4
2021_03,3
2021_04,5
2021_05,3
2021_06,4
2021_07,1
2021_08,4
2021_09,3
2021_10,1
2021_11,4
2021_12,5
2021_13,4
2021_14,5
2021_15,4
2021_16,3
2021_17,3
2021_18,4
2021_19,3
2021_20,3
2021_21,5
2021_22,1
2021_23,4
2021_24,6
2021_25,3
2021_26,5
2021_27,1
2021_28,2
2021_29,2
2021_30,3
2021_31,1
2021_32,6
2021_33,7
2021_34,2
2021_35,8
2021_36,6
2021_37,3
2021_38,5
2021_39,5
2021_40,2
2021_41,2
2021_42,7
2021_43,7
2021_44,5
2021_45,3
2021_46,2
2021_47,4
2021_48,2
2021_49,8
2021_50,6
2021_51,7
2021_52,1
2022_00,3
2022_01,4
2022_02,5
2022_03,5
2022_04,7
2022_05,4
2022_06,9
2022_07,3
2022_08,4
2022_09,6
2022_10,3
2022_11,2
2022_12,8
2022_13,10
2022_14,4
2022_15,6
2022_16,7
2022_17,8
2022_18,3
2022_19,8
2022_20,8
2022_21,10
2022_22,9
2022_23,7
2022_24,3
2022_25,9
2022_26,13
2022_27,2
2022_28,9
2022_29,2
2022_30,8
2022_31,5
2022_32,3
2022_33,6
2022_34,9
2022_35,4
2022_36,6
2022_37,5
2022_38,7
2022_39,9
2022_40,7
2022_41,2
2022_42,7
2022_43,4
2022_44,4
2022_45,1
2022_46,7
2022_47,6
2022_48,5
2022_49,6
2022_50,3
2022_51,4
2022_52,2
2023_00,7
2023_01,10
2023_02,8
2023_03,4
2023_04,3
2023_05,5
2023_06,7
2023_07,16
2023_08,7
2023_09,10
2023_10,6
2023_11,5
2023_12,7
2023_13,4
2023_14,4
2023_15,5
2023_16,10
2023_17,11
2023_18,10
2023_19,6
2023_20,11
2023_21,10
2023_22,7
2023_23,4
2023_24,10
2023_25,8
2023_26,8
2023_27,7
2023_28,5
2023_29,6
2023_30,6
2023_31,10
2023_32,13
2023_33,5
2023_34,5
2023_35,7
2023_36,9
2023_37,13
2023_38,9
2023_39,6
2023_40,11
2023_41,4
2023_42,4
2023_43,4
2023_44,8
2023_45,7
2023_46,5
2023_47,7
2023_48,9
2023_49,3
