year_week,count
2019_34,2
2019_35,1
2019_37,1
2019_38,1
2019_39,1
2019_43,1
2019_44,1
2019_47,3
2019_50,1
2019_51,2
2020_00,2
2020_01,1
2020_02,3
2020_03,1
2020_05,1
2020_06,2
2020_07,2
2020_08,1
2020_09,1
2020_10,3
2020_12,5
2020_13,1
2020_14,1
2020_15,1
2020_17,5
2020_18,4
2020_19,3
2020_20,2
2020_21,3
2020_22,7
2020_23,1
2020_25,3
2020_26,3
2020_28,1
2020_29,5
2020_30,3
2020_31,8
2020_32,2
2020_33,4
2020_34,3
2020_35,4
2020_36,5
2020_37,3
2020_38,1
2020_39,3
2020_40,2
2020_41,2
2020_42,1
2020_43,1
2020_44,2
2020_45,4
2020_46,4
2020_47,4
2020_48,5
2020_49,4
2020_50,4
2020_51,7
2020_52,1
2021_00,4
2021_01,6
2021_02,5
2021_03,6
2021_04,3
2021_05,4
2021_06,3
2021_07,4
2021_08,4
2021_09,8
2021_10,5
2021_11,1
2021_12,7
2021_13,2
2021_14,3
2021_15,2
2021_16,2
2021_17,4
2021_18,4
2021_19,5
2021_20,3
2021_21,4
2021_22,4
2021_23,8
2021_24,4
2021_25,7
2021_26,2
2021_27,4
2021_28,9
2021_29,7
2021_30,8
2021_31,2
2021_32,6
2021_33,7
2021_34,9
2021_35,6
2021_36,9
2021_37,8
2021_38,8
2021_39,1
2021_40,2
2021_41,5
2021_42,6
2021_43,5
2021_44,8
2021_45,9
2021_46,8
2021_47,6
2021_48,11
2021_49,6
2021_50,9
2021_51,11
2022_00,8
2022_01,6
2022_02,6
2022_03,8
2022_04,2
2022_05,8
2022_06,6
2022_07,7
2022_08,9
2022_09,4
2022_10,6
2022_11,6
2022_12,13
2022_13,12
2022_14,7
2022_15,7
2022_16,4
2022_17,11
2022_18,9
2022_19,8
2022_20,9
2022_21,5
2022_22,9
2022_23,6
2022_24,13
2022_25,9
2022_26,11
2022_27,5
2022_28,14
2022_29,5
2022_30,7
2022_31,9
2022_32,18
2022_33,14
2022_34,8
2022_35,8
2022_36,12
2022_37,9
2022_38,15
2022_39,6
2022_40,5
2022_41,8
2022_42,13
2022_43,10
2022_44,15
2022_45,13
2022_46,9
2022_47,9
2022_48,11
2022_49,12
2022_50,10
2022_51,16
2022_52,6
2023_00,12
2023_01,13
2023_02,10
2023_03,11
2023_04,10
2023_05,8
2023_06,11
2023_07,7
2023_08,13
2023_09,18
2023_10,11
2023_11,14
2023_12,13
2023_13,13
2023_14,9
2023_15,11
2023_16,14
2023_17,8
2023_18,8
2023_19,12
2023_20,12
2023_21,10
2023_22,12
2023_23,13
2023_24,15
2023_25,17
2023_26,19
2023_27,11
2023_28,19
2023_29,13
2023_30,14
2023_31,11
2023_32,14
2023_33,7
2023_34,13
2023_35,9
2023_36,13
2023_37,13
2023_38,11
2023_39,11
2023_40,10
2023_41,11
2023_42,10
2023_43,13
2023_44,8
2023_45,14
2023_46,10
2023_47,15
2023_48,9
2023_49,9
