year_week,count
2019_31,1
2019_32,1
2019_34,1
2019_36,2
2019_37,2
2019_38,1
2019_39,4
2019_40,1
2019_41,4
2019_42,2
2019_43,4
2019_44,1
2019_45,6
2019_46,6
2019_47,7
2019_48,6
2019_49,4
2019_50,5
2019_51,6
2019_52,2
2020_00,3
2020_01,12
2020_02,8
2020_03,8
2020_04,4
2020_05,8
2020_06,13
2020_07,8
2020_08,9
2020_09,13
2020_10,10
2020_11,8
2020_12,9
2020_13,10
2020_14,12
2020_15,13
2020_16,9
2020_17,13
2020_18,12
2020_19,14
2020_20,11
2020_21,10
2020_22,16
2020_23,13
2020_24,14
2020_25,13
2020_26,17
2020_27,8
2020_28,8
2020_29,18
2020_30,7
2020_31,13
2020_32,19
2020_33,20
2020_34,8
2020_35,14
2020_36,14
2020_37,15
2020_38,16
2020_39,19
2020_40,20
2020_41,16
2020_42,18
2020_43,16
2020_44,19
2020_45,13
2020_46,20
2020_47,18
2020_48,21
2020_49,29
2020_50,19
2020_51,21
2020_52,6
2021_00,13
2021_01,20
2021_02,17
2021_03,35
2021_04,21
2021_05,25
2021_06,18
2021_07,29
2021_08,16
2021_09,20
2021_10,19
2021_11,26
2021_12,29
2021_13,22
2021_14,22
2021_15,28
2021_16,16
2021_17,18
2021_18,25
2021_19,31
2021_20,31
2021_21,25
2021_22,18
2021_23,35
2021_24,42
2021_25,27
2021_26,22
2021_27,20
2021_28,26
2021_29,25
2021_30,30
2021_31,33
2021_32,32
2021_33,22
2021_34,40
2021_35,21
2021_36,29
2021_37,28
2021_38,27
2021_39,32
2021_40,33
2021_41,21
2021_42,35
2021_43,25
2021_44,44
2021_45,35
2021_46,35
2021_47,29
2021_48,29
2021_49,23
2021_50,30
2021_51,42
2021_52,12
2022_00,24
2022_01,41
2022_02,37
2022_03,36
2022_04,29
2022_05,32
2022_06,45
2022_07,35
2022_08,31
2022_09,43
2022_10,46
2022_11,38
2022_12,42
2022_13,42
2022_14,46
2022_15,42
2022_16,30
2022_17,41
2022_18,41
2022_19,41
2022_20,40
2022_21,45
2022_22,37
2022_23,40
2022_24,36
2022_25,35
2022_26,47
2022_27,37
2022_28,46
2022_29,39
2022_30,42
2022_31,40
2022_32,39
2022_33,45
2022_34,34
2022_35,49
2022_36,46
2022_37,33
2022_38,47
2022_39,45
2022_40,49
2022_41,39
2022_42,41
2022_43,42
2022_44,58
2022_45,45
2022_46,37
2022_47,46
2022_48,47
2022_49,39
2022_50,56
2022_51,51
2022_52,21
2023_00,32
2023_01,52
2023_02,53
2023_03,43
2023_04,34
2023_05,60
2023_06,44
2023_07,48
2023_08,50
2023_09,52
2023_10,55
2023_11,45
2023_12,54
2023_13,47
2023_14,59
2023_15,58
2023_16,37
2023_17,43
2023_18,54
2023_19,42
2023_20,52
2023_21,53
2023_22,60
2023_23,49
2023_24,64
2023_25,58
2023_26,52
2023_27,50
2023_28,58
2023_29,69
2023_30,61
2023_31,47
2023_32,60
2023_33,70
2023_34,54
2023_35,63
2023_36,48
2023_37,64
2023_38,57
2023_39,56
2023_40,62
2023_41,44
2023_42,49
2023_43,52
2023_44,59
2023_45,56
2023_46,83
2023_47,62
2023_48,72
2023_49,28
