year_week,count
2019_38,1
2019_45,1
2019_47,1
2019_48,2
2019_49,1
2019_50,2
2020_02,1
2020_05,1
2020_07,2
2020_08,1
2020_12,1
2020_15,1
2020_16,1
2020_17,1
2020_18,1
2020_21,1
2020_22,3
2020_26,3
2020_27,1
2020_33,1
2020_34,1
2020_35,2
2020_36,2
2020_38,1
2020_39,1
2020_40,1
2020_42,1
2020_45,1
2020_46,1
2020_47,1
2020_48,2
2020_49,1
2020_50,2
2020_51,3
2021_00,2
2021_02,4
2021_05,2
2021_06,1
2021_07,1
2021_08,2
2021_11,1
2021_13,3
2021_14,4
2021_15,2
2021_16,1
2021_17,1
2021_18,3
2021_19,1
2021_20,2
2021_21,2
2021_22,6
2021_23,2
2021_24,4
2021_26,3
2021_27,2
2021_28,2
2021_29,1
2021_30,3
2021_31,1
2021_33,3
2021_34,1
2021_35,2
2021_36,1
2021_38,3
2021_39,4
2021_40,1
2021_42,3
2021_43,3
2021_44,1
2021_45,3
2021_47,1
2021_48,2
2021_49,2
2021_50,2
2022_00,2
2022_01,3
2022_02,2
2022_03,3
2022_04,2
2022_05,2
2022_07,3
2022_08,2
2022_10,2
2022_11,2
2022_12,4
2022_13,4
2022_14,4
2022_16,1
2022_17,2
2022_18,3
2022_20,3
2022_21,2
2022_22,3
2022_23,2
2022_24,3
2022_25,3
2022_26,3
2022_27,5
2022_28,4
2022_29,3
2022_30,2
2022_31,5
2022_32,2
2022_33,1
2022_34,2
2022_35,2
2022_36,4
2022_37,5
2022_38,5
2022_39,1
2022_40,7
2022_41,3
2022_42,3
2022_43,3
2022_44,3
2022_45,6
2022_46,3
2022_47,3
2022_48,1
2022_49,6
2022_50,4
2022_52,1
2023_00,4
2023_01,2
2023_02,2
2023_03,6
2023_04,3
2023_05,4
2023_06,2
2023_07,2
2023_08,3
2023_09,3
2023_10,3
2023_11,3
2023_12,5
2023_14,2
2023_15,3
2023_16,4
2023_17,7
2023_18,4
2023_19,4
2023_20,1
2023_21,2
2023_22,3
2023_23,5
2023_24,3
2023_25,3
2023_26,1
2023_27,5
2023_28,8
2023_29,3
2023_30,6
2023_31,3
2023_32,5
2023_33,6
2023_34,2
2023_35,6
2023_36,3
2023_37,2
2023_38,2
2023_39,2
2023_40,6
2023_41,6
2023_42,4
2023_43,4
2023_44,8
2023_45,3
2023_46,6
2023_47,6
2023_48,6
