year_week,count
2019_28,2
2019_29,1
2019_32,1
2019_35,2
2019_36,3
2019_37,3
2019_38,6
2019_39,2
2019_40,3
2019_41,3
2019_42,6
2019_43,3
2019_44,4
2019_45,4
2019_46,4
2019_47,4
2019_48,6
2019_49,9
2019_50,1
2019_51,6
2019_52,1
2020_00,7
2020_01,6
2020_02,4
2020_03,10
2020_04,9
2020_05,11
2020_06,11
2020_07,11
2020_08,7
2020_09,9
2020_10,10
2020_11,9
2020_12,20
2020_13,6
2020_14,7
2020_15,5
2020_16,12
2020_17,8
2020_18,9
2020_19,9
2020_20,12
2020_21,10
2020_22,7
2020_23,15
2020_24,17
2020_25,10
2020_26,11
2020_27,11
2020_28,14
2020_29,14
2020_30,14
2020_31,17
2020_32,20
2020_33,16
2020_34,6
2020_35,19
2020_36,23
2020_37,16
2020_38,19
2020_39,17
2020_40,17
2020_41,16
2020_42,20
2020_43,21
2020_44,18
2020_45,18
2020_46,20
2020_47,17
2020_48,24
2020_49,30
2020_50,20
2020_51,12
2020_52,3
2021_00,21
2021_01,24
2021_02,27
2021_03,25
2021_04,20
2021_05,22
2021_06,30
2021_07,29
2021_08,25
2021_09,26
2021_10,24
2021_11,29
2021_12,20
2021_13,19
2021_14,16
2021_15,24
2021_16,20
2021_17,30
2021_18,26
2021_19,21
2021_20,29
2021_21,26
2021_22,28
2021_23,32
2021_24,24
2021_25,21
2021_26,27
2021_27,27
2021_28,26
2021_29,37
2021_30,30
2021_31,31
2021_32,24
2021_33,29
2021_34,38
2021_35,31
2021_36,46
2021_37,17
2021_38,27
2021_39,32
2021_40,22
2021_41,23
2021_42,43
2021_43,21
2021_44,34
2021_45,29
2021_46,43
2021_47,33
2021_48,43
2021_49,39
2021_50,28
2021_51,34
2021_52,6
2022_00,16
2022_01,30
2022_02,33
2022_03,28
2022_04,29
2022_05,24
2022_06,29
2022_07,36
2022_08,23
2022_09,27
2022_10,34
2022_11,27
2022_12,53
2022_13,37
2022_14,35
2022_15,32
2022_16,34
2022_17,48
2022_18,39
2022_19,39
2022_20,44
2022_21,35
2022_22,43
2022_23,25
2022_24,26
2022_25,45
2022_26,31
2022_27,42
2022_28,47
2022_29,35
2022_30,35
2022_31,39
2022_32,41
2022_33,42
2022_34,49
2022_35,42
2022_36,53
2022_37,46
2022_38,42
2022_39,44
2022_40,40
2022_41,43
2022_42,50
2022_43,44
2022_44,33
2022_45,55
2022_46,51
2022_47,50
2022_48,40
2022_49,50
2022_50,40
2022_51,38
2022_52,31
2023_00,34
2023_01,43
2023_02,44
2023_03,56
2023_04,48
2023_05,53
2023_06,50
2023_07,56
2023_08,45
2023_09,52
2023_10,41
2023_11,43
2023_12,48
2023_13,56
2023_14,55
2023_15,42
2023_16,42
2023_17,47
2023_18,47
2023_19,53
2023_20,56
2023_21,48
2023_22,50
2023_23,71
2023_24,53
2023_25,59
2023_26,42
2023_27,51
2023_28,54
2023_29,87
2023_30,63
2023_31,61
2023_32,67
2023_33,48
2023_34,72
2023_35,60
2023_36,65
2023_37,58
2023_38,71
2023_39,59
2023_40,52
2023_41,62
2023_42,62
2023_43,76
2023_44,69
2023_45,61
2023_46,57
2023_47,75
2023_48,62
2023_49,25
