year_week,count
2019_29,3
2019_30,4
2019_31,9
2019_32,6
2019_33,14
2019_34,10
2019_35,10
2019_36,16
2019_37,15
2019_38,15
2019_39,19
2019_40,36
2019_41,15
2019_42,29
2019_43,17
2019_44,29
2019_45,31
2019_46,31
2019_47,35
2019_48,32
2019_49,47
2019_50,34
2019_51,54
2019_52,18
2020_00,31
2020_01,39
2020_02,40
2020_03,44
2020_04,57
2020_05,70
2020_06,57
2020_07,57
2020_08,57
2020_09,72
2020_10,75
2020_11,63
2020_12,75
2020_13,74
2020_14,79
2020_15,84
2020_16,83
2020_17,47
2020_18,79
2020_19,72
2020_20,78
2020_21,73
2020_22,105
2020_23,92
2020_24,85
2020_25,91
2020_26,103
2020_27,94
2020_28,115
2020_29,111
2020_30,99
2020_31,99
2020_32,117
2020_33,104
2020_34,104
2020_35,110
2020_36,116
2020_37,119
2020_38,121
2020_39,120
2020_40,124
2020_41,128
2020_42,111
2020_43,148
2020_44,138
2020_45,120
2020_46,106
2020_47,118
2020_48,140
2020_49,148
2020_50,123
2020_51,129
2020_52,45
2021_00,130
2021_01,150
2021_02,128
2021_03,140
2021_04,188
2021_05,164
2021_06,138
2021_07,149
2021_08,145
2021_09,142
2021_10,173
2021_11,167
2021_12,157
2021_13,169
2021_14,172
2021_15,151
2021_16,176
2021_17,182
2021_18,168
2021_19,175
2021_20,175
2021_21,200
2021_22,155
2021_23,182
2021_24,183
2021_25,192
2021_26,211
2021_27,197
2021_28,209
2021_29,206
2021_30,196
2021_31,190
2021_32,207
2021_33,191
2021_34,217
2021_35,205
2021_36,217
2021_37,225
2021_38,242
2021_39,218
2021_40,220
2021_41,220
2021_42,243
2021_43,247
2021_44,254
2021_45,240
2021_46,219
2021_47,231
2021_48,216
2021_49,227
2021_50,251
2021_51,251
2021_52,50
2022_00,219
2022_01,243
2022_02,258
2022_03,256
2022_04,228
2022_05,254
2022_06,261
2022_07,242
2022_08,259
2022_09,263
2022_10,251
2022_11,268
2022_12,248
2022_13,264
2022_14,282
2022_15,230
2022_16,269
2022_17,278
2022_18,264
2022_19,265
2022_20,258
2022_21,262
2022_22,274
2022_23,262
2022_24,278
2022_25,276
2022_26,279
2022_27,265
2022_28,265
2022_29,278
2022_30,288
2022_31,267
2022_32,318
2022_33,307
2022_34,310
2022_35,289
2022_36,335
2022_37,306
2022_38,285
2022_39,295
2022_40,291
2022_41,318
2022_42,350
2022_43,330
2022_44,351
2022_45,323
2022_46,308
2022_47,348
2022_48,332
2022_49,356
2022_50,301
2022_51,285
2022_52,124
2023_00,276
2023_01,362
2023_02,329
2023_03,329
2023_04,359
2023_05,379
2023_06,333
2023_07,371
2023_08,377
2023_09,366
2023_10,377
2023_11,397
2023_12,373
2023_13,345
2023_14,378
2023_15,358
2023_16,380
2023_17,365
2023_18,374
2023_19,369
2023_20,424
2023_21,400
2023_22,402
2023_23,414
2023_24,412
2023_25,419
2023_26,395
2023_27,339
2023_28,435
2023_29,427
2023_30,390
2023_31,373
2023_32,442
2023_33,424
2023_34,459
2023_35,432
2023_36,451
2023_37,439
2023_38,392
2023_39,445
2023_40,408
2023_41,415
2023_42,438
2023_43,441
2023_44,461
2023_45,427
2023_46,462
2023_47,441
2023_48,445
2023_49,211
