year_week,count
2019_28,1
2019_31,1
2019_32,4
2019_33,2
2019_35,1
2019_37,2
2019_38,5
2019_39,4
2019_40,3
2019_41,2
2019_42,1
2019_43,3
2019_44,5
2019_45,5
2019_46,1
2019_47,5
2019_48,4
2019_49,9
2019_50,2
2019_51,8
2019_52,1
2020_00,3
2020_01,4
2020_02,5
2020_03,6
2020_04,12
2020_05,4
2020_06,12
2020_07,10
2020_08,7
2020_09,20
2020_10,15
2020_11,14
2020_12,6
2020_13,13
2020_14,8
2020_15,9
2020_16,12
2020_17,12
2020_18,9
2020_19,6
2020_20,8
2020_21,9
2020_22,11
2020_23,12
2020_24,14
2020_25,11
2020_26,10
2020_27,11
2020_28,11
2020_29,16
2020_30,13
2020_31,12
2020_32,18
2020_33,18
2020_34,17
2020_35,24
2020_36,23
2020_37,16
2020_38,18
2020_39,13
2020_40,21
2020_41,20
2020_42,18
2020_43,19
2020_44,15
2020_45,22
2020_46,19
2020_47,20
2020_48,31
2020_49,24
2020_50,5
2020_51,24
2020_52,5
2021_00,19
2021_01,20
2021_02,13
2021_03,18
2021_04,22
2021_05,14
2021_06,20
2021_07,18
2021_08,20
2021_09,20
2021_10,19
2021_11,25
2021_12,26
2021_13,26
2021_14,14
2021_15,20
2021_16,18
2021_17,26
2021_18,22
2021_19,25
2021_20,36
2021_21,23
2021_22,37
2021_23,23
2021_24,29
2021_25,33
2021_26,22
2021_27,21
2021_28,34
2021_29,24
2021_30,29
2021_31,22
2021_32,34
2021_33,33
2021_34,36
2021_35,35
2021_36,44
2021_37,27
2021_38,22
2021_39,25
2021_40,27
2021_41,28
2021_42,27
2021_43,41
2021_44,27
2021_45,32
2021_46,21
2021_47,41
2021_48,33
2021_49,24
2021_50,33
2021_51,36
2021_52,7
2022_00,33
2022_01,27
2022_02,39
2022_03,39
2022_04,40
2022_05,34
2022_06,28
2022_07,28
2022_08,40
2022_09,36
2022_10,37
2022_11,28
2022_12,30
2022_13,29
2022_14,45
2022_15,30
2022_16,40
2022_17,51
2022_18,40
2022_19,34
2022_20,33
2022_21,33
2022_22,37
2022_23,34
2022_24,28
2022_25,37
2022_26,37
2022_27,51
2022_28,40
2022_29,25
2022_30,36
2022_31,40
2022_32,32
2022_33,37
2022_34,47
2022_35,36
2022_36,33
2022_37,52
2022_38,32
2022_39,44
2022_40,41
2022_41,36
2022_42,43
2022_43,36
2022_44,56
2022_45,44
2022_46,46
2022_47,40
2022_48,58
2022_49,45
2022_50,38
2022_51,46
2022_52,15
2023_00,39
2023_01,41
2023_02,48
2023_03,47
2023_04,43
2023_05,44
2023_06,48
2023_07,57
2023_08,46
2023_09,51
2023_10,67
2023_11,45
2023_12,49
2023_13,53
2023_14,53
2023_15,49
2023_16,65
2023_17,46
2023_18,66
2023_19,51
2023_20,54
2023_21,56
2023_22,55
2023_23,55
2023_24,57
2023_25,62
2023_26,57
2023_27,52
2023_28,52
2023_29,61
2023_30,71
2023_31,60
2023_32,58
2023_33,59
2023_34,61
2023_35,59
2023_36,65
2023_37,52
2023_38,72
2023_39,67
2023_40,66
2023_41,63
2023_42,57
2023_43,71
2023_44,84
2023_45,61
2023_46,71
2023_47,64
2023_48,54
2023_49,32
