year_week,count
2019_32,2
2019_33,2
2019_34,2
2019_35,2
2019_36,2
2019_37,1
2019_38,5
2019_40,8
2019_41,5
2019_43,4
2019_44,7
2019_45,4
2019_46,4
2019_47,4
2019_48,9
2019_49,7
2019_50,4
2019_51,7
2020_00,6
2020_01,10
2020_02,7
2020_03,10
2020_04,3
2020_05,11
2020_06,12
2020_07,12
2020_08,6
2020_09,11
2020_10,8
2020_11,9
2020_12,8
2020_13,13
2020_14,14
2020_15,5
2020_16,12
2020_17,8
2020_18,9
2020_19,7
2020_20,13
2020_21,10
2020_22,10
2020_23,13
2020_24,12
2020_25,7
2020_26,21
2020_27,15
2020_28,12
2020_29,10
2020_30,11
2020_31,12
2020_32,15
2020_33,21
2020_34,16
2020_35,11
2020_36,21
2020_37,17
2020_38,20
2020_39,15
2020_40,14
2020_41,26
2020_42,29
2020_43,15
2020_44,18
2020_45,16
2020_46,20
2020_47,17
2020_48,16
2020_49,12
2020_50,17
2020_51,27
2020_52,6
2021_00,12
2021_01,21
2021_02,17
2021_03,15
2021_04,25
2021_05,23
2021_06,19
2021_07,21
2021_08,17
2021_09,19
2021_10,26
2021_11,19
2021_12,27
2021_13,18
2021_14,22
2021_15,25
2021_16,36
2021_17,20
2021_18,27
2021_19,25
2021_20,29
2021_21,35
2021_22,23
2021_23,34
2021_24,29
2021_25,18
2021_26,24
2021_27,26
2021_28,24
2021_29,31
2021_30,27
2021_31,22
2021_32,23
2021_33,26
2021_34,33
2021_35,31
2021_36,28
2021_37,31
2021_38,35
2021_39,29
2021_40,32
2021_41,43
2021_42,28
2021_43,32
2021_44,38
2021_45,43
2021_46,32
2021_47,34
2021_48,28
2021_49,27
2021_50,34
2021_51,38
2021_52,12
2022_00,20
2022_01,34
2022_02,36
2022_03,39
2022_04,33
2022_05,43
2022_06,28
2022_07,36
2022_08,38
2022_09,41
2022_10,29
2022_11,40
2022_12,38
2022_13,45
2022_14,40
2022_15,33
2022_16,21
2022_17,42
2022_18,49
2022_19,34
2022_20,30
2022_21,42
2022_22,41
2022_23,48
2022_24,38
2022_25,35
2022_26,42
2022_27,34
2022_28,38
2022_29,36
2022_30,37
2022_31,53
2022_32,40
2022_33,40
2022_34,31
2022_35,45
2022_36,37
2022_37,55
2022_38,36
2022_39,44
2022_40,42
2022_41,38
2022_42,42
2022_43,51
2022_44,49
2022_45,52
2022_46,53
2022_47,51
2022_48,43
2022_49,37
2022_50,45
2022_51,53
2022_52,13
2023_00,47
2023_01,39
2023_02,41
2023_03,60
2023_04,39
2023_05,44
2023_06,49
2023_07,55
2023_08,57
2023_09,34
2023_10,67
2023_11,51
2023_12,54
2023_13,60
2023_14,37
2023_15,47
2023_16,70
2023_17,58
2023_18,51
2023_19,45
2023_20,50
2023_21,59
2023_22,47
2023_23,59
2023_24,61
2023_25,60
2023_26,56
2023_27,57
2023_28,66
2023_29,65
2023_30,50
2023_31,45
2023_32,62
2023_33,53
2023_34,59
2023_35,47
2023_36,63
2023_37,62
2023_38,52
2023_39,69
2023_40,81
2023_41,41
2023_42,57
2023_43,61
2023_44,57
2023_45,62
2023_46,64
2023_47,52
2023_48,66
2023_49,24
